Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																						
Дата голосования: 07.12.2003 0:00:00																																																																						
																																																																						
Наименование Избирательной комиссии:    Абаканская городская																																																																						
																																																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																						
																																																																						
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63					
1	"Число избирателей, внесенных в списки"	122425	1437	1320	2000	1076	1374	1026	1734	1737	2078	2669	3098	2673	2745	2198	1906	1632	1848	3152	3023	2781	2978	370	1413	1590	1290	1581	1243	1863	1286	1558	1606	1935	875	1026	1521	1467	1336	1086	1447	1998	2175	2017	1218	1204	1868	1109	2780	2540	2806	2604	2042	2781	2642	3030	1983	2411	2163	3285	1296	2081	3024	3090	1300					
2	"Число бюллетеней, полученных участковыми комиссиями"	107900	1300	1200	2000	1000	1300	1000	1600	1600	1900	2400	2700	2400	2500	2000	1700	1500	1600	2500	2600	2500	2500	350	1200	1400	1100	1350	1100	1600	1100	1400	1400	1700	800	900	1400	1300	1200	1000	1300	1800	1800	1800	1000	1100	1400	1000	2400	2400	2500	2300	1800	2400	2400	2600	1600	2100	2000	2900	1000	2000	2400	2700	1100					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	54701	594	666	1007	494	605	556	936	926	1024	1159	1288	1279	1378	920	747	519	850	1535	1500	1364	1027	144	501	601	504	499	443	652	464	694	643	827	408	480	560	460	514	413	544	1028	967	874	499	435	776	566	1269	1274	1263	1008	1015	1225	1342	1475	830	1232	1069	1487	658	903	1618	1527	636					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2134	15	19	15	32	20	23	24	28	21	35	43	15	13	10	24	9	27	13	25	34	24	0	17	22	28	49	37	78	36	30	25	40	83	19	19	26	17	10	12	17	70	65	19	28	290	17	23	35	21	8	18	59	9	16	23	24	13	28	275	19	9	18	13					
6	Число погашенных бюллетеней	51065	691	515	978	474	675	421	640	646	855	1206	1369	1106	1109	1070	929	972	723	952	1075	1102	1449	206	682	777	568	802	620	870	600	676	732	833	309	401	821	814	669	577	744	755	763	861	482	637	334	417	1108	1091	1216	1284	767	1116	1049	1109	747	844	918	1385	67	1078	773	1155	451					
7	Число бюллетеней в переносных ящиках для голосования	2134	15	19	15	32	20	23	24	28	21	35	43	15	13	10	24	9	27	13	25	34	24	0	17	22	28	49	37	78	36	30	25	40	83	19	19	26	17	10	12	17	70	65	19	28	290	17	23	35	21	8	18	59	9	16	23	24	13	28	275	19	9	18	13					
8	Число бюллетеней в стационарных ящиках для голосования	54683	590	666	1007	494	605	556	936	926	1022	1159	1288	1279	1377	920	746	519	850	1535	1500	1364	1026	144	501	601	505	499	443	652	464	693	643	827	408	479	560	460	514	413	544	1028	967	874	499	435	776	566	1269	1274	1261	1008	1015	1225	1347	1475	830	1229	1069	1487	658	903	1618	1521	634					
9	Число недействительных бюллетеней	537	4	7	3	3	5	6	1	7	7	9	10	8	6	23	13	6	11	16	15	12	8	1	1	6	8	7	6	5	9	10	5	7	6	4	4	4	4	3	11	7	2	12	4	3	8	9	18	4	16	12	13	0	4	19	6	12	7	24	47	2	22	3	2					
10	Число действительных бюллетеней	56280	601	678	1019	523	620	573	959	947	1036	1185	1321	1286	1384	907	757	522	866	1532	1510	1386	1042	143	517	617	525	541	474	725	491	713	663	860	485	494	575	482	527	420	545	1038	1035	927	514	460	1058	574	1274	1305	1266	1004	1020	1284	1352	1472	847	1241	1075	1491	886	920	1605	1536	645					
