Выборы Президента Российской Федерации																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Южно-Сахалинская городская																																																																																						
																																																																																						
Итоги голосования 																																																																																						
																																																																																						
		Сумма	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359					
1	"Число избирателей, внесенных в список"	137748	2263	1928	2024	1114	2212	1984	2711	2468	2461	1708	1135	1847	1851	2171	1196	2499	2567	1797	1568	940	1499	2096	2723	2283	1598	1214	2234	2135	2227	2092	1858	2529	2191	1702	2628	2131	1948	1264	2509	2435	2790	2794	2595	2831	2437	2901	2709	2712	2757	2954	2761	1912	1978	1555	2426	2669	2480	1905	2237	313	2859	158	1416	345	225	584	1972	869	189	233	74	167	117	142	233	65	50	239	355					
2	Число полученных избирательных бюллетеней	138849	2335	1905	2050	1080	2470	2010	2745	2480	2485	1700	1475	1855	2040	2240	1180	2500	2890	1705	1585	900	1610	2120	2740	2300	1610	1245	2350	2100	2235	2110	1800	2495	2180	1700	2650	2150	1980	1230	2390	2480	2690	2800	2610	2830	2450	2895	2760	2735	2800	2980	2785	1925	1995	1395	2450	2650	2470	1890	2135	310	2675	156	1365	345	230	510	2025	870	191	235	79	183	122	137	313	73	50	250	380					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	67310	1013	905	972	413	1099	951	1154	1190	1139	716	519	698	732	1076	670	1179	867	833	681	321	479	1011	1510	1170	847	626	1169	1114	1051	1034	931	1405	941	816	1448	1119	1063	700	1181	1253	1446	1460	1275	1425	1267	1456	1340	1376	1272	1342	1351	931	1042	676	1039	1381	1058	943	988	136	1582	108	701	253	155	304	1048	452	105	175	53	167	111	132	85	41	48	236	354					
5	"Число избирательных бюллетеней, выданных вне помещения"	2430	14	21	19	33	29	25	24	25	21	12	62	41	47	10	41	23	20	18	9	8	12	34	54	28	33	28	62	45	45	38	18	38	37	140	30	37	36	21	45	44	132	30	53	33	35	48	32	20	25	38	18	18	16	13	14	47	9	24	18	22	11	5	30	12	17	32	53	45	38	13	17	0	6	5	148	24	2	0	0					
6	Число погашенных избирательных бюллетеней	69109	1308	979	1059	634	1342	1034	1567	1265	1325	972	894	1116	1261	1154	469	1298	2003	854	895	571	1119	1075	1176	1102	730	591	1119	941	1139	1038	851	1052	1202	744	1172	994	881	509	1164	1183	1112	1310	1282	1372	1148	1391	1388	1339	1503	1600	1416	976	937	706	1397	1222	1403	923	1129	152	1082	43	634	80	58	174	924	373	48	47	9	16	5	0	80	8	0	14	26					
7	Число избирательных бюллетеней в переносных ящиках	2430	14	21	19	33	29	25	24	25	21	12	62	41	47	10	41	23	20	18	9	8	12	34	54	28	33	28	62	45	45	38	18	38	37	140	30	37	36	21	45	44	132	30	53	33	35	48	32	20	25	38	18	18	16	13	14	47	9	24	18	22	11	5	30	12	17	32	53	45	38	13	17	0	6	5	148	24	2	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	67197	1013	903	972	413	1099	951	1154	1165	1139	716	519	698	732	1076	670	1179	867	831	681	321	479	1009	1510	1169	846	626	1169	1114	1050	1034	931	1405	939	816	1445	1117	1062	643	1180	1253	1446	1460	1270	1425	1267	1455	1340	1376	1271	1341	1351	931	1042	676	1039	1379	1055	943	988	136	1582	108	701	253	155	304	1048	452	105	175	53	167	111	132	85	41	48	236	354					
9	Число недействительных избирательных бюллетеней	545	6	11	16	1	11	13	5	7	8	4	9	1	4	4	4	2	10	8	4	2	5	9	13	13	11	4	8	8	4	5	6	5	11	5	13	6	5	3	8	10	15	10	9	10	6	5	6	12	3	8	9	8	10	3	12	6	8	6	14	2	13	0	6	3	3	0	12	6	2	23	0	4	2	2	2	1	0	9	13					
10	Число действительных избирательных бюллетеней	69082	1021	913	975	445	1117	963	1173	1183	1152	724	572	738	775	1082	707	1200	877	841	686	327	486	1034	1551	1184	868	650	1223	1151	1091	1067	943	1438	965	951	1462	1148	1093	661	1217	1287	1563	1480	1314	1448	1296	1498	1366	1384	1293	1371	1360	941	1048	686	1041	1420	1056	961	992	156	1580	113	725	262	169	336	1089	491	141	165	70	163	115	135	231	64	50	227	341					
