Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																
Дата голосования: 07.12.2003 0:00:00																
																
Наименование Избирательной комиссии:    Усть-Камчатская																
																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																
																
		Сумма	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172					
1	"Число избирателей, внесенных в списки"	12337	1393	197	1128	2596	1343	424	2361	2132	763					
2	"Число бюллетеней, полученных участковыми комиссиями"	12923	1246	204	1100	2500	1800	873	2300	2200	700					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	223	14	0	0	0	0	209	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6558	717	134	493	1218	1160	143	1026	1120	547					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	308	51	9	40	69	21	36	54	26	2					
6	Число погашенных бюллетеней	5833	464	61	567	1213	619	485	1220	1053	151					
7	Число бюллетеней в переносных ящиках для голосования	531	65	9	40	69	21	245	54	26	2					
8	Число бюллетеней в стационарных ящиках для голосования	6547	717	134	493	1215	1159	143	1025	1116	545					
9	Число недействительных бюллетеней	78	4	1	15	19	5	2	9	16	7					
10	Число действительных бюллетеней	7000	778	142	518	1265	1175	386	1070	1126	540					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	298	20	5	25	63	55	0	55	55	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	76	8	1	4	9	39	0	4	11	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	20	1	0	1	5	2	0	7	2	2					
14	Число погашенных открепительных удостоверений	222	12	4	21	54	16	0	51	44	20					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	1	1	0					
16	Число утраченных бюллетеней	1	0	0	0	0	0	0	0	1	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0					
																
18	"1. ""ЕДИНЕНИЕ"""	132	22	7	15	23	15	6	21	14	9					
		1.86%	2.81%	4.89%	2.81%	1.79%	1.27%	1.54%	1.94%	1.22%	1.64%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	107	17	0	9	13	17	10	20	17	4					
		1.51%	2.17%	0.0%	1.68%	1.01%	1.44%	2.57%	1.85%	1.48%	0.73%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	176	25	5	14	41	10	7	30	37	7					
		2.48%	3.19%	3.49%	2.62%	3.19%	0.84%	1.80%	2.78%	3.23%	1.27%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	225	54	0	11	36	23	2	54	39	6					
		3.17%	6.90%	0.0%	2.06%	2.80%	1.94%	0.51%	5.00%	3.41%	1.09%					
22	"5. ""За Русь Святую"""	26	2	0	2	7	1	3	2	6	3					
		0.36%	0.25%	0.0%	0.37%	0.54%	0.08%	0.77%	0.18%	0.52%	0.54%					
23	"6. ""Объединенная Российская партия ""Русь"""	23	1	1	1	5	4	0	3	6	2					
		0.32%	0.12%	0.69%	0.18%	0.38%	0.33%	0.0%	0.27%	0.52%	0.36%					
24	"7. ""Новый курс - Автомобильная Россия"""	38	0	0	3	8	6	9	6	5	1					
		0.53%	0.0%	0.0%	0.56%	0.62%	0.50%	2.31%	0.55%	0.43%	0.18%					
25	"8. ""Народно-республиканская партия России"""	10	0	0	2	3	1	0	2	1	1					
		0.14%	0.0%	0.0%	0.37%	0.23%	0.08%	0.0%	0.18%	0.08%	0.18%					
26	"9. ""Российская экологическая партия ""Зеленые"""	18	1	0	2	2	6	2	2	3	0					
		0.25%	0.12%	0.0%	0.37%	0.15%	0.50%	0.51%	0.18%	0.26%	0.0%					
27	"10. ""Аграрная партия России"""	152	29	9	16	29	18	10	20	12	9					
		2.14%	3.70%	6.29%	3.00%	2.25%	1.52%	2.57%	1.85%	1.05%	1.64%					
28	"11. ""Истинные патриоты России"""	12	1	0	0	2	1	1	2	5	0					
		0.16%	0.12%	0.0%	0.0%	0.15%	0.08%	0.25%	0.18%	0.43%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	53	9	3	5	10	1	8	8	6	3					
		0.74%	1.15%	2.09%	0.93%	0.77%	0.08%	2.06%	0.74%	0.52%	0.54%					
30	"13. ""Демократическая партия России"""	21	5	2	2	4	4	0	3	1	0					
		0.29%	0.63%	1.39%	0.37%	0.31%	0.33%	0.0%	0.27%	0.08%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	46	10	0	5	12	3	6	6	3	1					
		0.64%	1.27%	0.0%	0.93%	0.93%	0.25%	1.54%	0.55%	0.26%	0.18%					
32	"15. ""Партия СЛОН"""	8	0	0	1	2	0	1	1	1	2					
		0.11%	0.0%	0.0%	0.18%	0.15%	0.0%	0.25%	0.09%	0.08%	0.36%					
33	"16. ""Родина"" (народно-патриотический союз)"""	461	73	5	40	66	53	9	89	89	37					
		6.51%	9.33%	3.49%	7.50%	5.14%	4.49%	2.31%	8.24%	7.79%	6.76%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	19	0	3	2	4	1	2	3	4	0					
		0.26%	0.0%	2.09%	0.37%	0.31%	0.08%	0.51%	0.27%	0.35%	0.0%					
35	"18. ""ЛДПР"""	1369	126	7	93	195	283	99	211	235	120					
		19.34%	16.11%	4.89%	17.44%	15.18%	23.98%	25.51%	19.55%	20.57%	21.93%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	107	14	2	6	29	8	0	20	22	6					
		1.51%	1.79%	1.39%	1.12%	2.25%	0.67%	0.0%	1.85%	1.92%	1.09%					
37	"20. ""Политическая партия ""Единая Россия"""	3201	305	78	241	622	620	168	422	475	270					
		45.22%	39.00%	54.54%	45.21%	48.44%	52.54%	43.29%	39.11%	41.59%	49.36%					
38	"21. ""Российская Конституционно-демократическая партия"""	10	0	0	1	2	1	1	2	3	0					
		0.14%	0.0%	0.0%	0.18%	0.15%	0.08%	0.25%	0.18%	0.26%	0.0%					
39	"22. ""Развитие предпринимательства"""	22	4	0	0	5	4	4	3	1	1					
		0.31%	0.51%	0.0%	0.0%	0.38%	0.33%	1.03%	0.27%	0.08%	0.18%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	493	48	14	35	96	46	12	103	108	31					
		6.96%	6.13%	9.79%	6.56%	7.47%	3.89%	3.09%	9.54%	9.45%	5.66%					
																
41	Против всех	271	32	6	12	49	49	26	37	33	27					
		3.82%	4.09%	4.19%	2.25%	3.81%	4.15%	6.70%	3.42%	2.88%	4.93%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
