Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Моршанская																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24873	1847	344	407	195	169	297	305	279	255	456	498	476	250	737	301	327	83	164	585	477	1083	1151	1457	190	289	1006	358	345	513	328	452	621	443	351	292	320	461	280	142	1242	1312	590	1052	1060	340	373	370									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23560	1700	350	400	200	150	300	300	250	230	420	500	450	250	700	300	300	80	150	550	450	1000	1100	1300	180	280	950	350	350	500	300	450	600	400	350	280	300	450	270	140	1200	1200	550	1000	1000	330	350	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13609	437	296	211	129	136	169	221	204	176	273	326	309	171	461	250	205	67	114	468	389	271	638	466	95	123	501	202	214	356	201	357	411	284	257	227	245	221	177	109	669	391	457	461	666	234	145	219									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1986	133	20	0	33	14	38	24	22	26	29	36	28	38	97	23	34	2	13	58	42	121	74	126	12	50	61	39	33	71	43	28	78	27	22	14	26	53	35	19	98	8	15	59	88	18	53	5									
6	Число погашенных избирательных бюллетеней	7965	1130	34	189	38	0	93	55	24	28	118	138	113	41	142	27	61	11	23	24	19	608	388	708	73	107	388	109	103	73	56	65	111	89	71	39	29	176	58	12	433	801	78	480	246	78	152	126									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1986	133	20	0	33	14	38	24	22	26	29	36	28	38	97	23	34	2	13	58	42	121	74	126	12	50	61	39	33	71	43	28	78	27	22	14	26	53	35	19	98	8	15	59	88	18	53	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13609	437	296	211	129	136	169	221	204	176	273	326	309	171	461	250	205	67	114	468	389	271	638	466	95	123	501	202	214	356	201	357	411	284	257	227	245	221	177	109	669	391	457	461	666	234	145	219									
9	Число недействительных избирательных бюллетеней	116	10	0	0	1	0	0	1	3	0	2	0	6	2	3	0	0	0	0	2	6	0	3	12	0	0	3	3	2	0	3	2	15	2	2	0	0	6	5	0	1	0	1	4	5	5	6	0									
10	Число действительных избирательных бюллетеней	15479	560	316	211	161	150	207	244	223	202	300	362	331	207	555	273	239	69	127	524	425	392	709	580	107	173	559	238	245	427	241	383	474	309	277	241	271	268	207	128	766	399	471	516	749	247	192	224									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	295	15	5	5	3	3	5	5	3	6	5	5	5	3	7	5	5	3	3	5	5	8	8	8	3	8	15	5	10	5	5	5	5	5	5	4	4	5	3	3	15	15	5	15	15	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	136	9	4	2	2	1	0	2	1	3	4	2	2	0	7	5	1	0	0	0	2	4	4	8	0	5	6	2	8	4	5	0	3	3	2	0	2	1	0	2	7	7	1	2	4	4	3	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	50	5	0	2	0	1	0	0	0	1	2	0	1	0	3	1	2	1	1	0	3	0	4	1	0	1	3	0	2	3	2	0	1	2	1	1	1	1	1	0	0	1	0	1	0	1	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	159	6	1	3	1	2	5	3	2	3	1	3	3	3	0	0	4	3	3	5	3	4	4	0	3	3	9	3	2	1	0	5	2	2	3	4	2	4	3	1	8	8	4	13	11	1	2	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	116	15	6	0	2	1	2	1	0	0	4	3	1	0	3	3	0	0	0	2	4	9	5	3	0	0	5	3	5	0	0	2	1	1	3	1	5	1	0	1	4	8	2	4	3	2	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	169	6	0	1	1	1	1	3	1	6	1	0	13	0	2	3	2	0	0	3	2	1	10	20	3	2	2	2	5	0	1	5	2	1	0	8	4	3	2	0	13	11	1	9	9	3	5	1									
		1.08%	1.05%	0.00%	0.47%	0.62%	0.67%	0.48%	1.22%	0.44%	2.97%	0.33%	0.00%	3.86%	0.00%	0.36%	1.10%	0.84%	0.00%	0.00%	0.57%	0.46%	0.26%	1.40%	3.38%	2.80%	1.16%	0.36%	0.83%	2.02%	0.00%	0.41%	1.30%	0.41%	0.32%	0.00%	3.32%	1.48%	1.09%	0.94%	0.00%	1.69%	2.76%	0.21%	1.73%	1.19%	1.19%	2.53%	0.45%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	340	19	2	2	5	3	2	8	2	3	8	4	0	3	9	4	4	1	1	2	7	7	14	9	1	5	13	5	4	12	6	10	8	2	4	6	3	13	7	0	49	12	3	18	27	6	5	2									
		2.18%	3.33%	0.63%	0.95%	3.09%	2.00%	0.97%	3.27%	0.88%	1.49%	2.65%	1.10%	0.00%	1.44%	1.61%	1.47%	1.67%	1.45%	0.79%	0.38%	1.62%	1.79%	1.97%	1.52%	0.93%	2.89%	2.31%	2.07%	1.62%	2.81%	2.46%	2.60%	1.64%	0.64%	1.43%	2.49%	1.11%	4.74%	3.30%	0.00%	6.39%	3.01%	0.64%	3.46%	3.58%	2.38%	2.53%	0.89%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	147	21	2	1	0	1	2	0	2	6	5	2	1	0	3	0	1	0	2	2	3	5	7	12	0	2	0	1	1	0	7	1	2	1	0	5	5	2	4	1	7	2	4	4	8	5	3	4									
		0.94%	3.68%	0.63%	0.47%	0.00%	0.67%	0.97%	0.00%	0.88%	2.97%	1.66%	0.55%	0.30%	0.00%	0.54%	0.00%	0.42%	0.00%	1.57%	0.38%	0.70%	1.28%	0.98%	2.03%	0.00%	1.16%	0.00%	0.41%	0.40%	0.00%	2.87%	0.26%	0.41%	0.32%	0.00%	2.07%	1.85%	0.73%	1.89%	0.78%	0.91%	0.50%	0.85%	0.77%	1.06%	1.98%	1.52%	1.79%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11158	291	273	128	119	132	177	166	176	148	195	309	237	170	452	228	187	52	94	450	350	261	485	335	72	121	403	195	180	333	147	264	355	240	204	172	233	161	161	110	529	189	364	289	553	182	124	162									
		71.55%	51.05%	86.39%	60.66%	73.46%	88.00%	85.51%	67.76%	77.88%	73.27%	64.57%	85.36%	70.33%	81.34%	81.00%	83.52%	78.24%	75.36%	74.02%	85.55%	81.21%	66.58%	68.12%	56.59%	67.29%	69.94%	71.71%	80.91%	72.87%	77.99%	60.25%	68.57%	72.60%	77.17%	73.12%	71.37%	85.98%	58.76%	75.94%	85.94%	68.97%	47.37%	77.12%	55.58%	73.34%	72.22%	62.63%	72.32%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	34	0	0	0	0	1	0	0	0	1	1	0	0	0	2	3	0	0	1	1	0	0	0	2	0	0	0	0	0	0	1	2	1	0	0	0	0	2	1	0	1	6	3	2	1	0	1	1									
		0.22%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.50%	0.33%	0.00%	0.00%	0.00%	0.36%	1.10%	0.00%	0.00%	0.79%	0.19%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.52%	0.20%	0.00%	0.00%	0.00%	0.00%	0.73%	0.47%	0.00%	0.13%	1.50%	0.64%	0.38%	0.13%	0.00%	0.51%	0.45%									
