Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
Наименование Избирательной комиссии:    Ступинская																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №3033	УИК №3034	УИК №3035	УИК №3036	УИК №3037	УИК №3038	УИК №3039	УИК №3040	УИК №3041	УИК №3042	УИК №3043	УИК №3044	УИК №3045	УИК №3046	УИК №3047	УИК №3048	УИК №3049	УИК №3050	УИК №3051	УИК №3052	УИК №3053	УИК №3054	УИК №3055	УИК №3056	УИК №3057	УИК №3058	УИК №3059	УИК №3060	УИК №3061	УИК №3062	УИК №3063	УИК №3064	УИК №3065	УИК №3066	УИК №3067	УИК №3068	УИК №3069	УИК №3070	УИК №3071	УИК №3072	УИК №3073	УИК №3074	УИК №3075	УИК №3076	УИК №3077	УИК №3078	УИК №3079	УИК №3080	УИК №3081	УИК №3082	УИК №3083	УИК №3084	УИК №3085									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	89026	1162	1331	1268	996	2355	2237	1520	2147	2545	2094	2181	1632	1452	1961	2190	1891	2112	1965	1836	1924	1739	1914	2543	1651	2358	1784	1916	2085	1135	1184	1175	2389	1375	2134	1401	2472	1580	1257	1020	2276	2656	1855	1329	1255	900	1273	715	1701	1004	930	852	1547	822									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	83139	1100	1200	1150	900	2200	2100	1400	2000	2400	2000	2060	1530	1400	1900	2000	1800	2000	1900	1800	1800	1600	1800	2300	1500	2200	1700	1800	2000	1100	1100	1000	2300	1300	2000	1400	2300	1500	1200	1000	2100	2500	1800	1200	1200	900	1200	700	1300	900	800	700	1400	699									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	37891	474	503	473	474	765	1118	699	797	930	900	986	749	699	859	886	1079	1068	866	816	828	779	768	1256	703	921	811	872	870	460	601	502	926	615	1176	554	986	584	502	334	736	831	734	474	441	268	543	177	997	430	422	398	807	444									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3165	39	107	68	65	12	27	15	22	20	36	8	7	42	28	11	8	14	13	23	10	13	25	29	8	13	19	10	8	96	291	188	72	55	72	54	28	98	75	20	35	31	56	72	19	312	99	240	3	47	140	101	118	143									
6	Число погашенных избирательных бюллетеней	42083	587	590	609	361	1423	955	686	1181	1450	1064	1066	774	659	1013	1103	713	918	1021	961	962	808	1007	1015	789	1266	870	918	1122	544	208	310	1302	630	752	792	1286	818	623	646	1329	1638	1010	654	740	320	558	283	300	423	238	201	475	112									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3165	39	107	68	65	12	27	15	22	20	36	8	7	42	28	11	8	14	13	23	10	13	25	29	8	13	19	10	8	96	291	188	72	55	72	54	28	98	75	20	35	31	56	72	19	312	99	240	3	47	140	101	118	143									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	37869	474	503	473	474	765	1118	699	797	930	900	986	748	699	859	886	1076	1068	853	816	828	779	768	1256	702	921	809	872	870	460	600	502	926	615	1176	554	986	584	502	334	736	831	734	474	441	268	543	177	996	430	422	398	807	444									
9	Число недействительных избирательных бюллетеней	992	9	2	6	17	26	25	30	20	15	17	29	23	9	10	13	16	23	35	15	39	15	9	13	17	26	25	18	23	9	28	23	31	14	10	0	17	33	51	14	23	26	13	19	20	7	31	1	30	22	18	7	11	9									
10	Число действительных избирательных бюллетеней	40042	504	608	535	522	751	1120	684	799	935	919	965	732	732	877	884	1068	1059	831	824	799	777	784	1272	693	908	803	864	855	547	863	667	967	656	1238	608	997	649	526	340	748	836	777	527	440	573	611	416	969	455	544	492	914	578									
