Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																		
Дата голосования: 07.12.2003 0:00:00																																		
																																		
Наименование Избирательной комиссии:    Успенская																																		
																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																		
																																		
		Сумма	УИК  5501	УИК  5502	УИК  5503	УИК  5504	УИК  5505	УИК  5506	УИК  5507	УИК  5508	УИК  5509	УИК  5510	УИК  5511	УИК  5512	УИК  5513	УИК  5514	УИК  5515	УИК  5516	УИК  5517	УИК  5518	УИК  5519	УИК  5520	УИК  5521	УИК  5522	УИК  5523	УИК  5524	УИК  5525	УИК  5526	УИК  5527					
1	"Число избирателей, внесенных в списки"	29580	1932	2838	2823	1950	1371	327	143	842	2127	2144	616	1112	171	342	891	146	168	266	934	95	1156	1413	736	527	2486	1188	836					
2	"Число бюллетеней, полученных участковыми комиссиями"	29599	1922	2793	2704	2037	1384	310	141	826	2053	2047	579	1078	173	343	885	145	195	295	894	86	1151	1411	706	537	2508	1619	777					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	17852	973	1494	1586	1323	974	219	124	448	1056	1142	335	774	118	279	518	117	158	168	663	83	802	782	485	353	1265	1161	452					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1292	105	106	58	41	0	11	0	61	99	143	51	50	13	0	70	0	10	19	26	3	89	141	50	31	71	27	17					
6	Число погашенных бюллетеней	10455	844	1193	1060	673	410	80	17	317	898	762	193	254	42	64	297	28	27	108	205	0	260	488	171	153	1172	431	308					
7	Число бюллетеней в переносных ящиках для голосования	1292	105	106	58	41	0	11	0	61	99	143	51	50	13	0	70	0	10	19	26	3	89	141	50	31	71	27	17					
8	Число бюллетеней в стационарных ящиках для голосования	17841	973	1494	1586	1323	966	219	124	448	1055	1142	335	774	118	279	518	117	158	168	663	83	800	782	485	353	1265	1161	452					
9	Число недействительных бюллетеней	269	13	32	14	14	2	0	0	3	24	24	4	13	4	0	5	0	1	6	27	0	9	4	4	21	16	20	9					
10	Число действительных бюллетеней	18864	1065	1568	1630	1350	964	230	124	506	1130	1261	382	811	127	279	583	117	167	181	662	86	880	919	531	363	1320	1168	460					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	400	25	35	35	20	19	6	5	11	27	25	9	14	5	6	13	5	5	5	13	4	13	20	10	5	35	20	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	44	1	5	4	7	0	0	0	2	5	5	0	3	0	0	1	0	0	0	0	0	9	0	0	0	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	24	0	4	0	3	1	0	0	0	1	4	0	0	0	0	1	0	0	1	1	0	2	0	0	0	2	3	1					
14	Число погашенных открепительных удостоверений	356	24	30	31	13	19	6	5	9	22	20	9	11	5	6	12	5	5	5	13	4	4	20	10	5	33	20	10					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																		
18	"1. ""ЕДИНЕНИЕ"""	204	20	26	11	11	6	5	1	7	20	16	1	12	2	3	1	0	1	1	3	0	18	8	1	8	6	12	4					
		1.06%	1.85%	1.62%	0.66%	0.80%	0.62%	2.17%	0.80%	1.37%	1.73%	1.24%	0.25%	1.45%	1.52%	1.07%	0.17%	0.0%	0.59%	0.53%	0.43%	0.0%	2.02%	0.86%	0.18%	2.08%	0.44%	1.01%	0.85%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	261	20	27	49	23	9	4	2	11	11	11	1	6	0	6	3	3	0	3	3	0	10	8	1	2	25	19	4					
		1.36%	1.85%	1.68%	2.98%	1.68%	0.93%	1.73%	1.61%	2.16%	0.95%	0.85%	0.25%	0.72%	0.0%	2.15%	0.51%	2.56%	0.0%	1.60%	0.43%	0.0%	1.12%	0.86%	0.18%	0.52%	1.87%	1.59%	0.85%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	320	13	27	14	32	16	1	1	5	27	23	8	17	5	2	11	0	2	2	7	0	28	11	13	7	19	18	11					
		1.67%	1.20%	1.68%	0.85%	2.34%	1.65%	0.43%	0.80%	0.98%	2.33%	1.78%	2.07%	2.06%	3.81%	0.71%	1.87%	0.0%	1.19%	1.06%	1.01%	0.0%	3.14%	1.19%	2.42%	1.82%	1.42%	1.51%	2.34%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	290	16	33	30	15	11	3	6	11	15	10	7	14	2	18	3	1	1	0	4	0	10	8	3	1	38	22	8					
		1.51%	1.48%	2.06%	1.82%	1.09%	1.13%	1.30%	4.83%	2.16%	1.29%	0.77%	1.81%	1.69%	1.52%	6.45%	0.51%	0.85%	0.59%	0.0%	0.58%	0.0%	1.12%	0.86%	0.56%	0.26%	2.84%	1.85%	1.70%					
22	"5. ""За Русь Святую"""	150	11	17	16	15	3	1	1	3	13	14	4	5	0	0	3	3	0	1	3	0	6	0	1	3	17	7	3					
		0.78%	1.02%	1.06%	0.97%	1.09%	0.31%	0.43%	0.80%	0.58%	1.12%	1.08%	1.03%	0.60%	0.0%	0.0%	0.51%	2.56%	0.0%	0.53%	0.43%	0.0%	0.67%	0.0%	0.18%	0.78%	1.27%	0.58%	0.63%					
23	"6. ""Объединенная Российская партия ""Русь"""	68	5	2	9	7	4	1	1	3	1	7	1	1	0	1	4	1	0	3	3	0	4	0	1	1	5	2	1					
		0.35%	0.46%	0.12%	0.54%	0.51%	0.41%	0.43%	0.80%	0.58%	0.08%	0.54%	0.25%	0.12%	0.0%	0.35%	0.68%	0.85%	0.0%	1.60%	0.43%	0.0%	0.44%	0.0%	0.18%	0.26%	0.37%	0.16%	0.21%					
24	"7. ""Новый курс - Автомобильная Россия"""	120	9	7	12	11	9	0	1	3	5	7	6	5	0	0	8	0	0	3	2	0	10	2	0	5	7	6	2					
		0.62%	0.83%	0.43%	0.72%	0.80%	0.93%	0.0%	0.80%	0.58%	0.43%	0.54%	1.55%	0.60%	0.0%	0.0%	1.36%	0.0%	0.0%	1.60%	0.29%	0.0%	1.12%	0.21%	0.0%	1.30%	0.52%	0.50%	0.42%					
25	"8. ""Народно-республиканская партия России"""	32	2	2	3	1	4	0	1	1	1	1	0	4	1	1	0	0	2	1	1	0	2	0	3	0	0	1	0					
		0.16%	0.18%	0.12%	0.18%	0.07%	0.41%	0.0%	0.80%	0.19%	0.08%	0.07%	0.0%	0.48%	0.76%	0.35%	0.0%	0.0%	1.19%	0.53%	0.14%	0.0%	0.22%	0.0%	0.56%	0.0%	0.0%	0.08%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	39	7	4	9	4	0	0	0	0	2	2	0	1	0	0	4	0	0	0	0	0	2	0	0	0	1	1	2					
		0.20%	0.64%	0.25%	0.54%	0.29%	0.0%	0.0%	0.0%	0.0%	0.17%	0.15%	0.0%	0.12%	0.0%	0.0%	0.68%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.07%	0.08%	0.42%					
27	"10. ""Аграрная партия России"""	824	40	60	53	36	59	7	10	17	38	32	12	93	11	14	42	5	11	13	43	0	40	34	31	30	40	38	15					
		4.30%	3.71%	3.75%	3.22%	2.63%	6.10%	3.04%	8.06%	3.33%	3.29%	2.49%	3.10%	11.28%	8.39%	5.01%	7.14%	4.27%	6.54%	6.95%	6.24%	0.0%	4.49%	3.68%	5.79%	7.81%	2.99%	3.19%	3.19%					
28	"11. ""Истинные патриоты России"""	24	1	2	0	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	1	11	2	0	0	1	0					
		0.12%	0.09%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.24%	0.0%	0.71%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	1.19%	0.37%	0.0%	0.0%	0.08%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	143	6	17	7	3	5	2	0	2	10	23	7	6	3	2	4	0	2	2	4	0	11	2	2	8	5	9	1					
