Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																							
Дата голосования: 04.12.2011																																							
																																							
Наименование Избирательной комиссии:    Кировская																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №199	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375					
1	"Число избирателей, внесенных в список избирателей"	31708	261	114	161	1971	1799	230	718	299	371	254	112	218	189	219	230	155	354	360	253	2077	2402	1217	2134	1370	725	1762	1735	2162	2406	1636	1699	2115					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	33750	800	140	190	2020	1810	290	800	350	420	310	120	250	200	250	220	160	400	390	280	2230	2450	1240	2330	1400	800	1820	1830	2230	2450	1670	1750	2150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	16999	156	73	100	1195	1107	150	364	193	305	165	75	99	152	179	143	101	174	191	118	1091	1082	636	1125	617	294	893	1012	1064	1169	826	814	1336					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2266	96	29	36	5	0	52	115	38	35	68	28	72	20	8	27	39	113	70	44	144	146	45	102	150	157	60	60	90	185	31	94	107					
6	Число погашенных избирательных бюллетеней	14485	548	38	54	820	703	88	321	119	80	77	17	79	28	63	50	20	113	129	118	995	1222	559	1103	633	349	867	758	1076	1096	813	842	707					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2266	96	29	36	5	0	52	115	38	35	68	28	72	20	8	27	39	113	70	44	144	146	45	102	150	157	60	60	90	185	31	94	107					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16999	156	73	100	1195	1107	150	364	193	305	165	75	99	152	179	143	101	174	191	118	1091	1082	636	1125	617	294	893	1012	1064	1169	826	814	1336					
9	Число недействительных избирательных бюллетеней	299	4	0	1	18	16	9	7	1	3	3	0	2	3	0	3	0	3	8	2	24	17	9	20	19	8	8	28	12	18	13	23	17					
10	Число действительных избирательных бюллетеней	18966	248	102	135	1182	1091	193	472	230	337	230	103	169	169	187	167	140	284	253	160	1211	1211	672	1207	748	443	945	1044	1142	1336	844	885	1426					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	902	0	18	30	36	45	40	24	25	40	50	11	30	5	20	30	3	25	20	12	50	26	26	54	35	20	22	39	34	32	25	40	35					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	874	0	18	30	36	45	40	24	23	40	50	11	30	5	16	30	3	25	20	12	50	24	26	51	35	14	21	34	34	27	25	40	35					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	396	13	2	3	24	18	4	8	6	3	13	3	4	14	7	7	4	5	4	4	14	16	17	14	22	15	15	28	29	32	13	20	15					
14	Число погашенных неиспользованных открепительных удостоверений	28	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	2	0	3	0	6	1	5	0	5	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	141	0	2	0	2	6	0	1	0	0	3	0	0	13	2	3	0	1	10	0	4	6	23	10	5	1	11	7	8	11	4	1	7					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
