Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Инжавинская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18682	1002	961	1124	922	840	1363	1056	1132	366	379	162	420	541	181	68	329	103	506	119	62	133	69	981	524	369	329	491	271	233	210	216	356	343	179	165	513	187	613	331	242	176	115									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18440	1000	900	1150	900	850	1200	1000	1150	380	400	160	440	555	190	70	340	100	390	120	65	135	65	1000	530	380	320	440	270	240	220	220	350	350	180	170	530	190	620	330	250	175	115									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8263	241	268	391	303	267	794	497	411	90	127	116	253	168	55	36	173	68	281	73	47	62	41	366	323	115	168	268	136	117	153	145	194	161	91	102	271	93	399	131	119	87	62									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1446	51	49	104	49	44	23	44	63	22	39	30	26	27	20	12	33	20	36	20	10	20	10	61	49	68	46	50	16	28	20	21	33	28	25	9	45	34	79	22	35	12	13									
6	Число погашенных избирательных бюллетеней	8731	708	583	655	548	539	383	459	676	268	234	14	161	360	115	22	134	12	73	27	8	53	14	573	158	197	106	122	118	95	47	54	123	161	64	59	214	63	142	177	96	76	40									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1446	51	49	104	49	44	23	44	63	22	39	30	26	27	20	12	33	20	36	20	10	20	10	61	49	68	46	50	16	28	20	21	33	28	25	9	45	34	79	22	35	12	13									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8263	241	268	391	303	267	794	497	411	90	127	116	253	168	55	36	173	68	281	73	47	62	41	366	323	115	168	268	136	117	153	145	194	161	91	102	271	93	399	131	119	87	62									
9	Число недействительных избирательных бюллетеней	172	6	7	14	7	9	29	11	8	1	5	0	1	5	0	1	4	0	2	0	0	1	0	3	0	6	2	8	4	1	2	1	5	11	0	0	3	5	2	4	3	1	0									
10	Число действительных избирательных бюллетеней	9537	286	310	481	345	302	788	530	466	111	161	146	278	190	75	47	202	88	315	93	57	81	51	424	372	177	212	310	148	144	171	165	222	178	116	111	313	122	476	149	151	98	75									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	237	7	13	5	8	5	10	15	8	5	5	5	5	5	5	3	5	5	5	3	3	3	3	8	5	5	5	5	5	5	5	3	5	5	5	5	10	5	5	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	111	7	9	5	6	5	7	12	8	2	1	0	1	5	2	0	1	1	2	3	0	0	0	6	3	1	1	0	2	1	0	0	0	2	1	1	8	0	5	1	2	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	63	1	2	0	5	3	5	1	3	0	2	0	0	2	1	0	1	1	1	1	1	1	3	4	2	2	1	1	3	0	1	1	1	1	1	2	2	2	1	2	0	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	126	0	4	0	2	0	3	3	0	3	4	5	4	0	3	3	4	4	3	0	3	3	3	2	2	4	4	5	3	4	5	3	5	3	4	4	2	5	0	4	3	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	35	5	1	1	1	1	1	0	4	2	1	0	1	1	0	0	1	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	3	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	242	7	10	12	13	13	26	14	10	0	3	0	1	11	4	1	18	1	9	2	3	9	1	6	3	2	3	11	2	2	0	4	5	3	1	3	4	2	10	6	3	1	3									
