Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																											
Дата голосования: 04.12.2011																																																																																											
																																																																																											
Наименование Избирательной комиссии:    Белгородская районная																																																																																											
																																																																																											
Сводная таблица результатов выборов																																																																																											
																																																																																											
		Сумма	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325					
1	"Число избирателей, внесенных в список избирателей"	88147	1682	684	158	1130	984	418	284	1205	1163	257	304	271	434	976	1228	459	735	190	280	1627	1653	1666	1501	448	597	966	110	1744	545	1562	642	1077	347	1427	1282	1202	658	2280	737	1095	1068	355	1161	1023	1813	843	1611	1015	651	1921	1764	2027	1342	1777	1499	692	261	716	1459	429	230	338	120	249	1228	1179	1589	1474	778	1488	1472	1513	1575	1602	1428	1010	1480	1583	629	1367	1395	1709	1521	1755					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	82770	1550	600	150	1000	890	370	250	1120	1070	250	290	260	420	920	1170	450	700	190	250	1500	1570	1550	1500	420	590	900	120	1720	520	1430	650	1020	320	1350	1190	1150	640	2000	750	1000	1050	340	1150	950	1720	820	1520	950	620	1700	1620	1850	1250	1710	1300	740	250	720	1350	420	230	320	120	250	1100	1110	1500	1400	720	1400	1200	1450	1450	1450	1200	950	1400	1500	600	1400	1400	1600	1500	1700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	61283	1211	316	113	760	653	320	181	835	848	201	245	223	361	638	800	340	557	113	170	1235	1370	1288	1061	334	467	806	83	1389	356	1087	313	648	201	896	964	928	576	1956	340	756	713	202	685	815	1245	529	1107	491	328	1196	1137	1371	1083	1369	1065	402	179	575	1089	333	142	277	94	193	761	840	1146	1003	577	699	916	1022	1282	878	848	728	826	922	561	1017	995	1301	1150	1252					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	8874	234	186	24	83	122	49	64	65	112	37	45	15	52	124	210	55	69	39	75	84	48	59	152	64	123	69	4	147	162	343	282	88	117	140	77	35	49	18	296	14	165	70	336	98	144	87	130	228	137	237	233	278	61	88	50	102	51	103	127	64	46	43	16	42	247	159	131	168	107	246	87	36	40	52	176	142	62	75	16	35	29	24	47	28					
6	Число погашенных избирательных бюллетеней	12613	105	98	13	157	115	1	5	220	110	12	0	22	7	158	160	55	74	38	5	181	152	203	287	22	0	25	33	184	2	0	55	284	2	314	149	187	15	26	114	230	172	68	129	37	331	204	283	231	155	267	250	201	106	253	185	236	20	42	134	23	42	0	10	15	92	111	223	229	36	455	197	392	128	520	176	80	512	503	23	348	376	275	303	420					
7	Число избирательных бюллетеней в переносных ящиках для голосования	8874	234	186	24	83	122	49	64	65	112	37	45	15	52	124	210	55	69	39	75	84	48	59	152	64	123	69	4	147	162	343	282	88	117	140	77	35	49	18	296	14	165	70	336	98	144	87	130	228	137	237	233	278	61	88	50	102	51	103	127	64	46	43	16	42	247	159	131	168	107	246	87	36	40	52	176	142	62	75	16	35	29	24	47	28					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	61230	1211	316	113	760	653	320	181	835	848	201	245	223	361	638	800	340	557	113	170	1235	1370	1288	1061	334	467	806	83	1389	356	1087	313	648	201	896	964	928	576	1956	340	756	713	202	685	815	1245	529	1107	491	328	1196	1137	1371	1083	1369	1065	402	179	575	1089	333	142	277	94	193	761	840	1146	1000	576	699	912	1022	1282	878	848	728	826	922	561	1017	995	1256	1150	1252					
9	Число недействительных избирательных бюллетеней	1160	26	10	6	6	11	6	1	12	25	5	0	9	4	12	16	5	12	2	9	23	20	15	22	5	9	2	0	29	1	14	5	17	2	17	18	16	11	35	0	8	17	7	30	12	42	14	11	16	8	32	18	20	16	25	14	8	3	9	13	0	3	0	0	3	11	45	21	14	8	12	54	18	15	15	2	10	18	15	6	24	23	28	22	32					
10	Число действительных избирательных бюллетеней	68944	1419	492	131	837	764	363	244	888	935	233	290	229	409	750	994	390	614	150	236	1296	1398	1332	1191	393	581	873	87	1507	517	1416	590	719	316	1019	1023	947	614	1939	636	762	861	265	991	901	1347	602	1226	703	457	1401	1352	1629	1128	1432	1101	496	227	669	1203	397	185	320	110	232	997	954	1256	1154	675	933	945	1040	1307	915	1022	860	870	982	571	1028	1001	1252	1175	1248					
