Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																
Дата голосования: 02.12.2007																																																																																
																																																																																
Наименование Избирательной комиссии:    Белгородская районная																																																																																
																																																																																
Сводная таблица результатов выборов																																																																																
																																																																																
		Сумма	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293					
1	"Число избирателей, внесенных в списки избирателей"	79724	1440	617	142	997	770	408	224	2361	224	285	282	430	904	1212	457	736	173	241	2516	2701	339	549	893	117	1665	556	1460	648	984	272	2087	1121	1055	656	2111	800	1082	336	1214	728	1289	706	1459	873	562	1744	1592	1760	1464	1500	710	268	689	1321	409	233	318	110	244	1219	1154	1506	2210	1526	1945	2757	2680	2417	1586	601	2708	2184	2187					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	76638	1300	585	136	910	780	380	215	2200	215	270	265	400	890	1150	430	710	171	250	2650	2700	330	540	920	121	1680	545	1460	675	940	265	1870	1000	1000	600	2060	750	1070	328	1100	700	1250	680	1420	836	535	1600	1540	1660	1400	1400	670	255	665	1290	386	220	305	114	233	1142	1130	1470	2100	1480	1860	2640	2560	2335	1525	576	2600	2100	2100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	54539	976	312	102	652	536	288	140	1725	171	219	240	344	574	753	279	507	125	159	2109	2140	223	426	636	102	1216	391	880	324	660	153	1413	750	708	514	1609	341	627	225	800	529	951	487	975	446	374	1289	906	1085	1025	973	606	200	537	1040	291	134	230	91	177	577	878	1284	1681	774	1205	2098	1617	1327	1044	417	1777	1667	1498					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	6446	131	126	20	103	87	53	44	149	33	44	20	56	177	182	75	62	26	66	106	201	73	98	106	5	74	124	176	193	85	90	87	43	43	56	12	203	170	56	188	75	74	65	124	164	109	124	185	64	66	100	64	46	103	52	61	68	48	14	49	280	128	78	100	204	36	29	48	87	56	9	31	16	46					
6	Число погашенных избирательных бюллетеней	15653	193	147	14	155	157	39	31	326	11	7	5	0	139	215	76	141	20	25	435	359	34	16	178	14	390	30	404	158	195	22	370	207	249	30	439	206	273	47	112	96	225	128	321	226	52	187	449	511	309	327	0	9	25	198	34	18	27	9	7	285	124	108	319	502	619	513	895	921	425	150	792	417	556					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6446	131	126	20	103	87	53	44	149	33	44	20	56	177	182	75	62	26	66	106	201	73	98	106	5	74	124	176	193	85	90	87	43	43	56	12	203	170	56	188	75	74	65	124	164	109	124	185	64	66	100	64	46	103	52	61	68	48	14	49	280	128	78	100	204	36	29	48	87	56	9	31	16	46					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	54521	976	312	102	652	536	288	140	1715	171	219	240	344	574	753	279	507	125	159	2109	2140	223	426	636	102	1216	391	880	324	660	153	1413	750	708	514	1609	341	627	225	800	529	951	487	975	445	374	1289	906	1085	1025	973	606	200	537	1040	289	134	230	91	177	577	878	1284	1681	774	1205	2098	1617	1327	1044	417	1777	1667	1493					
9	Число недействительных избирательных бюллетеней	640	12	5	1	20	10	4	2	12	3	0	6	4	3	6	3	3	3	3	16	20	0	4	4	1	21	3	8	5	6	0	43	5	13	9	12	0	3	2	11	11	15	6	6	13	3	8	12	17	10	3	8	1	9	2	2	2	0	1	0	8	13	19	13	17	13	34	10	15	11	0	24	25	23					
10	Число действительных избирательных бюллетеней	60327	1095	433	121	735	613	337	182	1852	201	263	254	396	748	929	351	566	148	222	2199	2321	296	520	738	106	1269	512	1048	512	739	243	1457	788	738	561	1609	544	794	279	977	593	1010	546	1093	596	480	1405	1079	1132	1081	1070	662	245	631	1090	348	200	278	104	226	849	993	1343	1768	961	1228	2093	1655	1399	1089	426	1784	1658	1516					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1101	12	7	2	20	28	8	2	25	3	3	2	3	20	20	6	8	3	2	45	55	7	10	7	3	35	1	5	5	15	7	25	10	25	5	45	9	7	2	22	10	25	16	30	10	5	15	13	7	20	25	10	6	2	30	3	4	13	5	3	10	7	15	12	10	20	35	40	19	18	6	60	50	28					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1016	12	7	2	13	28	6	2	25	0	1	1	3	20	20	5	8	3	2	45	55	7	9	5	0	35	1	5	5	11	4	23	10	20	5	16	9	7	1	22	10	25	16	30	10	5	15	13	7	20	25	10	2	1	25	3	3	10	4	1	10	7	15	12	10	18	35	40	19	18	6	60	50	28					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1035	6	8	3	11	5	9	3	7	4	2	1	2	6	11	4	4	4	3	24	36	5	13	0	2	10	2	7	3	9	5	160	52	9	3	319	4	5	4	20	6	16	7	5	1	2	6	2	9	12	8	9	4	2	1	6	4	2	3	1	3	5	15	4	4	26	11	18	4	2	1	9	23	19					
