Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																												
Дата голосования: 02.12.2007																												
																												
Наименование Избирательной комиссии:    Смидовичская																												
																												
Сводная таблица результатов выборов																												
																												
		Сумма	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89					
1	"Число избирателей, внесенных в списки избирателей"	19550	509	315	1442	1464	1224	705	760	820	872	846	639	873	582	973	1306	1436	1379	443	1124	1159	679					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	19235	517	307	1426	1430	1142	699	767	840	850	820	638	874	544	932	1302	1385	1365	439	1129	1157	672					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	126	0	0	0	0	84	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	13042	337	264	997	1010	730	527	485	524	556	570	563	623	477	561	720	845	978	209	822	706	538					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1174	63	23	90	101	76	52	76	57	66	39	18	14	24	33	39	80	52	54	33	79	105					
6	Число погашенных избирательных бюллетеней	4893	117	20	339	319	252	120	206	259	228	211	57	195	43	338	543	460	335	176	274	372	29					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1300	63	23	90	101	160	52	76	57	66	39	18	56	24	33	39	80	52	54	33	79	105					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13042	337	264	997	1010	730	527	485	524	556	570	563	623	477	561	720	845	978	209	822	706	538					
9	Число недействительных избирательных бюллетеней	597	5	10	3	59	91	27	49	38	48	12	29	1	13	22	73	26	8	1	25	56	1					
10	Число действительных избирательных бюллетеней	13745	395	277	1084	1052	799	552	512	543	574	597	552	678	488	572	686	899	1022	262	830	729	642					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1000	30	30	50	50	50	30	40	40	60	60	30	40	30	60	60	60	60	50	60	60	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	375	22	3	13	28	27	9	19	37	14	10	3	14	4	19	22	23	10	6	42	22	28					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	158	8	3	13	19	11	4	4	9	7	6	5	5	11	3	6	6	13	2	14	4	5					
14	Число погашенных неиспользованных открепительных удостоверений	625	8	27	37	22	23	21	21	3	46	50	27	26	26	41	38	37	50	44	18	38	22					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
18	1.Политическая партия «Аграрная партия России»	157	4	0	6	12	5	2	9	9	5	11	7	11	9	15	6	13	8	0	13	9	3					
		1.09%	1.00%	0.00%	0.55%	1.08%	0.56%	0.35%	1.60%	1.55%	0.80%	1.81%	1.20%	1.62%	1.80%	2.53%	0.79%	1.41%	0.78%	0.00%	1.52%	1.15%	0.47%					
19	2.Всероссийская политическая партия «Гражданская Сила»	63	8	1	3	6	4	0	0	3	3	3	1	2	1	9	2	6	6	0	2	2	1					
		0.44%	2.00%	0.35%	0.28%	0.54%	0.45%	0.00%	0.00%	0.52%	0.48%	0.49%	0.17%	0.29%	0.20%	1.52%	0.26%	0.65%	0.58%	0.00%	0.23%	0.25%	0.16%					
20	3.Политическая партия «Демократическая партия России»	18	3	1	0	0	3	0	0	0	1	1	2	0	0	0	0	0	1	2	0	2	2					
		0.13%	0.75%	0.35%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.16%	0.16%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.76%	0.00%	0.25%	0.31%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	996	67	15	134	95	48	17	21	34	42	36	42	13	20	54	57	53	104	16	47	43	38					
		6.94%	16.75%	5.23%	12.33%	8.55%	5.39%	2.94%	3.74%	5.85%	6.75%	5.91%	7.23%	1.91%	3.99%	9.09%	7.51%	5.73%	10.10%	6.08%	5.50%	5.48%	5.91%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	46	1	0	4	9	1	0	1	0	2	4	1	2	2	2	4	3	3	0	4	2	1					
		0.32%	0.25%	0.00%	0.37%	0.81%	0.11%	0.00%	0.18%	0.00%	0.32%	0.66%	0.17%	0.29%	0.40%	0.34%	0.53%	0.32%	0.29%	0.00%	0.47%	0.25%	0.16%					
23	6.Политическая партия «Партия социальной справедливости»	30	0	1	3	3	4	0	0	1	0	3	0	1	0	6	1	2	1	0	3	0	1					
		0.21%	0.00%	0.35%	0.28%	0.27%	0.45%	0.00%	0.00%	0.17%	0.00%	0.49%	0.00%	0.15%	0.00%	1.01%	0.13%	0.22%	0.10%	0.00%	0.35%	0.00%	0.16%					
24	7.Политическая партия «Либерально-демократическая партия России»	1239	48	17	109	82	43	38	21	60	69	75	63	46	50	73	71	97	79	43	87	35	33					
		8.64%	12.00%	5.92%	10.03%	7.38%	4.83%	6.56%	3.74%	10.33%	11.09%	12.32%	10.84%	6.77%	9.98%	12.29%	9.35%	10.49%	7.67%	16.35%	10.18%	4.46%	5.13%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	625	18	7	56	37	33	16	18	41	40	30	19	22	19	35	26	70	38	14	34	26	26					
		4.36%	4.50%	2.44%	5.15%	3.33%	3.71%	2.76%	3.21%	7.06%	6.43%	4.93%	3.27%	3.24%	3.79%	5.89%	3.43%	7.57%	3.69%	5.32%	3.98%	3.31%	4.04%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	91	3	2	4	7	5	2	3	8	5	2	1	2	4	7	7	4	3	2	10	6	4					
		0.63%	0.75%	0.70%	0.37%	0.63%	0.56%	0.35%	0.53%	1.38%	0.80%	0.33%	0.17%	0.29%	0.80%	1.18%	0.92%	0.43%	0.29%	0.76%	1.17%	0.76%	0.62%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	10421	243	233	764	797	648	475	438	386	403	429	416	578	380	366	507	646	773	185	626	598	530					
		72.66%	60.75%	81.18%	70.29%	71.74%	72.81%	82.04%	78.07%	66.44%	64.79%	70.44%	71.60%	85.13%	75.85%	61.62%	66.80%	69.84%	75.05%	70.34%	73.22%	76.18%	82.43%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	59	0	0	1	4	5	2	1	1	4	3	0	1	3	5	5	5	6	0	4	6	3					
		0.41%	0.00%	0.00%	0.09%	0.36%	0.56%	0.35%	0.18%	0.17%	0.64%	0.49%	0.00%	0.15%	0.60%	0.84%	0.66%	0.54%	0.58%	0.00%	0.47%	0.76%	0.47%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
