Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Жуковская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	36517	1678	313	1129	1389	149	258	290	134	490	297	668	638	720	267	403	706	708	526	1173	988	1435	1031	1221	1224	1861	1829	2049	2077	2184	1744	1781	1759	1691	1707									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36250	1650	300	1050	1400	150	250	250	100	450	250	650	650	700	250	400	700	750	500	1150	1000	1450	1000	1200	1200	1850	1800	2050	2100	2150	1800	1800	1750	1750	1750									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15044	645	137	523	604	72	163	141	79	236	196	388	574	427	124	194	341	230	350	360	305	382	367	384	408	886	956	993	855	682	570	648	607	663	554									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1140	203	45	53	69	13	12	12	10	27	21	31	12	50	38	53	59	165	24	6	12	8	16	5	9	6	9	4	14	50	7	35	22	18	22									
6	Число погашенных избирательных бюллетеней	20066	802	118	474	727	65	75	97	11	187	33	231	64	223	88	153	300	355	126	784	683	1060	617	811	783	958	835	1053	1231	1418	1223	1117	1121	1069	1174									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1140	203	45	53	69	13	12	12	10	27	21	31	12	50	38	53	59	165	24	6	12	8	16	5	9	6	9	4	14	50	7	35	22	18	22									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15043	645	137	523	604	72	163	141	79	236	196	388	574	427	124	194	341	230	350	360	305	382	367	384	408	886	956	993	855	682	570	648	607	663	553									
9	Число недействительных избирательных бюллетеней	294	11	2	11	10	0	1	0	2	1	4	5	3	8	2	3	3	8	5	4	4	11	4	4	10	20	25	22	9	11	15	16	17	26	17									
10	Число действительных избирательных бюллетеней	15889	837	180	565	663	85	174	153	87	262	213	414	583	469	160	244	397	387	369	362	313	379	379	385	407	872	940	975	860	721	562	667	612	655	558									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	844	20	26	15	20	7	12	1	10	25	20	25	25	10	5	25	3	104	25	5	18	30	18	30	15	35	35	35	35	35	35	35	35	35	35									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	667	20	26	15	20	7	12	0	0	4	15	25	25	2	1	17	2	104	7	5	18	30	13	13	15	19	12	35	35	21	35	35	27	32	20									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	289	1	3	15	3	6	7	0	4	7	11	13	7	7	1	13	8	1	8	3	16	14	13	0	10	13	18	11	10	35	1	5	17	4	4									
14	Число погашенных неиспользованных открепительных удостоверений	177	0	0	0	0	0	0	1	10	21	5	0	0	8	4	8	1	0	18	0	0	0	5	17	0	16	23	0	0	14	0	0	8	3	15									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	149	1	1	1	1	0	0	1	0	0	2	11	0	2	1	0	0	2	0	0	0	6	9	3	4	8	5	11	2	2	13	14	9	20	20									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	274	7	0	10	3	2	5	0	2	3	2	6	7	7	0	2	5	4	2	6	3	16	8	3	9	17	22	22	19	19	10	12	14	15	12									
