Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    Павловская																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №3901	УИК №3902	УИК №3903	УИК №3904	УИК №3905	УИК №3906	УИК №3907	УИК №3908	УИК №3909	УИК №3910	УИК №3911	УИК №3912	УИК №3913	УИК №3914	УИК №3915	УИК №3916	УИК №3917	УИК №3918	УИК №3919	УИК №3920	УИК №3921	УИК №3922	УИК №3923	УИК №3924	УИК №3925	УИК №3926	УИК №3927	УИК №3928	УИК №3929	УИК №3930	УИК №3931	УИК №3932	УИК №3933	УИК №3934	УИК №3935	УИК №3936	УИК №3937	УИК №3938	УИК №3939	УИК №3940	УИК №3941	УИК №3942	УИК №3943	УИК №3944									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	52298	2856	1475	940	590	813	1245	1753	1833	305	1778	452	157	247	2104	1014	912	1450	1862	2032	1184	1994	2388	1986	2495	1771	1704	1085	1732	991	1522	245	217	804	179	332	1213	457	789	153	200	221	505	2475	1838									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	52299	2800	1480	950	600	800	1250	1750	1850	300	1798	460	150	240	2120	1030	916	1480	1880	2050	1110	2010	2400	2000	2500	1750	1750	1100	1640	1000	1500	240	210	820	170	330	1220	460	800	155	200	230	500	2450	1850									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	23033	1012	981	706	485	432	664	962	1467	158	765	191	128	215	991	405	285	459	713	778	460	664	754	649	859	426	961	296	527	492	570	119	171	612	151	244	429	297	414	124	87	137	227	952	614									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3167	245	69	53	35	98	119	77	76	33	45	80	11	6	141	45	102	52	49	172	134	123	88	49	61	89	31	126	255	23	35	31	12	48	13	39	180	13	109	12	24	20	50	46	48									
6	Число погашенных избирательных бюллетеней	25849	1543	430	191	80	270	467	711	307	109	988	189	11	19	988	580	529	969	1118	1100	516	1223	1558	1302	1580	985	758	678	858	485	895	90	27	160	6	47	611	150	277	19	89	73	223	1452	1188									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3166	245	69	53	35	98	119	77	76	33	45	80	11	6	141	45	102	52	49	172	134	123	88	49	61	89	31	126	254	23	35	31	12	48	13	39	180	13	109	12	24	20	50	46	48									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	23022	1012	981	706	485	432	664	962	1467	158	765	191	128	215	991	405	285	459	713	778	460	662	754	649	859	420	961	296	524	492	570	119	171	612	151	244	429	297	414	124	87	137	227	952	614									
9	Число недействительных избирательных бюллетеней	356	23	19	12	1	7	5	16	9	2	9	2	0	0	12	14	4	14	0	11	5	5	11	15	31	9	0	5	13	8	17	1	2	1	2	5	6	9	0	0	2	6	9	22	12									
10	Число действительных избирательных бюллетеней	25832	1234	1031	747	519	523	778	1023	1534	189	801	269	139	221	1120	436	383	497	762	939	589	780	831	683	889	500	992	417	765	507	588	149	181	659	162	278	603	301	523	136	109	151	268	976	650									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	519	15	15	10	5	10	15	15	15	5	15	5	5	5	15	10	10	15	15	17	15	20	15	15	25	15	15	15	15	17	15	5	5	10	5	5	15	10	10	5	5	5	10	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	277	15	5	4	1	0	7	8	13	0	9	5	0	1	6	10	0	11	8	17	10	17	12	15	20	7	7	3	10	17	7	3	1	10	0	0	3	2	1	1	0	5	1	1	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	128	4	3	4	1	2	2	4	3	4	5	3	0	1	7	0	2	3	4	6	7	4	8	5	5	1	3	1	8	2	5	3	2	0	0	3	3	0	1	1	3	0	0	3	2									
14	Число погашенных неиспользованных открепительных удостоверений	242	0	10	6	4	10	8	7	2	5	6	0	5	4	9	0	10	4	7	0	5	3	3	0	5	8	8	12	5	0	8	2	4	0	5	5	12	8	9	4	5	0	9	14	11									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	37	2	0	0	0	1	1	2	0	1	1	0	0	0	0	1	0	2	3	1	1	0	2	4	1	0	1	1	0	1	3	0	0	0	0	1	0	1	0	0	0	0	1	2	3									
