Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Ольская 															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК  71	УИК  72	УИК  73	УИК  74	УИК  75	УИК  76	УИК  77	УИК  78					
1	"Число избирателей, внесенных в списки"	7006	281	101	536	403	1425	1766	1204	1290					
2	"Число бюллетеней, полученных участковыми комиссиями"	6762	283	104	536	394	1405	1758	1153	1129					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3714	178	64	302	235	724	959	641	611					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	114	13	0	2	4	9	26	16	44					
6	Число погашенных бюллетеней	2934	92	40	232	155	672	773	496	474					
7	Число бюллетеней в переносных ящиках для голосования	114	13	0	2	4	9	26	16	44					
8	Число бюллетеней в стационарных ящиках для голосования	3714	178	64	302	235	724	959	641	611					
9	Число недействительных бюллетеней	51	3	2	2	7	11	10	6	10					
10	Число действительных бюллетеней	3777	188	62	302	232	722	975	651	645					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	119	5	4	5	5	25	25	25	25					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	2	0	0	0	0	0	1	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	7	0	0	0	0	3	1	2	1					
14	Число погашенных открепительных удостоверений	117	5	4	5	5	25	24	24	25					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0					
															
18	"1. ""ЕДИНЕНИЕ"""	53	5	3	3	4	8	12	8	10					
		1.38%	2.61%	4.68%	0.98%	1.67%	1.09%	1.21%	1.21%	1.52%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	75	1	0	7	2	12	28	14	11					
		1.95%	0.52%	0.0%	2.30%	0.83%	1.63%	2.84%	2.13%	1.67%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	123	3	6	9	1	13	41	29	21					
		3.21%	1.57%	9.37%	2.96%	0.41%	1.77%	4.16%	4.41%	3.20%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	96	1	1	7	1	20	27	22	17					
		2.50%	0.52%	1.56%	2.30%	0.41%	2.72%	2.74%	3.34%	2.59%					
22	"5. ""За Русь Святую"""	15	0	1	1	0	2	3	4	4					
		0.39%	0.0%	1.56%	0.32%	0.0%	0.27%	0.30%	0.60%	0.61%					
23	"6. ""Объединенная Российская партия ""Русь"""	11	4	0	0	0	2	2	1	2					
		0.28%	2.09%	0.0%	0.0%	0.0%	0.27%	0.20%	0.15%	0.30%					
24	"7. ""Новый курс - Автомобильная Россия"""	22	0	0	3	2	6	5	4	2					
