Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
"Наименование Избирательной комиссии:    Улан-Удэ, Советская"																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	61255	1237	1305	1599	851	1470	1509	2136	1705	1374	765	2443	1852	1240	2098	1988	2033	2754	1147	1690	2218	1454	2276	1889	2107	2575	230	2578	2399	2481	1334	943	1283	1583	1939	1960	52	62	65	631									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	57780	1100	1200	1400	850	1480	1400	2000	1600	1300	700	2300	1850	1160	2000	1900	2000	2700	1100	1600	2000	1400	2200	1800	2000	1700	230	2500	2300	2400	1300	900	1300	1500	1900	1900	52	62	65	631									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20839	326	337	615	352	563	577	658	513	699	326	1082	808	553	403	527	760	1188	298	443	687	465	575	628	729	1097	230	624	780	734	537	314	353	409	564	289	52	51	62	631									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	455	11	14	17	7	33	16	19	16	16	13	18	7	2	2	12	8	34	7	13	8	6	18	24	9	9	0	57	9	7	7	4	3	1	15	2	0	8	3	0									
6	Число погашенных избирательных бюллетеней	36486	763	849	768	491	884	807	1323	1071	585	361	1200	1035	605	1595	1361	1232	1478	795	1144	1305	929	1607	1148	1262	594	0	1819	1511	1659	756	582	944	1090	1321	1609	0	3	0	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	455	11	14	17	7	33	16	19	16	16	13	18	7	2	2	12	8	34	7	13	8	6	18	24	9	9	0	57	9	7	7	4	3	1	15	2	0	8	3	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20838	326	337	615	352	563	577	658	513	699	326	1082	808	553	403	527	760	1188	298	443	687	465	575	628	729	1097	230	624	780	734	537	314	353	409	563	289	52	51	62	631									
9	Число недействительных избирательных бюллетеней	548	10	11	12	4	7	9	27	14	13	7	27	22	10	7	14	19	22	5	13	9	15	30	17	14	18	0	19	18	17	19	10	4	6	20	9	8	3	0	59									
10	Число действительных избирательных бюллетеней	20745	327	340	620	355	589	584	650	515	702	332	1073	793	545	398	525	749	1200	300	443	686	456	563	635	724	1088	230	662	771	724	525	308	352	404	558	282	44	56	65	572									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1440	40	40	40	30	40	40	50	40	40	30	50	40	40	50	40	50	50	40	40	50	40	50	40	50	40	0	50	50	50	40	30	40	40	40	40	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	730	12	8	24	19	31	17	35	18	31	8	37	29	15	28	9	27	22	11	20	32	12	23	16	30	18	0	29	25	33	19	16	17	16	30	13	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	814	21	19	38	12	19	34	53	25	30	60	31	17	72	13	8	21	51	9	14	26	23	25	18	14	33	0	10	40	23	12	5	10	12	9	5	0	0	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	710	28	32	16	11	9	23	15	22	9	22	13	11	25	22	31	23	28	29	20	18	28	27	24	20	22	0	21	25	17	21	14	23	24	10	27	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	67	0	1	0	0	0	1	1	0	1	0	5	5	1	2	3	1	6	0	4	2	3	1	1	5	8	0	1	2	1	0	1	1	2	2	6	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	208	3	4	9	2	2	2	8	6	5	5	11	7	4	4	6	6	13	1	5	10	4	8	5	10	11	8	8	9	3	4	4	4	2	4	0	0	0	0	11									
		0.98%	0.89%	1.14%	1.42%	0.56%	0.34%	0.34%	1.18%	1.13%	0.70%	1.47%	1.00%	0.86%	0.72%	0.99%	1.11%	0.78%	1.06%	0.33%	1.10%	1.44%	0.85%	1.35%	0.77%	1.36%	0.99%	3.48%	1.17%	1.14%	0.40%	0.74%	1.26%	1.12%	0.49%	0.69%	0.00%	0.00%	0.00%	0.00%	1.74%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	573	10	9	22	6	16	18	14	11	17	11	16	19	15	13	19	19	36	10	11	27	10	8	35	16	24	5	16	25	30	23	6	11	11	18	7	1	0	1	7									
		2.69%	2.97%	2.56%	3.48%	1.67%	2.68%	3.04%	2.07%	2.08%	2.38%	3.24%	1.45%	2.33%	2.70%	3.21%	3.53%	2.47%	2.95%	3.28%	2.41%	3.88%	2.12%	1.35%	5.37%	2.17%	2.17%	2.17%	2.35%	3.17%	4.05%	4.23%	1.89%	3.09%	2.68%	3.11%	2.41%	1.92%	0.00%	1.54%	1.11%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	451	9	7	14	8	13	14	17	14	16	4	22	21	5	9	6	14	28	10	14	15	12	9	10	20	9	3	13	26	13	11	2	7	10	17	5	1	3	0	20									
		2.12%	2.67%	1.99%	2.22%	2.23%	2.18%	2.36%	2.51%	2.65%	2.24%	1.18%	2.00%	2.58%	0.90%	2.22%	1.11%	1.82%	2.29%	3.28%	3.07%	2.16%	2.55%	1.52%	1.53%	2.71%	0.81%	1.30%	1.91%	3.30%	1.75%	2.02%	0.63%	1.97%	2.44%	2.94%	1.72%	1.92%	5.08%	0.00%	3.17%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7893	114	150	196	105	175	178	234	196	221	90	382	255	208	168	198	272	395	112	171	227	182	234	226	290	631	168	282	282	284	182	144	133	171	208	138	25	25	25	216									
		37.07%	33.83%	42.74%	31.01%	29.25%	29.36%	30.02%	34.56%	37.05%	30.91%	26.55%	34.73%	31.29%	37.48%	41.48%	36.73%	35.42%	32.32%	36.72%	37.50%	32.66%	38.64%	39.46%	34.66%	39.30%	57.05%	73.04%	41.41%	35.74%	38.33%	33.46%	45.28%	37.36%	41.71%	35.99%	47.42%	48.08%	42.37%	38.46%	34.23%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	176	0	1	10	2	7	12	6	8	13	5	11	11	5	4	6	1	10	1	2	1	0	2	3	8	8	3	3	5	4	2	4	2	2	3	1	0	0	1	9									
		0.83%	0.00%	0.28%	1.58%	0.56%	1.17%	2.02%	0.89%	1.51%	1.82%	1.47%	1.00%	1.35%	0.90%	0.99%	1.11%	0.13%	0.82%	0.33%	0.44%	0.14%	0.00%	0.34%	0.46%	1.08%	0.72%	1.30%	0.44%	0.63%	0.54%	0.37%	1.26%	0.56%	0.49%	0.52%	0.34%	0.00%	0.00%	1.54%	1.43%									
24	"6. Политическая партия ""Гражданская Платформа"""	201	2	2	2	0	5	3	6	6	4	2	7	7	5	6	5	2	5	3	7	17	9	12	4	32	5	1	3	1	9	0	2	1	5	4	1	0	0	0	16									
		0.94%	0.59%	0.57%	0.32%	0.00%	0.84%	0.51%	0.89%	1.13%	0.56%	0.59%	0.64%	0.86%	0.90%	1.48%	0.93%	0.26%	0.41%	0.98%	1.54%	2.45%	1.91%	2.02%	0.61%	4.34%	0.45%	0.43%	0.44%	0.13%	1.21%	0.00%	0.63%	0.28%	1.22%	0.69%	0.34%	0.00%	0.00%	0.00%	2.54%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2322	46	48	43	25	46	39	68	51	47	14	78	66	33	63	73	101	118	23	27	57	52	54	97	108	178	20	124	96	75	50	25	18	27	61	45	8	12	10	196									
		10.90%	13.65%	13.68%	6.80%	6.96%	7.72%	6.58%	10.04%	9.64%	6.57%	4.13%	7.09%	8.10%	5.95%	15.56%	13.54%	13.15%	9.66%	7.54%	5.92%	8.20%	11.04%	9.11%	14.88%	14.63%	16.09%	8.70%	18.21%	12.17%	10.12%	9.19%	7.86%	5.06%	6.59%	10.55%	15.46%	15.38%	20.34%	15.38%	31.06%									
