Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Большемурашкинская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9310	1014	616	690	1039	825	817	477	909	158	496	209	293	624	407	736									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9214	1050	600	600	1000	800	830	480	940	162	490	208	294	614	401	745									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3779	384	222	309	480	365	357	167	338	58	212	75	126	194	165	327									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1128	69	91	35	45	32	56	69	142	22	103	39	92	156	137	40									
6	Число погашенных избирательных бюллетеней	4307	597	287	256	475	403	417	244	460	82	175	94	76	264	99	378									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1128	69	91	35	45	32	56	69	142	22	103	39	92	156	137	40									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3779	384	222	309	480	365	357	167	338	58	212	75	126	194	165	327									
9	Число недействительных избирательных бюллетеней	71	9	2	4	12	5	3	6	3	0	7	2	5	4	2	7									
10	Число действительных избирательных бюллетеней	4836	444	311	340	513	392	410	230	477	80	308	112	213	346	300	360									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	96	9	4	8	14	11	11	3	4	2	6	6	4	4	4	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	66	9	3	4	12	10	11	3	0	0	2	2	3	0	1	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	71	13	9	6	3	9	4	3	2	1	3	2	1	6	6	3									
14	Число погашенных неиспользованных открепительных удостоверений	30	0	1	4	2	1	0	0	4	2	4	4	1	4	3	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	47	5	0	5	0	9	0	3	10	0	4	2	0	6	0	3									
		0.96%	1.10%	0.00%	1.45%	0.00%	2.27%	0.00%	1.27%	2.08%	0.00%	1.27%	1.75%	0.00%	1.71%	0.00%	0.82%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	86	0	1	0	0	7	0	12	41	0	6	1	1	14	3	0									
		1.75%	0.00%	0.32%	0.00%	0.00%	1.76%	0.00%	5.08%	8.54%	0.00%	1.90%	0.88%	0.46%	4.00%	0.99%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	61	0	1	0	0	14	0	7	9	0	2	0	5	9	4	10									
		1.24%	0.00%	0.32%	0.00%	0.00%	3.53%	0.00%	2.97%	1.88%	0.00%	0.63%	0.00%	2.29%	2.57%	1.32%	2.72%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3129	281	205	198	342	201	270	134	313	52	199	77	142	219	256	240									
		63.77%	62.03%	65.50%	57.56%	65.14%	50.63%	65.38%	56.78%	65.21%	65.00%	63.17%	67.54%	65.14%	62.57%	84.77%	65.40%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	7	0	0	0	0	1	1	2	0	0	0	1	0	2	0	0									
		0.14%	0.00%	0.00%	0.00%	0.00%	0.25%	0.24%	0.85%	0.00%	0.00%	0.00%	0.88%	0.00%	0.57%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	0	0	0	0	0	0	2	1	0	0	1	0	2	1	0									
		0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.21%	0.00%	0.00%	0.88%	0.00%	0.57%	0.33%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	890	89	71	91	103	91	97	41	71	23	51	24	22	38	25	53									
		18.14%	19.65%	22.68%	26.45%	19.62%	22.92%	23.49%	17.37%	14.79%	28.75%	16.19%	21.05%	10.09%	10.86%	8.28%	14.44%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	4	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0									
		0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.46%	0.57%	0.00%	0.00%									
