Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																
Дата голосования: 04.12.2011																																																																																
																																																																																
Наименование Избирательной комиссии:    Первоуральская городская																																																																																
																																																																																
Сводная таблица результатов выборов																																																																																
																																																																																
		Сумма	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368	УИК №2369	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375	УИК №2376	УИК №2377	УИК №2378	УИК №2379	УИК №2380	УИК №2381	УИК №2382	УИК №2383	УИК №2384	УИК №2385	УИК №2386	УИК №2387	УИК №2388	УИК №2389	УИК №2390	УИК №2391	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399	УИК №2400	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406					
1	"Число избирателей, внесенных в список избирателей"	125342	1930	1722	2384	2819	2523	2446	1613	1605	2773	2403	2479	2514	2403	2039	1986	2363	2211	1862	1689	2384	1111	1889	1745	2689	2457	1491	2163	1142	2357	2675	1933	2074	2424	2169	1145	906	2027	2992	615	2648	2647	1154	2152	2197	2138	2217	1783	2506	1218	2131	1406	1000	1295	2054	951	1007	1020	825	2464	203	2061	1462	1211	1901	264	251	1278	361	407	295	159	461	63					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	121450	1800	1700	2300	2800	2500	2400	1500	1600	2600	2400	2500	2500	2300	2000	1900	2300	2200	1800	1600	2300	1100	1800	1700	2600	2400	1400	2100	1100	2300	2600	1900	2000	2400	2100	1100	850	1900	2900	400	2600	2700	1100	2100	2100	2100	2100	1700	2500	1100	2100	1100	950	1200	2000	900	1000	950	800	2400	200	2000	1400	1200	1900	250	200	1200	350	400	250	500	350	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	60713	841	923	1304	1368	1324	1343	784	844	1624	1303	1313	1432	1207	1226	946	1029	893	959	882	1349	608	941	877	1428	1346	774	1198	628	1274	1449	1036	1051	1171	1116	562	342	1002	1030	346	1195	1246	527	1062	1148	1016	1205	885	1223	545	959	762	347	445	811	360	394	511	268	993	78	782	654	343	515	90	112	511	143	185	111	85	74	55					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2645	45	17	32	22	18	21	17	28	38	31	37	23	16	15	36	31	31	13	32	38	19	18	32	38	32	15	23	15	31	36	40	48	26	25	12	29	19	71	24	44	36	2	45	73	46	79	46	33	15	23	62	24	28	115	18	34	34	19	120	5	55	49	35	50	7	18	19	21	17	24	74	273	8					
6	Число погашенных избирательных бюллетеней	58091	914	760	964	1410	1158	1036	699	728	938	1066	1150	1045	1077	759	918	1240	1276	828	686	913	473	841	791	1134	1022	611	879	457	995	1115	824	901	1203	959	526	479	879	1799	30	1361	1418	571	993	879	1038	816	769	1244	540	1118	276	579	727	1074	522	572	405	513	1287	117	1163	697	822	1335	153	70	670	185	198	115	341	3	37					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2645	45	17	32	22	18	21	17	28	38	31	37	23	16	15	36	31	31	13	32	38	19	18	32	38	32	15	23	15	31	36	40	48	26	25	12	29	19	71	24	44	36	2	45	73	46	79	46	33	15	23	62	24	28	115	18	34	34	19	120	5	55	49	35	50	7	18	19	21	17	24	74	273	8					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	60674	841	923	1304	1368	1324	1340	784	844	1622	1302	1313	1432	1207	1226	946	1029	890	959	882	1348	608	939	877	1428	1334	774	1197	628	1274	1444	1036	1050	1171	1114	561	342	1002	1027	346	1195	1246	527	1062	1148	1016	1205	885	1221	545	959	762	347	445	811	360	394	511	268	993	78	782	654	343	515	90	112	511	143	185	111	85	74	55					
9	Число недействительных избирательных бюллетеней	1599	17	18	24	37	55	27	27	5	53	30	45	38	28	26	20	30	16	14	9	13	10	25	18	27	25	16	40	14	28	36	25	30	21	42	10	7	13	42	12	21	40	25	22	39	18	43	19	31	24	29	25	11	9	20	12	26	19	16	32	1	17	28	10	19	5	2	16	5	3	3	5	28	3					
10	Число действительных избирательных бюллетеней	61720	869	922	1312	1353	1287	1334	774	867	1607	1303	1305	1417	1195	1215	962	1030	905	958	905	1373	617	932	891	1439	1341	773	1180	629	1277	1444	1051	1068	1176	1097	563	364	1008	1056	358	1218	1242	504	1085	1182	1044	1241	912	1223	536	953	799	360	464	906	366	402	526	271	1081	82	820	675	368	546	92	128	514	159	199	132	154	319	60					
