Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																	
Дата голосования: 02.12.2007																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Первоуральская городская																																																																																	
																																																																																	
Сводная таблица результатов выборов																																																																																	
																																																																																	
		Сумма	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368	УИК №2369	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375	УИК №2376	УИК №2377	УИК №2378	УИК №2379	УИК №2380	УИК №2381	УИК №2382	УИК №2383	УИК №2384	УИК №2385	УИК №2386	УИК №2387	УИК №2388	УИК №2389	УИК №2390	УИК №2391	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399	УИК №2400	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407					
1	"Число избирателей, внесенных в списки избирателей"	128915	1710	1921	2756	2715	2474	2543	1783	1673	2815	2568	2601	2734	2669	2141	2078	2434	2675	1965	1832	2518	1246	2017	2493	2797	2731	2217	2125	1175	2356	2728	1991	2063	1791	1725	1796	1197	430	2894	358	2687	2801	1144	2779	2097	2289	2243	1819	2626	1296	2211	1114	883	1195	2118	935	976	978	736	2393	217	2041	1562	1119	1940	227	240	1240	373	411	256	327	97	98	712					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	120900	1500	1800	2700	2650	2200	2300	1650	1450	2600	2450	2500	2600	2400	2050	1950	2250	2500	1800	1650	2400	1200	2000	2350	2650	2600	2100	2100	1100	2200	2650	1850	2000	1700	1600	1700	1200	350	2550	300	2600	2700	1050	2400	1950	2200	2050	1750	2400	1150	2050	1050	800	1100	2000	850	900	900	650	2300	200	1950	1500	1000	1850	200	200	1200	300	350	200	400	150	100	850					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	70381	766	1102	1658	1537	1375	1451	914	967	1677	1466	1586	1587	1459	1411	1119	1200	1097	1089	1076	1544	701	1081	1422	1669	1647	1280	1338	734	1422	1671	1206	1230	1025	898	934	608	155	1122	186	1333	1416	627	1321	1367	1401	1534	1068	1403	674	1257	546	346	473	946	452	465	601	346	1210	89	915	758	372	696	109	145	490	175	258	121	255	86	76	640					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3807	62	40	45	30	41	27	31	55	47	37	37	52	37	20	28	57	25	57	23	56	20	33	43	44	28	25	24	21	42	36	68	56	19	34	24	41	48	142	74	55	42	7	565	87	52	74	26	58	31	38	59	25	27	299	20	28	9	15	92	15	54	24	74	99	15	19	88	26	18	37	72	9	19	0					
6	Число погашенных избирательных бюллетеней	46712	672	658	997	1083	784	822	705	428	876	947	877	961	904	619	803	993	1378	654	551	800	479	886	885	937	925	795	738	345	736	943	576	714	656	668	742	551	147	1286	40	1212	1242	416	514	496	747	442	656	939	445	755	445	429	600	755	378	407	290	289	998	96	981	718	554	1055	76	36	622	99	74	42	73	55	5	210					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3806	62	40	45	30	41	27	31	55	47	37	37	52	37	20	28	57	25	57	23	56	20	33	43	44	28	25	24	21	42	36	68	56	19	34	24	41	48	142	74	55	42	7	565	87	52	74	26	58	31	38	59	25	27	298	20	28	9	15	92	15	54	24	74	99	15	19	88	26	18	37	72	9	19	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	70362	766	1101	1658	1536	1375	1451	913	967	1677	1464	1586	1586	1457	1411	1118	1200	1097	1087	1075	1544	700	1079	1422	1669	1646	1280	1338	734	1422	1671	1206	1230	1025	898	934	608	155	1122	186	1333	1416	627	1321	1367	1400	1534	1068	1403	674	1257	546	346	473	945	452	465	601	346	1210	89	915	758	372	696	109	145	490	175	258	121	255	86	76	639					
9	Число недействительных избирательных бюллетеней	896	16	16	18	11	21	21	9	14	37	18	11	25	20	20	17	17	19	9	18	16	7	18	15	28	13	14	21	9	20	23	13	19	10	11	8	5	1	22	3	15	19	10	22	23	10	19	14	11	8	11	1	3	3	9	8	11	4	6	7	8	12	11	2	2	1	0	6	1	6	1	9	1	1	8					
10	Число действительных избирательных бюллетеней	73272	812	1125	1685	1555	1395	1457	935	1008	1687	1483	1612	1613	1474	1411	1129	1240	1103	1135	1080	1584	713	1094	1450	1685	1661	1291	1341	746	1444	1684	1261	1267	1034	921	950	644	202	1242	257	1373	1439	624	1864	1431	1442	1589	1080	1450	697	1284	604	368	497	1234	464	482	606	355	1295	96	957	771	444	793	123	164	572	200	270	157	318	94	94	631					
