Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																							
Дата голосования: 04.12.2011																																																							
																																																							
Наименование Избирательной комиссии:    Междуреченская городская																																																							
																																																							
Сводная таблица результатов выборов																																																							
																																																							
		Сумма	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540					
1	"Число избирателей, внесенных в список избирателей"	73162	1785	1517	1189	872	1240	1057	2231	1910	1125	1899	1588	1818	2071	2278	1953	1360	1302	1372	162	567	360	483	598	177	1381	671	856	1550	2116	2276	1530	2300	2371	1756	1076	2124	2213	1777	730	1701	2371	2665	2833	1039	1491	2003	1400	2018					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	74350	1700	1450	1300	800	1100	1150	2100	1800	1100	1800	1500	1800	1950	2050	1850	1300	1200	1650	150	550	400	500	500	250	1200	600	900	2100	2100	2600	2700	2500	2300	1900	1000	2000	2300	1700	650	1800	2400	2600	2700	1500	1350	1900	1300	2300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	46301	1020	941	796	539	826	749	1258	1252	662	1131	874	1199	1115	1271	1126	906	657	811	76	361	218	369	382	156	618	260	350	941	1208	1623	1461	1723	1527	1195	592	1580	1360	1066	568	1185	1455	1486	1822	1012	865	1185	938	1586					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2214	20	22	19	36	56	28	44	48	21	34	141	99	64	78	44	72	32	66	32	39	35	4	41	21	63	18	45	27	77	20	65	26	210	45	11	58	23	18	7	10	44	150	23	27	28	49	46	28					
6	Число погашенных избирательных бюллетеней	25835	660	487	485	225	218	373	798	500	417	635	485	502	771	701	680	322	511	773	42	150	147	127	77	73	519	322	505	1132	815	957	1174	751	563	660	397	362	917	616	75	605	901	964	855	461	457	666	316	686					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2214	20	22	19	36	56	28	44	48	21	34	141	99	64	78	44	72	32	66	32	39	35	4	41	21	63	18	45	27	77	20	65	26	210	45	11	58	23	18	7	10	44	150	23	27	28	49	46	28					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	46219	1020	941	796	538	826	749	1258	1252	660	1131	874	1199	1115	1269	1126	900	657	808	76	361	218	369	382	156	618	260	350	928	1208	1623	1461	1723	1527	1195	590	1577	1310	1066	568	1185	1455	1486	1822	1012	865	1185	938	1586					
9	Число недействительных избирательных бюллетеней	821	15	39	18	12	17	28	40	20	13	22	20	1	14	16	17	11	7	17	1	4	5	7	8	5	11	2	4	14	10	25	34	26	19	35	12	16	21	27	15	19	26	19	35	20	16	15	12	31					
10	Число действительных избирательных бюллетеней	47612	1025	924	797	562	865	749	1262	1280	668	1143	995	1297	1165	1331	1153	961	682	857	107	396	248	366	415	172	670	276	391	941	1275	1618	1492	1723	1718	1205	589	1619	1312	1057	560	1176	1473	1617	1810	1019	877	1219	972	1583					
