Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																									
Дата голосования: 07.12.2003 0:00:00																									
																									
Наименование Избирательной комиссии:    Ханты-Мансийская городская																									
																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																									
																									
		Сумма	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554					
1	"Число избирателей, внесенных в списки"	32264	1762	1277	1323	1849	2064	2153	2519	2722	1593	1877	1841	1118	465	2368	2728	1873	1942	790					
2	"Число бюллетеней, полученных участковыми комиссиями"	25940	1460	1000	1000	1500	1700	1700	1900	2200	1300	1500	1500	850	390	1900	2300	1500	1500	740					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15610	855	629	581	931	1105	974	1149	1456	830	896	869	537	268	1095	1179	813	929	514					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	989	37	12	110	53	13	101	231	48	22	28	20	9	11	100	44	99	51	0					
6	Число погашенных бюллетеней	9341	568	359	309	516	582	625	520	696	448	576	611	304	111	705	1077	588	520	226					
7	Число бюллетеней в переносных ящиках для голосования	988	37	12	109	53	13	101	231	48	22	28	20	9	11	100	44	99	51	0					
8	Число бюллетеней в стационарных ящиках для голосования	15564	855	629	581	927	1092	974	1142	1456	808	896	869	537	268	1095	1179	813	929	514					
9	Число недействительных бюллетеней	162	15	5	4	4	8	4	12	6	5	10	12	7	8	7	12	16	26	1					
10	Число действительных бюллетеней	16390	877	636	686	976	1097	1071	1361	1498	825	914	877	539	271	1188	1211	896	954	513					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	241	11	16	11	15	25	11	13	20	15	10	16	11	10	13	12	10	12	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	122	4	8	5	9	17	7	10	17	8	5	9	2	1	5	2	3	10	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	119	6	13	5	7	10	3	20	9	7	6	3	2	2	4	3	8	8	3					
14	Число погашенных открепительных удостоверений	119	7	8	6	6	8	4	3	3	7	5	7	9	9	8	10	7	2	10					
15	Число открепительных удостоверений выданных ТИК	10	0	1	1	1	2	0	1	1	0	2	1	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
18	"1. ""ЕДИНЕНИЕ"""	170	9	7	8	5	10	5	19	13	3	8	9	3	17	8	19	15	10	2					
