Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Алапаевская городская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098					
1	"Число избирателей, внесенных в список"	39119	244	1826	1578	1271	1518	1478	995	1954	2071	1797	1859	1890	2346	933	1401	1580	1643	1257	2261	483	811	1290	1376	1014	958	1017	271	1010	987					
2	Число полученных избирательных бюллетеней	38968	223	1879	1564	1276	1460	1454	982	2000	2100	1840	1860	1882	2350	940	1415	1320	1645	1274	2238	480	804	1281	1345	1040	960	1048	250	1069	989					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20227	99	737	735	575	653	892	483	1081	1236	978	948	1038	1102	426	741	814	984	687	1189	237	387	644	699	507	558	589	119	574	515					
5	"Число избирательных бюллетеней, выданных вне помещения"	1271	89	183	25	25	44	32	33	24	43	34	17	39	37	44	20	43	40	10	27	41	46	33	47	75	37	41	33	42	67					
6	Число погашенных избирательных бюллетеней	17470	35	959	804	676	763	530	466	895	821	828	895	805	1211	470	654	463	621	577	1022	202	371	604	599	458	365	418	98	453	407					
7	Число избирательных бюллетеней в переносных ящиках	1271	89	183	25	25	44	32	33	24	43	34	17	39	37	44	20	43	40	10	27	41	46	33	47	75	37	41	33	42	67					
8	Число бюллетеней в стационарных ящиках для голосования	20194	99	737	735	575	653	892	483	1079	1236	976	948	1038	1102	426	741	814	982	687	1162	237	387	644	699	507	558	589	119	574	515					
9	Число недействительных избирательных бюллетеней	353	1	41	18	12	4	9	5	9	21	8	11	2	34	7	8	9	10	10	17	7	7	10	21	15	15	17	1	10	14					
10	Число действительных избирательных бюллетеней	21112	187	879	742	588	693	915	511	1094	1258	1002	954	1075	1105	463	753	848	1012	687	1172	271	426	667	725	567	580	613	151	606	568					
11	Число полученных открепительных  удостоверений	747	0	34	30	25	26	32	23	40	35	33	35	37	44	19	27	26	32	24	42	10	17	25	26	20	18	20	5	22	20					
12	Число выданных открепительных удостоверений	242	0	8	9	2	7	12	16	18	19	20	13	7	9	3	17	9	10	8	17	3	2	6	4	5	6	7	0	1	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	191	3	15	15	1	1	12	6	9	12	7	4	7	6	7	5	8	4	6	10	2	6	4	12	4	7	6	4	4	4					
14	Число неиспользованных открепительных удостоверений	505	0	26	21	23	19	20	7	22	16	13	22	30	35	16	10	17	22	16	25	7	15	19	22	15	12	13	5	21	16					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																				
18	. Глазьев Сергей Юрьевич	583	4	27	13	18	19	19	21	33	40	38	35	34	32	21	22	18	19	13	42	7	4	22	19	9	23	14	1	7	9					
		2.72%	2.13%	2.93%	1.71%	3.00%	2.73%	2.06%	4.07%	2.99%	3.13%	3.76%	3.63%	3.16%	2.81%	4.47%	2.89%	2.10%	1.86%	1.87%	3.53%	2.52%	0.92%	3.25%	2.55%	1.55%	3.87%	2.22%	0.66%	1.14%	1.55%					
19	. Малышкин Олег Александрович	622	7	40	24	29	41	23	15	23	27	20	24	26	53	13	25	24	23	20	31	10	19	8	24	9	26	10	4	9	15					
		2.90%	3.72%	4.35%	3.16%	4.83%	5.88%	2.49%	2.91%	2.09%	2.11%	1.98%	2.49%	2.41%	4.65%	2.77%	3.29%	2.80%	2.25%	2.87%	2.61%	3.60%	4.39%	1.18%	3.22%	1.55%	4.37%	1.59%	2.63%	1.46%	2.58%					
20	. Миронов Сергей Михайлович	170	5	14	10	7	8	4	1	8	9	6	12	5	8	3	2	2	8	7	11	4	2	8	5	2	5	5	0	4	5					
		0.79%	2.66%	1.52%	1.32%	1.17%	1.15%	0.43%	0.19%	0.73%	0.70%	0.59%	1.24%	0.46%	0.70%	0.64%	0.26%	0.23%	0.78%	1.00%	0.93%	1.44%	0.46%	1.18%	0.67%	0.34%	0.84%	0.79%	0.00%	0.65%	0.86%					
21	. Путин Владимир Владимирович	15754	142	629	561	436	501	639	359	771	905	717	689	789	828	350	554	689	774	493	861	191	329	511	553	466	421	499	130	500	467					
		73.39%	75.53%	68.37%	73.82%	72.67%	71.88%	69.16%	69.57%	69.90%	70.76%	70.99%	71.40%	73.26%	72.70%	74.47%	72.80%	80.40%	75.73%	70.73%	72.41%	68.71%	75.98%	75.48%	74.13%	80.07%	70.76%	79.21%	85.53%	81.17%	80.24%					
22	. Хакамада Ирина Муцуовна	625	6	25	15	12	27	34	24	30	34	25	31	31	33	18	25	32	45	22	37	8	10	17	20	16	14	12	2	14	6					
