Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Казачинская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №2265									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9096	98	94	344	1095	90	329	71	195	1445	98	100	263	641	623	175	310	277	156	420	210	281	1781									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9100	95	90	345	1100	90	327	70	195	1470	100	88	255	630	615	170	310	270	155	415	215	285	1810									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3695	39	41	159	384	41	188	22	84	535	38	38	125	256	279	72	142	136	64	161	108	118	665									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	313	8	0	9	45	10	15	0	15	30	5	3	0	27	26	8	9	12	4	5	2	5	75									
6	Число погашенных избирательных бюллетеней	5092	48	49	177	671	39	124	48	96	905	57	47	130	347	310	90	159	122	87	249	105	162	1070									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	313	8	0	9	45	10	15	0	15	30	5	3	0	27	26	8	9	12	4	5	2	5	75									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3695	39	41	159	384	41	188	22	84	535	38	38	125	256	279	72	142	136	64	161	108	118	665									
9	Число недействительных избирательных бюллетеней	113	3	0	3	13	1	3	0	1	24	1	2	2	3	6	5	0	7	0	7	4	1	27									
10	Число действительных избирательных бюллетеней	3895	44	41	165	416	50	200	22	98	541	42	39	123	280	299	75	151	141	68	159	106	122	713									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	395	10	10	20	30	10	20	10	10	40	10	10	10	30	30	10	20	20	10	20	10	10	45									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	36	0	1	2	4	0	2	1	0	4	0	1	0	2	3	1	2	0	0	0	0	1	12									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	40	1	1	3	0	0	2	2	1	2	0	3	0	5	3	2	1	2	1	1	0	2	8									
14	Число погашенных неиспользованных открепительных удостоверений	359	10	9	18	26	10	18	9	10	36	10	9	10	28	27	9	18	20	10	20	10	9	33									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	38	4	0	0	0	0	1	4	0	6	1	0	1	0	1	1	0	2	0	3	1	2	11									
		0.95%	8.51%	0.00%	0.00%	0.00%	0.00%	0.49%	18.18%	0.00%	1.06%	2.33%	0.00%	0.80%	0.00%	0.33%	1.25%	0.00%	1.35%	0.00%	1.81%	0.91%	1.63%	1.49%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	159	1	2	5	12	1	9	1	4	25	2	6	10	10	6	4	10	6	5	10	1	1	28									
		3.97%	2.13%	4.88%	2.98%	2.80%	1.96%	4.43%	4.55%	4.04%	4.42%	4.65%	14.63%	8.00%	3.53%	1.97%	5.00%	6.62%	4.05%	7.35%	6.02%	0.91%	0.81%	3.78%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	196	1	0	0	7	1	4	14	1	20	1	2	5	4	6	4	3	4	2	6	83	2	26									
		4.89%	2.13%	0.00%	0.00%	1.63%	1.96%	1.97%	63.64%	1.01%	3.54%	2.33%	4.88%	4.00%	1.41%	1.97%	5.00%	1.99%	2.70%	2.94%	3.61%	75.45%	1.63%	3.51%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1850	22	26	75	195	36	136	0	64	194	20	9	58	176	175	28	93	82	39	74	0	71	277									
		46.16%	46.81%	63.41%	44.64%	45.45%	70.59%	66.99%	0.00%	64.65%	34.34%	46.51%	21.95%	46.40%	62.19%	57.38%	35.00%	61.59%	55.41%	57.35%	44.58%	0.00%	57.72%	37.43%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	17	0	0	1	2	1	1	0	0	2	1	0	0	1	0	2	0	0	0	0	0	1	5									
		0.42%	0.00%	0.00%	0.60%	0.47%	1.96%	0.49%	0.00%	0.00%	0.35%	2.33%	0.00%	0.00%	0.35%	0.00%	2.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.81%	0.68%									
24	"6. Политическая партия ""Гражданская Платформа"""	18	0	0	0	1	0	0	3	2	0	0	0	1	0	0	0	0	0	0	1	9	0	1									
		0.45%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	13.64%	2.02%	0.00%	0.00%	0.00%	0.80%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	8.18%	0.00%	0.14%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	795	9	2	50	123	4	29	0	13	141	7	16	20	53	58	20	11	25	8	33	1	16	156									
		19.84%	19.15%	4.88%	29.76%	28.67%	7.84%	14.29%	0.00%	13.13%	24.96%	16.28%	39.02%	16.00%	18.73%	19.02%	25.00%	7.28%	16.89%	11.76%	19.88%	0.91%	13.01%	21.08%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	16	1	0	0	2	0	0	0	0	5	0	0	0	0	1	0	0	2	1	0	1	0	3									
		0.40%	2.13%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.88%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	1.35%	1.47%	0.00%	0.91%	0.00%	0.41%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	24	0	0	2	1	0	1	0	0	4	0	1	0	3	0	0	0	2	0	0	0	0	10									
		0.60%	0.00%	0.00%	1.19%	0.23%	0.00%	0.49%	0.00%	0.00%	0.71%	0.00%	2.44%	0.00%	1.06%	0.00%	0.00%	0.00%	1.35%	0.00%	0.00%	0.00%	0.00%	1.35%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.10%	0.00%	0.00%	1.19%	0.23%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	30	0	0	1	0	0	0	0	0	5	0	1	2	5	1	1	2	0	0	1	0	0	11									
		0.75%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.88%	0.00%	2.44%	1.60%	1.77%	0.33%	1.25%	1.32%	0.00%	0.00%	0.60%	0.00%	0.00%	1.49%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	561	5	10	23	55	6	15	0	10	84	9	3	25	18	39	11	29	11	10	24	9	26	139									
		13.99%	10.64%	24.39%	13.69%	12.82%	11.76%	7.39%	0.00%	10.10%	14.87%	20.93%	7.32%	20.00%	6.36%	12.79%	13.75%	19.21%	7.43%	14.71%	14.46%	8.18%	21.14%	18.78%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	98	0	1	1	11	1	3	0	0	30	1	0	1	7	6	1	0	3	0	5	0	0	27									
		2.45%	0.00%	2.44%	0.60%	2.56%	1.96%	1.48%	0.00%	0.00%	5.31%	2.33%	0.00%	0.80%	2.47%	1.97%	1.25%	0.00%	2.03%	0.00%	3.01%	0.00%	0.00%	3.65%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	89	1	0	5	6	0	1	0	4	24	0	1	0	3	6	3	3	4	3	2	1	3	19									
		2.22%	2.13%	0.00%	2.98%	1.40%	0.00%	0.49%	0.00%	4.04%	4.25%	0.00%	2.44%	0.00%	1.06%	1.97%	3.75%	1.99%	2.70%	4.41%	1.20%	0.91%	2.44%	2.57%									
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
