Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
"Наименование Избирательной комиссии:    Прокопьевск, Зенковская"																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	49707	1819	1890	493	2473	2564	1979	2150	2507	1388	1273	2210	2038	2450	670	1224	2399	2235	1683	1511	1538	1389	1402	509	2125	1133	709	481	1896	949	889	1347	58	100	44	182									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	49732	1832	1888	488	2490	2561	1994	2158	2550	1384	1270	2210	2084	2469	663	1211	2405	2091	1683	1516	1538	1395	1393	510	2121	1143	718	480	1929	941	882	1348	58	100	46	183									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	47220	1758	1834	473	2368	2482	1868	2047	2451	1367	1235	2076	1983	2393	608	1179	2301	2051	1644	1439	1451	1282	1250	457	2037	1020	655	371	1747	830	864	1315	58	100	44	182									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1868	51	54	15	81	41	42	56	53	14	21	129	34	36	55	30	90	40	29	50	76	101	139	47	69	112	50	108	92	110	17	26	0	0	0	0									
6	Число погашенных избирательных бюллетеней	644	23	0	0	41	38	84	55	46	3	14	5	67	40	0	2	14	0	10	27	11	12	4	6	15	11	13	1	90	1	1	7	0	0	2	1									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1864	51	54	15	81	41	42	56	53	14	21	129	34	35	55	30	90	40	29	50	76	101	139	47	69	112	50	108	89	110	17	26	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	47177	1756	1824	473	2366	2481	1867	2047	2447	1366	1235	2076	1980	2393	608	1179	2296	2041	1644	1439	1451	1282	1249	457	2037	1020	655	371	1744	830	864	1315	58	100	44	182									
9	Число недействительных избирательных бюллетеней	128	12	5	0	1	12	6	5	5	3	3	4	5	7	0	2	6	9	6	4	4	0	2	6	12	0	0	0	0	0	0	9	0	0	0	0									
10	Число действительных избирательных бюллетеней	48913	1795	1873	488	2446	2510	1903	2098	2495	1377	1253	2201	2009	2421	663	1207	2380	2072	1667	1485	1523	1383	1386	498	2094	1132	705	479	1833	940	881	1332	58	100	44	182									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	475	15	15	5	20	20	20	20	20	15	15	30	20	20	5	15	20	20	15	15	15	15	15	5	20	15	10	5	15	10	10	15	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	337	12	14	1	18	16	10	16	20	5	6	28	13	16	5	10	20	8	10	8	15	5	7	3	20	5	10	4	13	3	4	12	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	159	5	14	0	2	2	1	15	1	2	3	6	2	1	1	9	4	3	5	1	5	3	8	2	12	0	2	6	8	2	9	2	1	0	0	22									
14	Число погашенных неиспользованных открепительных удостоверений	138	3	1	4	2	4	10	4	0	10	9	2	7	4	0	5	0	12	5	7	0	10	8	2	0	10	0	1	2	7	6	3	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	2	0	1	0	1	0	0	0	0	0	3	2	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																														
