Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																				
Дата голосования: 02.12.2007																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Приморская N12																																																																																				
																																																																																				
Сводная таблица результатов выборов																																																																																				
																																																																																				
		Сумма	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476					
1	"Число избирателей, внесенных в списки избирателей"	191040	1180	1208	2184	2956	2541	2106	2116	2196	2045	2122	2896	2540	2932	3013	2824	3063	2854	2499	2534	1233	3043	2597	2738	2593	2713	2253	2453	2654	2943	2989	2567	2686	2310	2493	2293	2074	1781	2304	2126	2409	2535	2641	2824	2469	2464	2873	2953	2474	2106	2317	2936	2445	2555	2581	3057	2575	2486	2627	2649	2137	2910	2929	2151	2553	1280	1328	2511	2575	2836	2606	2691	2487	2455	2678	2647	2613	3025					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	171000	1000	1000	2000	2500	2000	2000	2000	2000	2000	2000	2500	2500	2500	2500	2500	2500	2500	2000	2500	1000	2500	2500	2500	2500	2500	2000	2000	2500	2500	2500	2500	2500	2000	2000	2000	2000	1500	2000	2000	2000	2500	2500	2500	2000	2500	2500	2500	2000	2000	2000	2500	2000	2500	2500	2500	2500	2500	2500	2500	2000	2500	2500	2000	2500	1000	1000	2500	2500	2500	2500	2500	2500	2000	2500	2500	2000	2500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	96391	542	603	1209	1600	1277	1064	1162	1095	1067	1109	1456	1355	1514	1427	1263	1594	1374	1386	1394	636	1552	1355	1418	1249	1414	1174	1233	1307	1440	1555	1172	1284	1284	1397	1026	934	950	1195	1069	1311	1299	1374	1587	1227	1270	1409	1500	1300	963	1176	1452	1139	1257	1283	1449	1413	1321	1277	1371	1104	1395	1377	1136	1312	578	626	1286	1195	1363	1275	1218	1260	1254	1375	1355	1376	1393					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1249	33	14	143	12	17	6	14	9	6	13	13	14	16	17	9	12	13	9	3	6	26	17	16	22	10	11	19	15	4	5	11	9	29	26	11	26	27	23	30	37	35	22	16	17	27	24	22	20	18	26	13	10	13	13	13	11	17	10	3	8	11	12	15	14	3	3	6	14	12	7	5	9	7	8	5	7	20					
6	Число погашенных избирательных бюллетеней	73359	425	383	648	888	706	930	824	896	927	878	1031	1131	970	1056	1228	894	1112	605	1103	358	922	1128	1066	1229	1076	815	748	1178	1056	940	1317	1207	687	577	963	1040	523	782	901	652	1166	1104	897	756	1203	1067	978	680	1019	798	1035	851	1230	1204	1038	1076	1162	1213	1126	888	1094	1111	849	1174	419	371	1208	1291	1125	1218	1277	1231	739	1117	1140	617	1087					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1250	33	14	143	12	17	6	14	9	6	13	13	14	16	17	9	12	14	9	3	6	26	17	16	22	10	11	19	15	4	5	11	9	29	26	11	26	27	23	30	37	35	22	16	17	27	24	22	20	18	26	13	10	13	13	13	11	17	10	3	8	11	12	15	14	3	3	6	14	12	7	5	9	7	8	5	7	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	95995	540	603	1066	1596	1277	1064	1162	1091	1067	1107	1456	1347	1509	1427	1261	1591	1367	1386	1394	636	1550	1352	1418	1249	1414	1174	1233	1307	1435	1496	1168	1284	1281	1394	1026	933	949	1189	1069	1311	1296	1374	1587	1226	1268	1409	1478	1300	963	1171	1451	1135	1257	1277	1449	1406	1321	1274	1371	1104	1395	1369	1114	1309	577	626	1275	1195	1359	1261	1215	1257	1253	1374	1353	1376	1391					
9	Число недействительных избирательных бюллетеней	992	4	9	18	14	9	15	12	14	7	17	11	17	17	21	7	14	33	12	12	3	12	10	14	8	12	7	16	13	7	16	6	11	15	20	8	14	7	10	14	18	10	16	14	24	15	13	22	14	11	11	13	8	13	15	19	16	9	22	9	11	10	15	11	17	7	5	15	9	10	15	7	9	17	10	12	15	19					
10	Число действительных избирательных бюллетеней	96253	569	608	1191	1594	1285	1055	1164	1086	1066	1103	1458	1344	1508	1423	1263	1589	1348	1383	1385	639	1564	1359	1420	1263	1412	1178	1236	1309	1432	1485	1173	1282	1295	1400	1029	945	969	1202	1085	1330	1321	1380	1589	1219	1280	1420	1478	1306	970	1186	1451	1137	1257	1275	1443	1401	1329	1262	1365	1101	1396	1366	1118	1306	573	624	1266	1200	1361	1253	1213	1257	1243	1372	1346	1368	1392					
