Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																								
Дата голосования: 04.12.2011																																																																								
																																																																								
Наименование Избирательной комиссии:    Александровская																																																																								
																																																																								
Сводная таблица результатов выборов																																																																								
																																																																								
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65					
1	"Число избирателей, внесенных в список избирателей"	100192	2291	1005	874	969	2551	1037	2000	2035	2111	1713	2606	2392	2840	2537	1990	2214	1531	2598	2459	2550	2468	2393	2364	2727	2414	2352	2601	323	555	765	1158	206	648	365	424	388	222	670	609	502	285	517	868	447	427	714	342	265	693	1661	2469	1547	1569	2385	2453	2649	2497	2361	2519	2283	52	638	602	2917	2575					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	95674	2196	946	831	925	2450	981	1959	1942	2028	1633	2495	2311	2706	2429	1909	2106	1313	2500	2356	2459	2385	2278	2261	2578	2320	2212	2527	310	529	729	1070	201	616	342	407	366	211	659	581	470	279	495	839	433	406	686	328	239	653	1606	2383	1498	1512	2320	2361	2477	2404	2274	2440	2169	100	638	554	2684	2369					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	38884	904	369	269	335	956	385	796	815	868	657	1035	1039	1186	1080	749	887	659	1211	977	1036	1123	932	705	899	820	854	1031	101	155	225	407	77	229	101	164	111	86	280	197	174	118	133	358	144	40	196	27	73	205	441	910	485	394	744	884	814	755	720	693	894	52	0	3	2618	2299					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3290	13	16	24	16	69	22	30	8	12	4	22	23	58	31	9	10	82	30	10	20	27	7	30	57	18	35	10	43	103	110	85	21	99	42	22	92	25	85	65	10	15	94	35	45	157	109	93	30	146	32	66	17	50	53	50	65	30	30	27	48	0	603	0	0	0					
6	Число погашенных избирательных бюллетеней	53500	1279	561	538	574	1425	574	1133	1119	1148	972	1438	1249	1462	1318	1151	1209	572	1259	1369	1403	1235	1339	1526	1622	1482	1323	1486	166	271	394	578	103	288	199	221	163	100	294	319	286	146	268	446	244	209	381	208	136	302	1133	1407	996	1068	1523	1427	1598	1619	1524	1720	1227	48	35	551	66	70					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3289	13	16	24	16	69	22	30	8	12	4	22	23	58	31	9	10	82	30	10	20	27	7	30	57	18	35	10	43	103	110	85	21	99	42	22	92	25	85	65	10	15	94	35	45	157	109	93	30	146	32	66	17	50	53	50	65	30	29	27	48	0	603	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	38790	904	369	269	335	955	385	769	815	856	656	1032	1039	1186	1070	749	887	659	1210	977	1035	1123	932	705	899	820	854	1026	101	155	225	407	77	229	101	164	111	86	280	197	174	118	133	358	144	40	196	27	73	205	441	910	485	394	744	884	814	755	719	693	894	52	0	3	2618	2267					
9	Число недействительных избирательных бюллетеней	951	14	13	10	13	32	15	15	11	26	14	29	25	28	22	18	20	19	31	19	23	29	28	20	19	18	22	17	3	4	7	32	4	9	2	2	1	3	9	2	2	1	3	10	4	4	4	0	3	9	10	27	13	2	24	36	24	15	17	18	23	3	50	0	11	10					
10	Число действительных избирательных бюллетеней	41128	903	372	283	338	992	392	784	812	842	646	1025	1037	1216	1079	740	877	722	1209	968	1032	1121	911	715	937	820	867	1019	141	254	328	460	94	319	141	184	202	108	356	260	182	132	224	383	185	193	301	120	100	342	463	949	489	442	773	898	855	770	731	702	919	49	553	3	2607	2257					
