Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
"Наименование Избирательной комиссии:    Астрахань, Cоветская"																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	105275	1790	1820	1594	1953	1793	1540	2322	1973	1931	1990	1637	1653	2563	2282	2255	2034	2078	1918	2588	1045	2234	1699	1725	1910	2456	2147	2522	2511	1328	2016	1930	1245	1925	2256	2024	2520	1539	2898	1229	2169	2246	2181	2425	2456	1571	2566	1997	2937	1635	2444	1675	1896	204									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	96480	1800	1800	1400	2000	1800	1400	2000	2000	1600	2000	1600	1600	2500	2200	2000	1500	1700	1700	2300	960	2200	1600	1700	1900	2500	2100	2500	2500	1300	1900	1900	1200	1900	2200	2100	2300	1400	2900	1200	2100	1800	1800	1900	1900	1200	2000	1600	2300	1300	2000	1400	1500	520									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	33765	696	671	669	717	665	611	862	697	755	470	534	333	410	1031	874	767	750	659	825	346	452	670	700	534	778	742	744	675	470	832	732	395	588	814	755	1017	499	901	342	557	566	626	602	849	405	835	584	647	463	627	384	467	171									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1117	7	6	8	5	14	9	10	15	16	0	34	4	11	20	20	11	10	53	182	9	8	13	10	28	18	23	22	17	12	28	15	23	20	13	25	11	3	19	4	19	16	6	60	23	9	9	7	161	16	3	12	20	0									
6	Число погашенных избирательных бюллетеней	61598	1097	1123	723	1278	1121	780	1128	1288	829	1530	1032	1263	2079	1149	1106	722	940	988	1293	605	1740	917	990	1338	1704	1335	1734	1808	818	1040	1153	782	1292	1373	1320	1272	898	1980	854	1524	1218	1168	1238	1028	786	1156	1009	1492	821	1370	1004	1013	349									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1117	7	6	8	5	14	9	10	15	16	0	34	4	11	20	20	11	10	53	182	9	8	13	10	28	18	23	22	17	12	28	15	23	20	13	25	11	3	19	4	19	16	6	60	23	9	9	7	161	16	3	12	20	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	33735	696	671	669	717	665	611	862	697	755	468	534	333	409	1031	874	756	750	659	825	346	452	670	700	534	776	742	744	674	470	832	732	394	588	812	755	1009	499	901	342	557	565	626	602	849	405	835	584	646	463	627	384	467	171									
9	Число недействительных избирательных бюллетеней	1010	25	15	12	19	20	23	13	23	17	2	16	10	11	11	31	38	16	14	26	13	16	9	23	11	21	13	18	13	15	32	22	5	38	42	30	28	10	37	18	17	25	26	30	19	13	14	17	36	9	17	11	18	2									
10	Число действительных избирательных бюллетеней	33842	678	662	665	703	659	597	859	689	754	466	552	327	409	1040	863	729	744	698	981	342	444	674	687	551	773	752	748	678	467	828	725	412	570	783	750	992	492	883	328	559	556	606	632	853	401	830	574	771	470	613	385	469	169									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2721	40	40	35	36	80	43	58	45	65	40	60	40	40	60	80	80	55	60	60	30	35	50	60	60	50	70	50	70	40	60	75	50	50	66	67	55	30	70	40	55	85	65	30	40	38	60	40	70	30	53	30	30	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	2424	36	40	35	35	57	43	58	43	65	39	49	38	40	55	71	69	55	58	58	12	35	49	53	52	45	59	49	63	37	42	60	44	47	58	62	55	28	67	34	49	67	61	30	36	34	49	35	54	25	48	21	20	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	3079	26	32	17	8	10	24	60	22	25	9	23	50	12	82	54	130	88	186	189	56	38	38	73	20	14	92	28	47	32	98	71	48	19	86	13	203	166	30	64	78	10	24	104	102	95	138	61	14	51	52	20	14	33									
14	Число погашенных неиспользованных открепительных удостоверений	297	4	0	0	1	23	0	0	2	0	1	11	2	0	5	9	11	0	2	2	18	0	1	7	8	5	11	1	7	3	18	15	6	3	8	5	0	2	3	6	6	18	4	0	4	4	11	5	16	5	5	9	10	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1038	28	29	25	29	18	14	31	22	19	16	26	13	27	35	35	26	26	34	31	4	13	29	19	13	36	26	21	27	8	6	20	16	21	28	26	24	10	21	5	18	14	24	9	10	11	17	14	21	6	16	14	7	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	451	14	9	10	11	8	4	6	7	4	0	9	3	6	7	13	8	10	4	15	6	3	4	6	13	14	6	14	5	7	12	11	8	15	9	16	21	11	20	3	1	8	13	12	9	5	5	6	11	3	11	6	7	2									
		1.29%	1.99%	1.33%	1.48%	1.52%	1.18%	0.65%	0.69%	0.98%	0.52%	0.00%	1.58%	0.89%	1.43%	0.67%	1.45%	1.04%	1.32%	0.56%	1.49%	1.69%	0.65%	0.59%	0.85%	2.31%	1.76%	0.78%	1.83%	0.72%	1.45%	1.40%	1.47%	1.92%	2.47%	1.09%	2.05%	2.06%	2.19%	2.17%	0.87%	0.17%	1.38%	2.06%	1.81%	1.03%	1.21%	0.59%	1.02%	1.36%	0.63%	1.75%	1.52%	1.44%	1.17%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1045	27	17	17	12	20	4	27	23	18	5	12	8	11	12	22	74	15	24	35	14	17	24	18	13	23	24	23	19	20	17	21	10	17	28	22	25	13	24	8	17	14	16	15	26	6	9	16	100	12	15	15	17	4									
		2.99%	3.84%	2.51%	2.51%	1.66%	2.95%	0.65%	3.10%	3.23%	2.33%	1.07%	2.11%	2.37%	2.62%	1.14%	2.46%	9.65%	1.97%	3.37%	3.48%	3.94%	3.70%	3.51%	2.54%	2.31%	2.90%	3.14%	3.00%	2.75%	4.15%	1.98%	2.81%	2.40%	2.80%	3.39%	2.82%	2.45%	2.59%	2.61%	2.31%	2.95%	2.41%	2.53%	2.27%	2.98%	1.45%	1.07%	2.71%	12.39%	2.51%	2.38%	3.79%	3.49%	2.34%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	613	14	19	16	20	9	1	9	16	13	9	7	8	6	10	18	15	10	10	20	5	11	16	9	10	17	12	18	10	10	21	6	6	13	10	16	22	11	17	3	8	9	3	23	23	2	0	9	16	6	16	12	11	2									
