Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Кировская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №745	УИК №746	УИК №747									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	26393	1560	3120	1326	1426	1275	1352	1473	1447	1339	1327	1314	1357	1442	1337	1284	1401	1219	912	105	137	240									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19050	1000	2000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	500	150	150	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8841	407	867	516	521	440	491	421	460	484	495	467	494	413	427	408	458	386	284	101	117	184									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	112	10	13	1	5	5	6	7	7	11	7	9	6	8	4	3	4	6	0	0	0	0									
6	Число погашенных избирательных бюллетеней	10097	583	1120	483	474	555	503	572	533	505	498	524	500	579	569	589	538	608	216	49	33	66									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	112	10	13	1	5	5	6	7	7	11	7	9	6	8	4	3	4	6	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8836	407	866	516	521	439	489	421	460	484	495	466	494	413	427	408	458	386	284	101	117	184									
9	Число недействительных избирательных бюллетеней	279	11	35	11	21	21	21	16	16	11	19	15	19	14	8	9	13	10	7	1	0	1									
10	Число действительных избирательных бюллетеней	8669	406	844	506	505	423	474	412	451	484	483	460	481	407	423	402	449	382	277	100	117	183									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	307	15	52	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	33	2	2	2	2	1	4	0	1	3	4	1	3	3	2	1	1	0	1	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	51	1	1	1	2	1	1	0	3	7	3	2	5	1	3	6	1	0	8	1	1	3									
14	Число погашенных неиспользованных открепительных удостоверений	274	13	50	13	13	14	11	15	14	12	11	14	12	12	13	14	14	15	14	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	93	6	7	4	5	6	3	2	5	3	7	3	5	8	10	6	8	5	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	196	15	25	14	18	16	10	3	14	8	12	10	6	11	12	8	3	4	3	1	1	2									
		2.19%	3.60%	2.84%	2.71%	3.42%	3.60%	2.02%	0.70%	2.99%	1.62%	2.39%	2.11%	1.20%	2.61%	2.78%	1.95%	0.65%	1.02%	1.06%	0.99%	0.85%	1.09%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	235	13	18	13	17	12	16	10	7	13	13	10	14	15	15	15	9	12	6	2	2	3									
		2.63%	3.12%	2.05%	2.51%	3.23%	2.70%	3.23%	2.34%	1.50%	2.63%	2.59%	2.11%	2.80%	3.56%	3.48%	3.65%	1.95%	3.06%	2.11%	1.98%	1.71%	1.63%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	327	11	33	25	20	24	15	10	16	24	18	19	17	18	19	18	10	12	8	4	3	3									
		3.65%	2.64%	3.75%	4.84%	3.80%	5.41%	3.03%	2.34%	3.43%	4.85%	3.59%	4.00%	3.40%	4.28%	4.41%	4.38%	2.16%	3.06%	2.82%	3.96%	2.56%	1.63%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2990	131	266	165	169	118	150	152	189	156	151	149	158	125	127	132	144	151	147	33	69	108									
		33.42%	31.41%	30.26%	31.91%	32.13%	26.58%	30.30%	35.51%	40.47%	31.52%	30.08%	31.37%	31.60%	29.69%	29.47%	32.12%	31.17%	38.52%	51.76%	32.67%	58.97%	58.70%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	98	0	8	6	6	7	8	5	3	2	8	4	7	8	10	4	3	3	1	2	2	1									
		1.10%	0.00%	0.91%	1.16%	1.14%	1.58%	1.62%	1.17%	0.64%	0.40%	1.59%	0.84%	1.40%	1.90%	2.32%	0.97%	0.65%	0.77%	0.35%	1.98%	1.71%	0.54%									
24	"6. Политическая партия ""Гражданская Платформа"""	39	3	2	2	3	1	2	1	2	1	5	2	3	1	0	3	5	3	0	0	0	0									
		0.44%	0.72%	0.23%	0.39%	0.57%	0.23%	0.40%	0.23%	0.43%	0.20%	0.99%	0.42%	0.60%	0.24%	0.00%	0.73%	1.08%	0.77%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1815	83	183	93	98	89	115	100	83	86	88	97	95	91	83	89	96	99	72	16	22	37									
		20.28%	19.90%	20.82%	17.99%	18.63%	20.05%	23.23%	23.36%	17.77%	17.37%	17.53%	20.42%	19.00%	21.62%	19.26%	21.65%	20.78%	25.26%	25.35%	15.84%	18.80%	20.11%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	69	5	6	2	1	2	3	7	8	5	6	5	2	3	1	3	4	3	2	1	0	0									
		0.77%	1.20%	0.68%	0.39%	0.19%	0.45%	0.61%	1.64%	1.71%	1.01%	1.20%	1.05%	0.40%	0.71%	0.23%	0.73%	0.87%	0.77%	0.70%	0.99%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	112	3	10	10	4	10	8	3	5	3	11	12	10	3	6	4	5	1	3	1	0	0									
		1.25%	0.72%	1.14%	1.93%	0.76%	2.25%	1.62%	0.70%	1.07%	0.61%	2.19%	2.53%	2.00%	0.71%	1.39%	0.97%	1.08%	0.26%	1.06%	0.99%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	9	1	0	1	1	0	0	0	0	0	2	1	0	1	0	0	2	0	0	0	0	0									
		0.10%	0.24%	0.00%	0.19%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.21%	0.00%	0.24%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	243	11	25	9	17	6	14	12	9	26	13	21	10	21	17	11	8	6	1	1	0	5									
		2.72%	2.64%	2.84%	1.74%	3.23%	1.35%	2.83%	2.80%	1.93%	5.25%	2.59%	4.42%	2.00%	4.99%	3.94%	2.68%	1.73%	1.53%	0.35%	0.99%	0.00%	2.72%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1271	65	129	88	80	66	69	55	54	82	69	67	76	62	73	65	67	50	22	11	13	8									
		14.20%	15.59%	14.68%	17.02%	15.21%	14.86%	13.94%	12.85%	11.56%	16.57%	13.75%	14.11%	15.20%	14.73%	16.94%	15.82%	14.50%	12.76%	7.75%	10.89%	11.11%	4.35%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	40	1	6	2	5	1	6	3	1	5	2	1	3	0	0	3	1	0	0	0	0	0									
		0.45%	0.24%	0.68%	0.39%	0.95%	0.23%	1.21%	0.70%	0.21%	1.01%	0.40%	0.21%	0.60%	0.00%	0.00%	0.73%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1225	64	133	76	66	71	58	51	60	73	85	62	80	48	60	47	92	38	12	28	5	16									
		13.69%	15.35%	15.13%	14.70%	12.55%	15.99%	11.72%	11.92%	12.85%	14.75%	16.93%	13.05%	16.00%	11.40%	13.92%	11.44%	19.91%	9.69%	4.23%	27.72%	4.27%	8.70%									
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
