Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																				
Дата голосования: 18.09.2016																				
																				
Наименование Избирательной комиссии:    Усть-Камчатская																				
																				
Сводная таблица итогов голосования по федеральному избирательному округу																				
																				
		Сумма	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8197	982	71	1170	627	731	1201	1837	1353	225									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9000	1050	95	1345	740	895	1340	2000	1330	205									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	169	0	0	0	0	0	169	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3693	610	47	444	270	274	751	771	406	120									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	699	106	14	78	54	79	27	66	250	25									
6	Число погашенных избирательных бюллетеней	4439	334	34	823	416	542	393	1163	674	60									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	868	106	14	78	54	79	196	66	250	25									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3688	610	47	444	270	273	751	767	406	120									
9	Число недействительных избирательных бюллетеней	217	13	5	29	16	12	81	33	25	3									
10	Число действительных избирательных бюллетеней	4339	703	56	493	308	340	866	800	631	142									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	121	10	2	10	4	3	70	10	10	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	56	4	0	2	0	0	42	3	5	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	10	3	0	2	2	0	0	3	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	65	6	2	8	4	3	28	7	5	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	0	0	0	1	0	5	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0									
																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	45	3	3	4	4	6	10	6	8	1									
		0.99%	0.42%	4.92%	0.77%	1.23%	1.70%	1.06%	0.72%	1.22%	0.69%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	111	27	1	12	7	7	14	24	16	3									
		2.44%	3.77%	1.64%	2.30%	2.16%	1.99%	1.48%	2.88%	2.44%	2.07%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	94	17	0	14	11	4	15	21	10	2									
		2.06%	2.37%	0.00%	2.68%	3.40%	1.14%	1.58%	2.52%	1.52%	1.38%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2457	452	37	267	157	167	515	430	357	75									
		53.93%	63.13%	60.66%	51.15%	48.46%	47.44%	54.38%	51.62%	54.42%	51.72%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	24	2	1	4	4	0	9	2	1	1									
		0.53%	0.28%	1.64%	0.77%	1.23%	0.00%	0.95%	0.24%	0.15%	0.69%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	0	1	0	2	0	6	1	0	0									
		0.22%	0.00%	1.64%	0.00%	0.62%	0.00%	0.63%	0.12%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	970	100	8	119	86	94	169	208	155	31									
		21.29%	13.97%	13.11%	22.80%	26.54%	26.70%	17.85%	24.97%	23.63%	21.38%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	8	0	0	0	1	3	3	0	1	0									
		0.18%	0.00%	0.00%	0.00%	0.31%	0.85%	0.32%	0.00%	0.15%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	23	4	1	7	2	3	3	3	0	0									
		0.50%	0.56%	1.64%	1.34%	0.62%	0.85%	0.32%	0.36%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	9	2	0	0	0	2	2	1	2	0									
		0.20%	0.28%	0.00%	0.00%	0.00%	0.57%	0.21%	0.12%	0.30%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	28	5	0	1	1	2	13	3	2	1									
		0.61%	0.70%	0.00%	0.19%	0.31%	0.57%	1.37%	0.36%	0.30%	0.69%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	399	72	2	45	28	28	82	65	58	19									
		8.76%	10.06%	3.28%	8.62%	8.64%	7.95%	8.66%	7.80%	8.84%	13.10%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	25	1	0	2	0	2	10	6	3	1									
		0.55%	0.14%	0.00%	0.38%	0.00%	0.57%	1.06%	0.72%	0.46%	0.69%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	136	18	2	18	5	22	15	30	18	8									
		2.99%	2.51%	3.28%	3.45%	1.54%	6.25%	1.58%	3.60%	2.74%	5.52%									
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
