Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																													
Дата голосования: 02.12.2007																																																																																													
																																																																																													
"Наименование Избирательной комиссии:    Екатеринбург, Верх-Исетская"																																																																																													
																																																																																													
Сводная таблица результатов выборов																																																																																													
																																																																																													
		Сумма	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1822	УИК №1823					
1	"Число избирателей, внесенных в списки избирателей"	161452	39	1043	1880	2018	1753	2569	1918	2556	2750	2683	2947	2431	2197	2596	2614	1072	1026	2736	2657	3005	1548	1666	1492	1941	1795	2290	2795	2152	2731	2569	2567	2554	2498	2439	2058	2704	1790	2027	2346	1250	1922	2320	2582	1674	2158	2001	1964	1406	1424	1904	2095	1013	2268	2408	2793	2344	2746	2543	2594	2760	2895	2549	2964	3075	2744	2600	2712	1421	354	644	568	1128	1136	1768	1760	306	420	653	848	685	106	259	69	1079	25	63					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	135250	1500	800	1500	1600	1400	2000	1500	1800	1700	2300	2400	2000	1800	2100	2200	900	800	2200	2200	2300	1300	1400	1200	1600	1500	1700	2200	1700	2200	2100	2100	2100	2000	2000	1700	2300	1500	1700	1900	1100	1500	1900	2100	1400	1700	1600	1600	1200	1200	1600	1700	800	1700	1900	2100	1900	2100	2100	2100	2200	2300	2100	2400	2400	2200	2100	2200	1100	300	500	500	1300	1150	1800	1300	300	500	800	900	1000	150	250	200	900	400	1500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	91324	39	569	1257	1336	934	1412	1059	1289	1559	1479	1591	1380	1216	1467	1367	533	458	1429	1418	1522	870	936	818	1107	1102	1261	1496	1161	1462	1535	1385	1464	1428	1323	1168	1592	1005	1117	1351	640	1087	1321	1448	937	1094	1111	1036	728	857	1141	1199	698	1368	1072	1552	1319	1486	1387	1301	1478	1601	1306	1633	1640	1604	1426	1495	776	202	276	290	793	1108	1418	1016	237	408	560	749	685	106	135	69	548	25	63					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3171	0	83	55	25	41	22	44	22	27	34	14	10	28	15	23	56	82	31	24	75	34	16	19	28	17	30	25	19	26	29	23	26	26	27	15	30	19	16	28	30	22	29	52	18	53	30	32	13	24	26	19	6	3	17	90	7	41	27	28	17	13	38	39	40	27	21	17	21	3	64	153	309	0	337	162	56	0	0	0	0	0	83	0	40	0	0					
6	Число погашенных избирательных бюллетеней	40755	1461	148	188	239	425	566	397	489	114	787	795	610	556	618	810	311	260	740	758	703	396	448	363	465	381	409	679	520	712	536	692	610	546	650	517	678	476	567	521	430	391	550	600	445	553	459	532	459	319	433	482	96	329	811	458	574	573	686	771	705	686	756	728	720	569	653	688	303	95	160	57	198	42	45	122	7	92	240	151	315	44	32	131	312	375	1437					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3171	0	83	55	25	41	22	44	22	27	34	14	10	28	15	23	56	82	31	24	75	34	16	19	28	17	30	25	19	26	29	23	26	26	27	15	30	19	16	28	30	22	29	52	18	53	30	32	13	24	26	19	6	3	17	90	7	41	27	28	17	13	38	39	40	27	21	17	21	3	64	153	309	0	337	162	56	0	0	0	0	0	83	0	40	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	91280	39	568	1257	1336	934	1408	1058	1288	1556	1479	1590	1380	1216	1467	1367	533	458	1428	1413	1522	870	936	818	1107	1101	1261	1486	1161	1462	1532	1384	1464	1424	1323	1168	1592	1005	1117	1351	640	1087	1321	1448	937	1094	1111	1036	728	857	1138	1198	698	1368	1072	1552	1319	1486	1387	1301	1478	1601	1306	1633	1640	1604	1426	1494	776	202	276	290	792	1106	1418	1016	237	408	560	749	685	106	135	69	548	25	63					
9	Число недействительных избирательных бюллетеней	1022	0	5	13	15	7	15	6	9	19	13	16	14	9	16	22	11	8	17	14	18	14	13	4	17	11	24	17	6	21	24	19	14	13	7	0	10	6	8	19	2	11	16	29	13	20	11	7	7	11	15	13	7	14	10	16	13	8	13	19	12	21	13	16	24	11	8	15	9	3	4	2	18	16	27	10	2	1	15	8	25	1	5	0	7	0	0					
10	Число действительных избирательных бюллетеней	93429	39	646	1299	1346	968	1415	1096	1301	1564	1500	1588	1376	1235	1466	1368	578	532	1442	1423	1579	890	939	833	1118	1107	1267	1494	1174	1467	1537	1388	1476	1437	1343	1183	1612	1018	1125	1360	668	1098	1334	1471	942	1127	1130	1061	734	870	1149	1204	697	1357	1079	1626	1313	1519	1401	1310	1483	1593	1331	1656	1656	1620	1439	1496	788	202	336	441	1083	1090	1728	1168	291	407	545	741	660	105	213	69	581	25	63					
