Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Красногвардейская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	30609	1257	1248	1021	1121	721	1032	572	331	769	190	444	592	720	336	472	730	451	198	285	526	438	395	640	839	1008	771	138	513	161	663	245	233	1018	790	686	548	361	231	1034	749	593	403	360	248	1022	1084	579	622	183	721	157	160									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30530	1220	1260	1020	1120	715	1035	574	333	770	194	445	594	730	335	465	735	450	195	280	530	435	395	640	840	1000	770	136	510	160	665	243	230	1015	790	680	545	355	228	1030	745	590	400	360	246	1015	1095	575	620	183	720	155	159									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16855	582	592	628	522	296	440	311	171	450	169	354	530	458	192	229	451	245	163	110	277	184	242	383	520	529	340	116	279	100	376	166	147	524	357	304	222	178	159	528	364	453	202	235	169	585	756	241	306	145	381	98	96									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3783	96	112	11	35	100	153	128	64	121	19	20	21	105	63	84	77	66	17	77	110	91	76	27	60	70	54	0	129	38	77	25	28	96	125	59	108	48	23	44	81	80	48	50	45	202	196	107	87	12	161	29	28									
6	Число погашенных избирательных бюллетеней	9892	542	556	381	563	319	442	135	98	199	6	71	43	167	80	152	207	139	15	93	143	160	77	230	260	401	376	20	102	22	212	52	55	395	308	317	215	129	46	458	300	57	150	75	32	228	143	227	227	26	178	28	35									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3783	96	112	11	35	100	153	128	64	121	19	20	21	105	63	84	77	66	17	77	110	91	76	27	60	70	54	0	129	38	77	25	28	96	125	59	108	48	23	44	81	80	48	50	45	202	196	107	87	12	161	29	28									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16851	582	592	628	522	293	440	311	171	450	169	354	530	458	192	229	451	245	163	110	277	184	242	383	520	529	340	116	279	100	376	166	147	524	356	304	222	178	159	528	364	453	202	235	169	585	756	241	306	145	381	98	96									
9	Число недействительных избирательных бюллетеней	263	5	6	5	6	2	8	3	2	4	12	0	34	5	2	1	8	5	0	1	3	3	6	1	5	12	7	0	3	0	3	7	8	11	11	6	3	6	0	8	14	5	1	0	0	4	7	9	9	1	0	1	0									
10	Число действительных избирательных бюллетеней	20371	673	698	634	551	391	585	436	233	567	176	374	517	558	253	312	520	306	180	186	384	272	312	409	575	587	387	116	405	138	450	184	167	609	470	357	327	220	182	564	431	528	249	285	214	783	945	339	384	156	542	126	124									
