Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																						
Дата голосования: 07.12.2003 0:00:00																						
																						
Наименование Избирательной комиссии:    Азнакаевская городская																						
																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																						
																						
		Сумма	УИК  511	УИК  512	УИК  513	УИК  514	УИК  515	УИК  516	УИК  517	УИК  518	УИК  519	УИК  520	УИК  521	УИК  522	УИК  523	УИК  524	УИК  525					
1	"Число избирателей, внесенных в списки"	26707	1071	1503	1865	980	1533	2234	1648	1637	1885	1989	2764	2147	1907	1952	1592					
2	"Число бюллетеней, полученных участковыми комиссиями"	25861	971	1425	1819	1007	1503	2190	1616	1516	1840	1945	2644	2087	1866	1953	1479					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	20686	792	1163	1436	773	1203	1684	1186	1328	1424	1512	2295	1678	1507	1457	1248					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	564	19	49	33	44	40	54	48	15	23	22	24	32	43	27	91					
6	Число погашенных бюллетеней	4609	160	213	350	190	260	452	380	173	393	411	325	377	316	469	140					
7	Число бюллетеней в переносных ящиках для голосования	564	19	49	33	44	40	54	48	15	23	22	24	32	43	27	91					
8	Число бюллетеней в стационарных ящиках для голосования	20682	792	1162	1436	773	1203	1684	1186	1328	1422	1512	2295	1678	1507	1457	1247					
9	Число недействительных бюллетеней	359	18	8	33	15	21	69	15	11	14	28	23	32	50	14	8					
10	Число действительных бюллетеней	20887	793	1203	1436	802	1222	1669	1219	1332	1431	1506	2296	1678	1500	1470	1330					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	396	9	20	26	20	31	45	20	20	30	30	40	20	40	25	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	344	6	12	26	20	31	43	16	17	20	30	35	20	29	20	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	95	3	8	11	4	4	12	9	6	0	5	4	8	2	6	13					
14	Число погашенных открепительных удостоверений	52	3	8	0	0	0	2	4	3	10	0	5	0	11	5	1					
15	Число открепительных удостоверений выданных ТИК	4	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0					
16	Число утраченных бюллетеней	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
18	"1. ""ЕДИНЕНИЕ"""	394	23	23	31	13	29	20	19	23	29	29	36	32	32	25	30					
		1.85%	2.83%	1.89%	2.11%	1.59%	2.33%	1.15%	1.53%	1.71%	2.00%	1.89%	1.55%	1.87%	2.06%	1.68%	2.24%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	224	12	7	19	14	15	16	13	11	11	20	21	16	13	14	22					
		1.05%	1.47%	0.57%	1.29%	1.71%	1.20%	0.92%	1.05%	0.81%	0.76%	1.30%	0.90%	0.93%	0.83%	0.94%	1.64%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	389	7	16	28	17	28	31	23	18	37	24	27	32	49	33	19					
		1.83%	0.86%	1.32%	1.90%	2.08%	2.25%	1.78%	1.86%	1.34%	2.56%	1.56%	1.16%	1.87%	3.16%	2.22%	1.42%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	435	20	25	27	11	28	37	26	22	35	28	56	41	20	28	31					
		2.04%	2.46%	2.06%	1.83%	1.34%	2.25%	2.12%	2.10%	1.63%	2.42%	1.82%	2.41%	2.39%	1.29%	1.88%	2.31%					
22	"5. ""За Русь Святую"""	22	0	2	1	2	0	4	0	1	0	2	0	3	3	2	2					
		0.10%	0.0%	0.16%	0.06%	0.24%	0.0%	0.23%	0.0%	0.07%	0.0%	0.13%	0.0%	0.17%	0.19%	0.13%	0.14%					
23	"6. ""Объединенная Российская партия ""Русь"""	19	1	0	0	0	1	2	0	1	3	1	1	3	1	1	4					
		0.08%	0.12%	0.0%	0.0%	0.0%	0.08%	0.11%	0.0%	0.07%	0.20%	0.06%	0.04%	0.17%	0.06%	0.06%	0.29%					
24	"7. ""Новый курс - Автомобильная Россия"""	162	5	9	14	5	6	8	11	13	15	11	23	13	13	9	7					
		0.76%	0.61%	0.74%	0.95%	0.61%	0.48%	0.46%	0.89%	0.96%	1.03%	0.71%	0.99%	0.76%	0.83%	0.60%	0.52%					
25	"8. ""Народно-республиканская партия России"""	32	1	3	1	1	0	3	3	1	0	0	2	4	5	3	5					
		0.15%	0.12%	0.24%	0.06%	0.12%	0.0%	0.17%	0.24%	0.07%	0.0%	0.0%	0.08%	0.23%	0.32%	0.20%	0.37%					
26	"9. ""Российская экологическая партия ""Зеленые"""	61	3	6	2	2	4	11	5	4	2	4	5	2	6	2	3					
		0.28%	0.36%	0.49%	0.13%	0.24%	0.32%	0.63%	0.40%	0.29%	0.13%	0.26%	0.21%	0.11%	0.38%	0.13%	0.22%					
27	"10. ""Аграрная партия России"""	260	10	14	17	14	25	20	15	13	10	15	41	15	17	16	18					
		1.22%	1.23%	1.15%	1.15%	1.71%	2.01%	1.15%	1.21%	0.96%	0.69%	0.97%	1.76%	0.87%	1.09%	1.07%	1.34%					
28	"11. ""Истинные патриоты России"""	70	3	0	9	3	5	5	6	4	8	4	5	10	1	5	2					
		0.32%	0.36%	0.0%	0.61%	0.36%	0.40%	0.28%	0.48%	0.29%	0.55%	0.26%	0.21%	0.58%	0.06%	0.33%	0.14%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	250	7	9	21	8	17	11	21	18	25	22	25	25	12	11	18					
		1.17%	0.86%	0.74%	1.42%	0.97%	1.36%	0.63%	1.70%	1.34%	1.73%	1.43%	1.07%	1.46%	0.77%	0.74%	1.34%					
30	"13. ""Демократическая партия России"""	47	2	9	2	3	0	4	3	1	0	4	4	4	2	2	7					
		0.22%	0.24%	0.74%	0.13%	0.36%	0.0%	0.23%	0.24%	0.07%	0.0%	0.26%	0.17%	0.23%	0.12%	0.13%	0.52%					
31	"14. ""Великая Россия - Евразийский Союз"""	62	3	2	2	1	5	1	4	3	6	3	3	6	7	10	6					
		0.29%	0.36%	0.16%	0.13%	0.12%	0.40%	0.05%	0.32%	0.22%	0.41%	0.19%	0.12%	0.35%	0.45%	0.67%	0.44%					
32	"15. ""Партия СЛОН"""	32	1	3	4	0	1	1	3	3	1	2	5	3	2	1	2					
		0.15%	0.12%	0.24%	0.27%	0.0%	0.08%	0.05%	0.24%	0.22%	0.06%	0.13%	0.21%	0.17%	0.12%	0.06%	0.14%					
33	"16. ""Родина"" (народно-патриотический союз)"""	667	11	37	29	35	41	48	49	34	50	51	56	55	69	49	53					
		3.13%	1.35%	3.05%	1.97%	4.28%	3.29%	2.76%	3.97%	2.53%	3.46%	3.32%	2.41%	3.21%	4.45%	3.30%	3.96%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	87	3	7	5	5	8	6	4	3	3	7	10	9	5	7	5					
		0.40%	0.36%	0.57%	0.34%	0.61%	0.64%	0.34%	0.32%	0.22%	0.20%	0.45%	0.43%	0.52%	0.32%	0.47%	0.37%					
35	"18. ""ЛДПР"""	919	50	42	59	27	51	60	42	57	87	64	109	77	70	69	55					
		4.32%	6.16%	3.46%	4.01%	3.30%	4.10%	3.45%	3.40%	4.24%	6.02%	4.17%	4.70%	4.50%	4.51%	4.64%	4.11%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	880	24	50	56	36	56	73	49	57	59	71	115	69	50	56	59					
		4.14%	2.95%	4.12%	3.81%	4.40%	4.50%	4.20%	3.97%	4.24%	4.08%	4.62%	4.95%	4.03%	3.22%	3.77%	4.40%					
37	"20. ""Политическая партия ""Единая Россия"""	11019	430	633	776	434	604	1049	673	804	688	740	1153	833	716	766	720					
		51.86%	53.02%	52.27%	52.82%	53.12%	48.59%	60.35%	54.53%	59.86%	47.61%	48.23%	49.71%	48.71%	46.19%	51.61%	53.81%					
38	"21. ""Российская Конституционно-демократическая партия"""	43	2	5	2	0	3	0	3	1	4	2	3	6	7	2	3					
		0.20%	0.24%	0.41%	0.13%	0.0%	0.24%	0.0%	0.24%	0.07%	0.27%	0.13%	0.12%	0.35%	0.45%	0.13%	0.22%					
39	"22. ""Развитие предпринимательства"""	76	2	6	4	3	6	0	8	9	5	3	6	3	8	6	7					
		0.35%	0.24%	0.49%	0.27%	0.36%	0.48%	0.0%	0.64%	0.67%	0.34%	0.19%	0.25%	0.17%	0.51%	0.40%	0.52%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	3594	136	229	267	135	220	185	181	171	268	300	432	335	304	262	169					
		16.91%	16.76%	18.90%	18.17%	16.52%	17.69%	10.64%	14.66%	12.73%	18.54%	19.55%	18.62%	19.59%	19.61%	17.65%	12.63%					
																						
41	Против всех	1143	37	66	60	33	69	74	58	60	85	99	158	82	88	91	83					
