Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Мещовская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8352	1108	1269	1189	353	241	192	200	656	470	318	150	529	148	224	527	241	328	113	96									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7850	1000	1100	1100	300	250	200	200	650	450	300	150	500	150	250	500	250	300	100	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3722	550	506	492	106	101	115	76	322	216	186	67	167	106	116	241	76	172	51	56									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1176	38	63	72	95	102	46	84	101	69	47	45	99	25	30	65	92	55	29	19									
6	Число погашенных избирательных бюллетеней	2952	412	531	536	99	47	39	40	227	165	67	38	234	19	104	194	82	73	20	25									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1176	38	63	72	95	102	46	84	101	69	47	45	99	25	30	65	92	55	29	19									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3722	550	506	492	106	101	115	76	322	216	186	67	167	106	116	241	76	172	51	56									
9	Число недействительных избирательных бюллетеней	66	7	11	13	4	0	0	0	5	2	4	3	4	0	2	9	0	1	0	1									
10	Число действительных избирательных бюллетеней	4832	581	558	551	197	203	161	160	418	283	229	109	262	131	144	297	168	226	80	74									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	960	80	70	70	30	30	30	30	90	60	50	30	90	30	50	70	60	50	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	808	80	34	55	30	30	30	30	90	60	50	26	49	28	50	70	42	28	10	16									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	113	15	16	6	6	2	4	14	7	4	6	7	3	6	6	3	4	3	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	152	0	36	15	0	0	0	0	0	0	0	4	41	2	0	0	18	22	10	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	42	8	9	16	0	0	0	0	1	0	0	0	1	2	0	0	0	1	4	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
