Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																														
Дата голосования: 04.12.2011																																																														
																																																														
"Наименование Избирательной комиссии:    Ростов-на-Дону, Советская"																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1760	УИК №2475	УИК №2476	УИК №2477	УИК №2491	УИК №2492	УИК №2544	УИК №2545	УИК №2546	УИК №2617	УИК №2618	УИК №2619					
1	"Число избирателей, внесенных в список избирателей"	128961	2460	2043	2246	2740	2572	2462	2463	2538	2512	2771	2688	2473	2561	2704	2730	2733	2460	1940	1920	1981	2861	2736	2428	1327	2315	2651	2721	2669	2048	2940	2862	2013	2409	2166	2324	2412	2218	2785	3043	2888	2912	1440	1092	2532	2263	2663	2923	1623	2096	1970	2284	2059	1227	2161	903					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	116800	2200	1850	1950	2450	2300	2250	2250	2250	2250	2550	2450	2150	2300	2350	2500	2450	2200	1800	1750	1850	2550	2550	2100	1200	2150	2350	2400	2450	1900	2700	2600	1800	2200	2000	2100	2200	2000	2500	2700	2650	2700	1350	1000	2250	2050	2450	2650	1450	1900	1800	2100	1850	1050	1950	1050					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	63719	1181	1096	1069	1152	1297	1355	1148	1150	1292	1488	1454	1254	1772	1655	1394	1292	1399	931	1037	885	1370	1203	1194	667	1456	1232	1254	1507	1114	1197	807	589	1510	1153	1215	1291	1219	1415	1209	1532	1203	552	376	1423	1197	1263	1409	490	1019	657	1063	896	732	1101	903					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3956	44	43	41	26	71	56	65	122	81	86	51	42	70	116	43	51	95	61	49	56	10	120	61	27	85	43	26	141	35	205	356	156	135	97	33	38	40	30	99	27	163	140	64	21	43	178	24	122	26	56	31	43	0	12	0					
6	Число погашенных избирательных бюллетеней	49125	975	711	840	1272	932	839	1037	978	877	976	945	854	458	579	1063	1107	706	808	664	909	1170	1227	845	506	609	1075	1120	802	751	1298	1437	1055	555	750	852	871	741	1055	1392	1091	1334	658	560	806	810	1009	1217	838	855	1087	1006	911	318	837	147					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3956	44	43	41	26	71	56	65	122	81	86	51	42	70	116	43	51	95	61	49	56	10	120	61	27	85	43	26	141	35	205	356	156	135	97	33	38	40	30	99	27	163	140	64	21	43	178	24	122	26	56	31	43	0	12	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	63589	1178	1096	1066	1152	1297	1355	1145	1145	1292	1485	1454	1254	1772	1655	1394	1292	1399	930	1037	885	1368	1199	1192	663	1386	1232	1253	1507	1112	1194	807	588	1510	1153	1212	1291	1219	1413	1207	1532	1203	552	375	1423	1193	1258	1408	488	1019	656	1062	896	732	1100	903					
9	Число недействительных избирательных бюллетеней	1027	34	16	15	23	27	2	11	17	22	41	31	26	23	70	19	13	24	15	21	14	17	18	15	10	22	17	33	13	4	16	11	11	28	17	13	17	7	14	19	32	23	7	7	29	26	6	20	8	15	20	20	8	15	9	16					
10	Число действительных избирательных бюллетеней	66518	1188	1123	1092	1155	1341	1409	1199	1250	1351	1530	1474	1270	1819	1701	1418	1330	1470	976	1065	927	1361	1301	1238	680	1449	1258	1246	1635	1143	1383	1152	733	1617	1233	1232	1312	1252	1429	1287	1527	1343	685	432	1415	1210	1430	1412	602	1030	692	1073	931	717	1103	887					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2754	40	40	40	45	50	50	50	40	50	50	50	40	50	50	80	80	50	40	40	40	50	90	48	50	80	30	50	33	60	50	30	30	50	40	43	50	55	60	75	60	70	50	30	61	40	70	60	30	60	30	50	50	94	50	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2704	39	39	40	44	46	49	50	40	50	50	50	40	45	48	80	80	50	40	40	40	36	90	48	44	80	30	50	33	60	50	30	30	50	40	42	50	52	59	74	60	70	50	30	60	38	69	59	30	57	30	50	49	94	50	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2102	19	11	53	87	38	14	19	10	34	24	21	84	43	48	24	53	61	11	14	3	16	18	157	32	27	33	32	19	17	13	8	14	13	9	12	46	29	40	25	30	10	6	19	105	36	30	29	7	30	20	28	35	35	36	415					
14	Число погашенных неиспользованных открепительных удостоверений	50	1	1	0	1	4	1	0	0	0	0	0	0	5	2	0	0	0	0	0	0	14	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	3	1	1	0	0	0	0	1	2	1	1	0	3	0	0	1	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	46	0	0	3	2	3	0	4	0	1	2	5	1	0	1	0	0	1	0	0	0	2	2	0	0	0	1	2	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	2	2	5	1	1	0	0	0	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	11639	245	196	216	207	263	277	252	238	256	277	234	273	296	261	320	245	293	190	183	198	244	226	247	121	239	206	221	201	161	242	157	148	199	200	242	234	183	249	194	247	254	100	58	212	236	230	274	117	206	76	183	166	102	221	123					
		17.23%	20.05%	17.21%	19.51%	17.57%	19.23%	19.63%	20.83%	18.78%	18.65%	17.63%	15.55%	21.06%	16.07%	14.74%	22.27%	18.24%	19.61%	19.17%	16.85%	21.04%	17.71%	17.13%	19.71%	17.54%	16.25%	16.16%	17.28%	12.20%	14.04%	17.30%	13.50%	19.89%	12.10%	16.00%	19.44%	17.61%	14.54%	17.26%	14.85%	15.84%	18.59%	14.45%	13.21%	14.68%	19.09%	16.02%	19.13%	19.18%	19.71%	10.67%	16.74%	17.68%	13.93%	19.87%	13.62%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	8182	152	114	136	158	159	145	134	107	158	136	166	184	182	160	166	184	151	108	102	113	186	155	170	102	167	160	141	167	89	181	124	104	171	146	141	170	125	198	178	220	208	99	79	224	179	197	198	94	109	105	150	109	161	168	92					
