Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Зырянская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11419	640	60	53	283	527	222	36	179	220	168	468	181	492	216	406	303	240	558	317	412	155	497	369	396	608	133	546	139	641	825	829	300									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10850	600	50	50	250	500	200	30	170	200	150	450	150	450	200	400	300	200	550	300	400	150	500	350	400	600	100	500	100	650	800	800	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4038	253	31	20	96	198	117	22	78	52	102	111	53	314	82	141	87	68	192	105	115	57	139	109	131	197	61	181	36	186	260	339	105									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	165	6	0	1	5	17	3	2	0	2	0	2	1	8	8	5	11	1	2	1	1	5	9	15	12	18	2	2	0	7	5	14	0									
6	Число погашенных избирательных бюллетеней	6647	341	19	29	149	285	80	6	92	146	48	337	96	128	110	254	202	131	356	194	284	88	352	226	257	385	37	317	64	457	535	447	195									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	165	6	0	1	5	17	3	2	0	2	0	2	1	8	8	5	11	1	2	1	1	5	9	15	12	18	2	2	0	7	5	14	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4038	253	31	20	96	198	117	22	78	52	102	111	53	314	82	141	87	68	192	105	115	57	139	109	131	197	61	181	36	186	260	339	105									
9	Число недействительных избирательных бюллетеней	155	13	0	2	0	6	3	0	2	0	2	7	2	23	8	4	5	2	4	6	7	3	3	6	8	4	2	7	2	10	5	7	2									
10	Число действительных избирательных бюллетеней	4048	246	31	19	101	209	117	24	76	54	100	106	52	299	82	142	93	67	190	100	109	59	145	118	135	211	61	176	34	183	260	346	103									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	265	10	5	5	10	10	5	5	5	5	5	10	10	10	10	10	10	5	10	10	10	5	10	5	10	10	5	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	34	1	0	0	3	2	0	0	0	0	0	0	0	1	0	1	0	0	4	1	0	2	1	0	1	0	0	0	0	4	4	7	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	40	3	1	2	3	1	3	0	0	3	0	3	0	1	0	0	1	1	2	1	1	1	2	2	3	1	0	2	0	0	1	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	231	9	5	5	7	8	5	5	5	5	5	10	10	9	10	9	10	5	6	9	10	3	9	5	9	10	5	10	10	6	6	3	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	32	1	0	1	4	2	0	0	0	1	0	0	0	2	1	0	0	1	1	0	0	1	1	2	3	2	0	1	1	1	6	0	0									
		0.76%	0.39%	0.00%	4.76%	3.96%	0.93%	0.00%	0.00%	0.00%	1.85%	0.00%	0.00%	0.00%	0.62%	1.11%	0.00%	0.00%	1.45%	0.52%	0.00%	0.00%	1.61%	0.68%	1.61%	2.10%	0.93%	0.00%	0.55%	2.78%	0.52%	2.26%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	249	20	1	0	8	9	5	0	2	1	4	11	6	13	5	11	10	6	9	6	5	4	16	10	7	18	4	10	0	5	18	15	10									
		5.92%	7.72%	3.23%	0.00%	7.92%	4.19%	4.17%	0.00%	2.56%	1.85%	3.92%	9.73%	11.11%	4.04%	5.56%	7.53%	10.20%	8.70%	4.64%	5.66%	4.31%	6.45%	10.81%	8.06%	4.90%	8.37%	6.35%	5.46%	0.00%	2.59%	6.79%	4.25%	9.52%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	55	1	0	0	0	3	2	0	0	3	0	0	0	0	3	0	1	4	2	1	2	3	0	5	3	3	0	1	1	3	5	7	2									
		1.31%	0.39%	0.00%	0.00%	0.00%	1.40%	1.67%	0.00%	0.00%	5.56%	0.00%	0.00%	0.00%	0.00%	3.33%	0.00%	1.02%	5.80%	1.03%	0.94%	1.72%	4.84%	0.00%	4.03%	2.10%	1.40%	0.00%	0.55%	2.78%	1.55%	1.89%	1.98%	1.90%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1822	108	21	9	40	98	69	14	51	33	39	46	21	136	35	81	47	34	74	44	46	28	57	65	60	83	25	72	12	72	112	142	48									
		43.35%	41.70%	67.74%	42.86%	39.60%	45.58%	57.50%	58.33%	65.38%	61.11%	38.24%	40.71%	38.89%	42.24%	38.89%	55.48%	47.96%	49.28%	38.14%	41.51%	39.66%	45.16%	38.51%	52.42%	41.96%	38.60%	39.68%	39.34%	33.33%	37.31%	42.26%	40.23%	45.71%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	17	2	0	0	2	0	0	0	0	0	0	0	0	2	0	2	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	4	0									
		0.40%	0.77%	0.00%	0.00%	1.98%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	1.37%	0.00%	0.00%	1.55%	0.00%	0.00%	0.00%	0.00%	0.81%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	1.13%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.28%	0.00%	0.98%	0.00%	1.85%	0.31%	0.00%	0.00%	0.00%	0.00%	0.52%	0.94%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	887	47	7	6	24	31	28	6	14	7	37	24	14	86	15	21	17	15	47	17	27	8	20	20	29	49	14	52	12	51	54	68	20									
