Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																						
Дата голосования: 07.12.2003 0:00:00																																																																						
																																																																						
Наименование Избирательной комиссии:    Аксайская																																																																						
																																																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																						
																																																																						
		Сумма	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №2167	УИК №2195	УИК №2493	УИК №2494	УИК №2549	УИК №2563	УИК №2564					
1	"Число избирателей, внесенных в списки"	67337	1422	1750	1669	1354	1483	1271	1388	1950	1130	1635	1353	1090	1157	1894	1887	857	1205	1095	319	1204	1881	715	1773	174	305	967	166	1708	1863	1090	915	1335	838	417	404	193	714	1206	344	598	1160	678	191	77	887	912	458	782	1802	2203	549	1912	1235	89	353	185	1241	686	321	1158	1971	1715	2053					
2	"Число бюллетеней, полученных участковыми комиссиями"	60115	1291	1549	1518	1198	1364	1176	1228	1761	923	1439	1162	968	997	1617	1642	806	1067	956	276	1126	1697	659	1631	167	271	849	145	1537	1759	950	784	1203	754	372	368	175	647	1074	317	534	1049	602	172	76	809	820	392	709	1617	1994	510	1706	1059	89	317	185	1075	625	279	997	1727	1562	1787					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	39004	648	877	762	673	849	661	762	841	603	750	563	450	531	932	994	548	743	665	171	898	1526	622	1082	123	184	393	144	976	954	647	712	897	622	254	222	109	283	651	165	394	973	543	147	63	614	561	332	390	1181	1648	361	1150	626	85	201	185	496	406	231	741	894	805	1490					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2680	9	26	21	48	22	46	16	21	35	92	24	34	202	42	17	169	15	18	29	40	7	0	177	26	44	56	1	46	163	17	21	35	55	20	8	5	128	36	87	34	56	0	5	8	17	41	32	48	42	121	14	110	34	0	8	0	89	30	30	11	80	12	0					
6	Число погашенных бюллетеней	18430	634	646	735	477	493	469	450	899	285	597	575	484	264	643	631	89	309	273	76	188	164	37	372	18	43	400	0	515	641	286	51	271	77	98	138	61	236	387	65	106	20	59	20	5	178	218	28	271	394	225	135	446	399	4	108	0	490	189	18	245	753	745	297					
7	Число бюллетеней в переносных ящиках для голосования	2863	9	26	21	48	22	46	16	21	35	92	24	34	202	42	17	169	15	18	29	40	7	0	175	26	44	56	1	46	163	17	21	35	55	20	8	5	128	36	87	34	56	0	5	8	17	41	32	48	42	121	14	110	34	0	8	185	89	30	30	11	80	12	0					
8	Число бюллетеней в стационарных ящиках для голосования	38652	648	877	762	673	827	660	762	841	568	747	563	450	531	890	965	548	743	665	171	898	1522	622	1082	122	184	393	144	962	954	647	712	897	622	254	222	109	283	651	165	394	973	543	147	63	614	561	332	390	1176	1648	361	1150	626	85	201	0	485	406	231	741	894	805	1490					
9	Число недействительных бюллетеней	786	6	7	9	12	16	19	15	21	0	20	6	13	41	20	18	13	5	10	0	17	14	8	12	4	3	9	1	16	12	14	6	18	14	8	6	7	9	4	3	2	7	27	15	1	20	26	0	35	24	15	6	42	23	0	7	0	5	0	35	8	2	14	36					
10	Число действительных бюллетеней	40729	651	896	774	709	833	687	763	841	603	819	581	471	692	912	964	704	753	673	200	921	1515	614	1245	144	225	440	144	992	1105	650	727	914	663	266	224	107	402	683	249	426	1022	516	137	70	611	576	364	403	1194	1754	369	1218	637	85	202	185	569	436	226	744	972	803	1454					
