Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																					
Дата голосования: 04.12.2011																																																					
																																																					
"Наименование Избирательной комиссии:    Челябинск, Центральная"																																																					
																																																					
Сводная таблица результатов выборов																																																					
																																																					
		Сумма	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №2251					
1	"Число избирателей, внесенных в список избирателей"	80103	2669	2668	2541	1112	1266	1554	1711	2317	2327	1612	1186	1439	1380	1754	1520	1770	1151	1976	1445	1621	1612	1597	1523	1695	1113	2202	2265	2127	2211	2050	1314	1721	1729	2234	2281	1948	2376	1372	2129	1653	2670	2917	1042	961	166	176					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	65150	1950	1950	1900	850	950	1100	1250	1700	1650	1200	1200	1050	1100	1200	1150	1750	900	1950	1500	1450	1300	1100	1150	1200	800	1500	2350	2200	1600	2100	1050	1650	1250	1700	1700	1300	1800	1200	2000	1400	1950	2100	1150	1100	350	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	46505	1377	1295	1309	546	588	829	1053	1330	1449	960	632	795	785	1056	900	1385	600	1582	850	1095	1048	871	955	1009	571	1264	1457	1258	1277	1221	775	1518	1028	1208	1218	1057	1114	854	1263	1208	1143	1318	444	785	90	135					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2448	53	47	55	18	89	44	26	40	48	104	16	26	28	54	25	78	9	20	40	37	28	23	27	36	19	19	20	17	27	23	34	0	34	57	89	35	32	27	26	51	105	19	598	176	46	23					
6	Число погашенных избирательных бюллетеней	16201	520	608	536	286	273	227	171	330	153	136	552	229	287	90	225	287	291	348	610	318	224	206	168	155	210	217	873	925	296	856	241	133	188	438	393	208	654	319	711	141	702	763	108	139	214	242					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2448	53	47	55	18	89	44	26	40	48	104	16	26	28	54	25	78	9	20	40	37	28	23	27	36	19	19	20	17	27	23	34	0	34	57	89	35	32	27	26	51	105	19	598	176	46	23					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	46487	1377	1295	1309	546	587	829	1053	1327	1445	960	631	795	782	1056	900	1385	600	1581	850	1093	1048	871	955	1009	571	1264	1457	1258	1277	1221	775	1518	1028	1207	1218	1057	1114	854	1263	1208	1143	1317	444	784	90	135					
9	Число недействительных избирательных бюллетеней	956	22	15	17	9	12	19	9	17	25	17	4	15	13	15	11	18	9	19	14	99	63	12	13	4	10	18	19	23	25	18	16	29	26	23	28	50	17	11	15	25	19	29	69	14	0	1					
10	Число действительных избирательных бюллетеней	47979	1408	1327	1347	555	664	854	1070	1350	1468	1047	643	806	797	1095	914	1445	600	1582	876	1031	1013	882	969	1041	580	1265	1458	1252	1279	1226	793	1489	1036	1241	1279	1042	1129	870	1274	1234	1229	1307	973	946	136	157					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2794	75	112	87	49	52	51	65	65	78	57	402	50	45	57	42	30	23	35	50	60	53	47	37	64	40	35	40	50	70	48	60	32	67	70	72	55	74	40	75	62	100	118	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2770	75	111	84	49	52	51	65	64	78	56	402	50	45	57	42	29	23	30	48	55	53	47	37	63	40	35	39	49	70	48	59	32	67	70	72	55	74	40	75	62	99	118	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	6995	70	109	49	66	19	143	153	91	140	287	16	110	18	233	16	464	33	644	72	296	384	164	204	173	28	211	23	53	62	48	21	616	152	25	45	180	22	279	228	276	16	46	440	237	26	7					
14	Число погашенных неиспользованных открепительных удостоверений	24	0	1	3	0	0	0	0	1	0	1	0	0	0	0	0	1	0	5	2	5	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	498	17	19	16	12	11	7	27	15	12	8	16	8	13	10	11	2	3	6	10	10	13	7	10	19	5	6	19	9	24	6	8	2	10	11	8	13	25	7	11	4	25	23	0	0	0	0					
