Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва														
Дата голосования: 02.12.2007														
														
Наименование Избирательной комиссии:    район Марфино														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668					
1	"Число избирателей, внесенных в списки избирателей"	16416	2663	2412	2287	2331	2331	1717	2675					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	12550	2000	1900	1800	1800	1750	1300	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8688	1374	1251	1269	1238	1347	851	1358					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	606	53	71	78	64	153	91	96					
6	Число погашенных избирательных бюллетеней	3256	573	578	453	498	250	358	546					
7	Число избирательных бюллетеней в переносных ящиках для голосования	605	53	71	78	64	153	91	95					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8606	1374	1250	1265	1238	1276	850	1353					
9	Число недействительных избирательных бюллетеней	151	25	8	47	21	20	8	22					
10	Число действительных избирательных бюллетеней	9060	1402	1313	1296	1281	1409	933	1426					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	269	38	44	40	35	35	23	54					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	248	37	42	40	31	33	18	47					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	494	53	43	77	56	98	77	90					
14	Число погашенных неиспользованных открепительных удостоверений	21	1	2	0	4	2	5	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	149	32	23	24	20	18	16	16					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0					
														
18	1.Политическая партия «Аграрная партия России»	266	47	50	39	43	35	19	33					
		2.89%	3.29%	3.79%	2.90%	3.30%	2.45%	2.02%	2.28%					
19	2.Всероссийская политическая партия «Гражданская Сила»	188	25	27	32	37	25	21	21					
		2.04%	1.75%	2.04%	2.38%	2.84%	1.75%	2.23%	1.45%					
20	3.Политическая партия «Демократическая партия России»	24	3	4	1	2	5	4	5					
		0.26%	0.21%	0.30%	0.07%	0.15%	0.35%	0.43%	0.35%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1233	210	191	195	183	144	125	185					
		13.39%	14.72%	14.46%	14.52%	14.06%	10.08%	13.28%	12.78%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	208	33	34	35	31	23	23	29					
		2.26%	2.31%	2.57%	2.61%	2.38%	1.61%	2.44%	2.00%					
23	6.Политическая партия «Партия социальной справедливости»	42	2	11	13	2	7	1	6					
		0.46%	0.14%	0.83%	0.97%	0.15%	0.49%	0.11%	0.41%					
24	7.Политическая партия «Либерально-демократическая партия России»	684	92	115	96	103	92	62	124					
		7.43%	6.45%	8.71%	7.15%	7.91%	6.44%	6.59%	8.56%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	689	110	106	110	101	101	68	93					
		7.48%	7.71%	8.02%	8.19%	7.76%	7.07%	7.23%	6.42%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	133	19	13	13	26	18	18	26					
		1.44%	1.33%	0.98%	0.97%	1.99%	1.26%	1.91%	1.80%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	4985	770	665	656	664	876	513	841					
		54.12%	53.96%	50.34%	48.85%	50.99%	61.30%	54.52%	58.08%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	608	91	97	106	89	83	79	63					
		6.60%	6.38%	7.34%	7.89%	6.84%	5.81%	8.40%	4.35%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
