Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва															
Дата голосования: 04.12.2011															
															
Наименование Избирательной комиссии:    район Марфино															
															
Сводная таблица результатов выборов															
															
		Сумма	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656					
1	"Число избирателей, внесенных в список избирателей"	19253	2393	2601	2906	2174	2491	2415	1733	2540					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16100	2000	2000	2300	2000	2100	2100	1500	2100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	11029	1442	1431	1630	1139	1556	1596	824	1411					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	411	46	41	9	67	61	45	82	60					
6	Число погашенных избирательных бюллетеней	4660	512	528	661	794	483	459	594	629					
7	Число избирательных бюллетеней в переносных ящиках для голосования	411	46	41	9	67	61	45	82	60					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10942	1407	1390	1626	1135	1555	1596	824	1409					
9	Число недействительных избирательных бюллетеней	195	31	36	33	30	28	0	22	15					
10	Число действительных избирательных бюллетеней	11158	1422	1395	1602	1172	1588	1641	884	1454					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	532	58	87	75	68	58	58	58	70					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	411	49	62	59	48	53	45	45	50					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	481	35	52	96	53	20	42	123	60					
14	Число погашенных неиспользованных открепительных удостоверений	121	9	25	16	20	5	13	13	20					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	60	3	10	3	24	10	4	0	6					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0					
															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1659	183	214	270	214	232	180	126	240					
		14.61%	12.59%	14.95%	16.51%	17.80%	14.36%	10.97%	13.91%	16.34%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1337	150	198	253	139	130	167	129	171					
		11.78%	10.32%	13.84%	15.47%	11.56%	8.04%	10.18%	14.24%	11.64%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	181	21	28	36	19	19	28	16	14					
		1.59%	1.45%	1.96%	2.20%	1.58%	1.18%	1.71%	1.77%	0.95%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2413	300	325	391	273	304	283	217	320					
		21.25%	20.65%	22.71%	23.91%	22.71%	18.81%	17.25%	23.95%	21.78%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1396	150	206	225	166	220	173	137	119					
		12.30%	10.32%	14.40%	13.76%	13.81%	13.61%	10.54%	15.12%	8.10%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4067	605	408	407	354	668	798	248	579					
		35.82%	41.64%	28.51%	24.89%	29.45%	41.34%	48.63%	27.37%	39.41%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	105	13	16	20	7	15	12	11	11					
		0.92%	0.89%	1.12%	1.22%	0.58%	0.93%	0.73%	1.21%	0.75%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
