Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																					
Дата голосования: 18.09.2016																																																																					
																																																																					
Наименование Избирательной комиссии:    Кореновская																																																																					
																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																					
																																																																					
		Сумма	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №8349									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	68795	1573	1671	1291	1619	1796	1482	1670	686	1920	1513	2311	2113	1813	1467	1278	1974	354	423	608	1530	1453	1122	850	2352	2204	2389	1494	1114	124	717	1165	255	2115	1287	935	111	1166	877	379	541	1036	471	278	1549	2049	471	2319	380	1039	270	205	1393	155	1491	1268	389	1212	1078									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	68120	1390	1520	1150	1450	1640	1340	1530	600	1720	1360	2600	1930	1630	1310	1130	1790	320	380	550	1370	1310	1010	760	2150	1980	2140	1340	1000	110	640	1050	230	1900	1170	840	100	1060	780	340	490	920	430	240	1390	1850	420	2080	340	950	250	180	1260	100	1320	1140	350	1090	6700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	29463	653	671	720	596	959	601	980	290	1089	507	1420	587	923	811	615	853	189	235	293	534	349	414	183	672	624	551	423	187	61	307	724	211	596	374	605	94	463	484	164	322	433	191	126	513	808	150	754	190	460	154	95	885	59	877	370	165	822	1077									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	5925	138	201	111	173	80	83	142	20	99	224	68	146	132	74	133	105	14	14	32	252	233	247	85	199	133	320	147	249	10	52	82	1	75	77	106	0	178	87	69	24	66	96	24	90	273	70	102	42	65	18	11	85	38	115	90	60	64	1									
6	Число погашенных избирательных бюллетеней	32732	599	648	319	681	601	656	408	290	532	629	1112	1197	575	425	382	832	117	131	225	584	728	349	492	1279	1223	1269	770	564	39	281	244	18	1229	719	129	6	419	209	107	144	421	143	90	787	769	200	1224	108	425	78	74	290	3	328	680	125	204	5622									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	5925	138	201	111	173	80	83	142	20	99	224	68	146	132	74	133	105	14	14	32	252	233	247	85	199	133	320	147	249	10	52	82	1	75	77	106	0	178	87	69	24	66	96	24	90	273	70	102	42	65	18	11	85	38	115	90	60	64	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	29461	653	671	720	596	959	601	980	290	1089	507	1420	587	923	811	615	853	189	235	293	534	349	414	183	672	624	551	423	187	61	307	724	211	596	374	605	94	463	484	164	320	433	191	126	513	808	150	754	190	460	154	95	885	59	877	370	165	822	1077									
9	Число недействительных избирательных бюллетеней	410	5	5	8	21	13	6	16	0	8	2	0	12	10	19	14	9	0	1	4	4	40	5	6	12	10	7	7	6	0	3	0	8	7	6	10	1	0	0	2	1	6	0	0	7	9	3	29	1	9	5	1	2	2	11	6	6	9	16									
10	Число действительных избирательных бюллетеней	34976	786	867	823	748	1026	678	1106	310	1180	729	1488	721	1045	866	734	949	203	248	321	782	542	656	262	859	747	864	563	430	71	356	806	204	664	445	701	93	641	571	231	343	493	287	150	596	1072	217	827	231	516	167	105	968	95	981	454	219	877	1062									
