Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																					
Дата голосования: 04.12.2011																																																																																					
																																																																																					
"Наименование Избирательной комиссии:    Челябинск, Калининская"																																																																																					
																																																																																					
Сводная таблица результатов выборов																																																																																					
																																																																																					
		Сумма	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №2252	УИК №2255					
1	"Число избирателей, внесенных в список избирателей"	159024	1993	958	2330	2144	1535	1555	1380	1336	998	1712	1443	1706	1839	2542	2311	2382	2462	1888	1946	1872	2107	2013	2164	2214	1856	2182	2112	2045	1533	2486	2661	2957	2977	2819	2603	1974	1497	2050	1975	2067	1934	1942	2197	3403	2034	3096	2611	2294	2150	2379	2206	2339	2248	2352	2157	2158	2274	2668	2425	2365	2766	2331	2245	2632	2090	2361	2606	2283	1982	1979	2094	2221	744	330	770	700	611	423					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	136150	1700	800	1900	1800	1300	1400	1300	1200	800	1500	1200	1500	1600	2000	1900	2100	2100	1600	1600	1500	1800	1700	1800	1800	1500	1900	1800	1700	1400	2100	2200	2300	2400	2200	2200	1700	1300	1700	1700	1800	1700	1700	1900	2900	1800	2200	2300	2000	1900	2000	1900	2000	1900	2000	1900	1900	2000	2300	2200	2100	2400	2000	1900	2200	1800	2000	2200	2000	1700	1700	1800	1900	1050	330	770	700	600	700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	84042	775	475	1466	1173	728	708	609	571	408	602	538	848	825	1229	1226	1278	1127	1032	849	1064	1204	1075	1213	1345	911	1078	1151	989	890	1204	1157	1417	2107	1694	1550	1037	774	1100	1099	1094	1050	1022	1412	1943	935	1839	1069	1219	1082	1499	1243	1186	1136	1202	1099	1101	1143	1477	1310	1217	1344	1140	1189	1400	1010	1422	1342	1200	1061	1063	1109	1104	520	238	770	700	290	336					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3873	54	27	57	24	56	57	40	33	79	22	10	170	66	83	69	52	29	44	50	57	62	60	50	47	40	58	62	60	30	30	23	47	48	46	50	57	55	33	38	55	50	36	58	24	10	80	57	58	93	121	55	74	28	47	51	40	30	41	34	36	46	48	69	49	45	23	37	52	29	28	33	33	224	92	0	0	10	2					
6	Число погашенных избирательных бюллетеней	48234	871	298	377	603	516	635	651	596	313	876	652	482	709	688	605	770	944	524	701	379	534	565	537	408	549	764	587	651	480	866	1020	836	245	460	600	606	471	567	563	651	600	642	430	933	855	281	1174	723	725	380	601	740	736	751	750	759	827	782	856	847	1010	812	642	751	745	555	821	748	610	609	658	763	306	0	0	0	300	362					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3871	54	27	57	24	56	57	40	33	79	22	10	170	66	83	69	52	29	44	50	57	62	60	50	47	40	58	62	60	30	30	23	47	47	46	50	57	55	33	38	55	50	36	58	24	9	80	57	58	93	121	55	74	28	47	51	40	30	41	34	36	46	48	69	49	45	23	37	52	29	28	33	33	224	92	0	0	10	2					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	83889	775	474	1466	1171	721	708	609	571	408	602	538	846	825	1226	1224	1278	1126	1029	849	1059	1204	1073	1212	1341	911	1078	1151	987	890	1202	1157	1416	2106	1694	1538	1036	774	1095	1098	1094	1050	1020	1409	1943	934	1835	1067	1218	1082	1496	1241	1184	1132	1198	1099	1101	1125	1437	1310	1217	1344	1140	1186	1400	1010	1422	1340	1200	1061	1061	1109	1103	519	238	770	700	290	336					
9	Число недействительных избирательных бюллетеней	1468	16	8	25	14	19	10	10	0	7	16	11	8	19	21	19	24	22	25	21	46	16	16	21	17	16	20	19	12	11	20	23	22	26	37	29	10	12	8	24	21	17	13	13	50	18	27	29	23	16	25	25	14	15	21	19	22	32	30	15	22	20	15	16	27	17	26	24	12	14	11	15	15	20	4	24	33	5	3					
10	Число действительных избирательных бюллетеней	86292	813	493	1498	1181	758	755	639	604	480	608	537	1008	872	1288	1274	1306	1133	1048	878	1070	1250	1117	1241	1371	935	1116	1194	1035	909	1212	1157	1441	2127	1703	1559	1083	817	1120	1112	1128	1083	1043	1454	1917	925	1888	1095	1253	1159	1592	1271	1244	1145	1224	1131	1119	1123	1448	1329	1231	1370	1173	1239	1422	1038	1419	1353	1240	1076	1078	1127	1121	723	326	746	667	295	335					
