Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																				
Дата голосования: 02.12.2007																																																																																				
																																																																																				
"Наименование Избирательной комиссии:    Челябинск, Калининская"																																																																																				
																																																																																				
Сводная таблица результатов выборов																																																																																				
																																																																																				
		Сумма	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №2222					
1	"Число избирателей, внесенных в списки избирателей"	165171	2316	1636	2483	2415	1552	1654	2084	1427	1185	1862	1445	1821	1999	2482	2413	2547	2346	1934	2065	2070	2206	2204	2174	2378	1687	2424	2337	2277	2679	2356	2642	2505	2460	2476	2375	2142	1607	2071	2098	2166	2008	2075	2346	3065	1917	2444	2725	2141	2207	2509	2192	2433	2568	2401	2144	2125	2428	2759	2488	2546	2574	2118	2395	2630	2169	2409	2206	2231	2211	1904	2184	2246	1486	444	1006	999	1438					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	149050	1700	1400	2100	2000	1400	1400	1600	1200	1000	1500	1200	1500	1500	2200	2200	2400	2200	1800	2000	1800	2000	2000	2000	2000	1500	2200	2100	2100	2500	2200	2300	2200	2000	2300	2200	2000	1400	2000	2000	2100	1800	2000	2100	2800	1800	2200	2500	2000	2100	2300	2000	2300	2400	2200	2000	2000	2200	2400	2300	2300	2300	2000	2200	2400	2000	2200	2000	2100	2000	1700	1900	2000	1400	450	1050	1050	1400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	110370	1422	1148	1763	1738	1013	1033	1499	889	690	1184	844	1182	1267	1649	1618	1715	1529	1288	1270	1265	1498	1412	1458	1633	1026	1641	1499	1467	2288	1498	1600	1478	1673	1683	1671	1458	1063	1397	1418	1548	1395	1406	1672	1788	1248	1513	1705	1440	1442	1712	1485	1557	1677	1616	1470	1399	1544	1865	1672	1690	1700	1338	1566	1767	1359	1634	1478	1407	1483	1367	1446	1523	1014	365	1006	999	1207					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3791	57	35	71	42	57	83	54	36	101	39	19	55	57	74	62	50	23	48	45	87	69	71	49	56	45	63	90	51	73	54	28	70	80	36	41	47	48	24	28	41	43	37	46	13	17	88	38	65	58	90	43	52	34	51	36	31	41	36	42	34	32	50	57	44	45	23	23	28	37	19	44	35	251	49	0	0	0					
6	Число погашенных избирательных бюллетеней	34878	221	217	266	220	330	284	47	275	209	277	337	263	176	477	520	635	648	464	685	448	433	517	493	311	429	496	511	582	139	648	672	652	247	581	488	495	289	579	554	511	362	557	382	999	535	598	757	495	600	498	472	691	689	533	494	570	615	499	586	576	568	612	577	589	596	543	499	665	480	314	409	442	135	36	44	51	184					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3791	57	35	71	42	57	83	54	36	101	39	19	55	57	74	62	50	23	48	45	87	69	71	49	56	45	63	90	51	73	54	28	70	80	36	41	47	48	24	28	41	43	37	46	13	17	88	38	65	58	90	43	52	34	51	36	31	41	36	42	34	32	50	57	44	45	23	23	28	37	19	44	35	251	49	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	110197	1417	1148	1763	1737	1012	1032	1499	888	690	1184	844	1181	1267	1643	1618	1715	1515	1286	1270	1261	1498	1408	1455	1633	1023	1638	1499	1467	2262	1498	1600	1472	1664	1683	1670	1455	1060	1392	1418	1548	1395	1406	1667	1788	1248	1512	1705	1438	1442	1712	1483	1554	1677	1616	1434	1399	1544	1863	1672	1690	1697	1335	1566	1767	1356	1633	1478	1405	1483	1367	1446	1523	1009	365	1006	999	1204					
9	Число недействительных избирательных бюллетеней	1485	24	12	27	18	8	11	14	7	9	19	11	19	9	23	23	11	23	34	14	25	26	15	18	18	14	22	20	16	21	23	18	6	23	18	21	13	9	11	23	24	16	29	22	30	21	24	26	30	15	21	11	22	22	19	19	20	26	21	23	24	16	18	15	19	15	19	20	17	15	10	13	11	13	8	11	80	44					
10	Число действительных избирательных бюллетеней	112503	1450	1171	1807	1761	1061	1104	1539	917	782	1204	852	1217	1315	1694	1657	1754	1515	1300	1301	1323	1541	1464	1486	1671	1054	1679	1569	1502	2314	1529	1610	1536	1721	1701	1690	1489	1099	1405	1423	1565	1422	1414	1691	1771	1244	1576	1717	1473	1485	1781	1515	1584	1689	1648	1451	1410	1559	1878	1691	1700	1713	1367	1608	1792	1386	1637	1481	1416	1505	1376	1477	1547	1247	406	995	919	1160					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3407	26	35	36	34	36	30	40	33	20	36	30	30	25	50	35	73	48	45	25	33	33	29	40	51	30	63	33	32	40	38	43	33	30	53	53	54	40	43	53	74	65	53	53	63	63	111	38	46	50	57	50	50	53	48	55	38	71	61	101	61	53	40	50	53	53	53	60	51	66	60	50	46	0	0	0	0	0					
