Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																
Дата голосования: 04.12.2011																																																
																																																
Наименование Избирательной комиссии:    Макушинская																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646					
1	"Число избирателей, внесенных в список избирателей"	16000	1021	1382	1012	891	786	930	259	201	93	525	96	83	28	495	133	110	74	570	748	610	303	310	96	199	272	456	120	347	58	624	79	68	512	121	397	86	197	213	315	67	1113					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15761	1000	1350	950	900	750	900	250	200	90	500	100	90	31	490	140	110	70	580	750	610	310	310	100	200	280	450	110	350	60	600	80	70	510	120	400	80	200	200	300	70	1100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8166	540	575	465	305	311	401	151	125	67	333	67	66	21	250	85	56	55	279	346	329	191	145	49	112	156	265	76	243	27	358	34	39	249	58	218	48	129	137	181	50	574					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	790	43	30	75	50	21	37	17	6	2	23	5	0	0	23	11	8	4	37	37	40	21	19	8	2	22	40	4	19	3	41	5	0	35	10	16	3	13	13	11	3	33					
6	Число погашенных избирательных бюллетеней	6805	417	745	410	545	418	462	82	69	21	144	28	24	10	217	44	46	11	264	367	241	98	146	43	86	102	145	30	88	30	201	41	31	226	52	166	29	58	50	108	17	493					
7	Число избирательных бюллетеней в переносных ящиках для голосования	790	43	30	75	50	21	37	17	6	2	23	5	0	0	23	11	8	4	37	37	40	21	19	8	2	22	40	4	19	3	41	5	0	35	10	16	3	13	13	11	3	33					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8166	540	575	465	305	311	401	151	125	67	333	67	66	21	250	85	56	55	279	346	329	191	145	49	112	156	265	76	243	27	358	34	39	249	58	218	48	129	137	181	50	574					
9	Число недействительных избирательных бюллетеней	116	4	10	8	13	2	8	0	0	1	9	0	1	0	2	0	1	1	2	6	2	4	0	0	0	4	3	0	2	0	5	0	0	3	1	3	0	2	3	7	0	9					
10	Число действительных избирательных бюллетеней	8840	579	595	532	342	330	430	168	131	68	347	72	65	21	271	96	63	58	314	377	367	208	164	57	114	174	302	80	260	30	394	39	39	281	67	231	51	140	147	185	53	598					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	370	20	20	20	15	8	15	15	5	4	10	6	13	4	7	4	5	4	5	10	10	5	5	5	5	7	10	5	10	5	15	5	10	10	4	10	4	11	13	10	4	17					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	331	20	20	18	15	7	11	15	3	1	10	6	13	4	7	4	5	2	5	10	10	5	5	5	5	7	10	3	10	5	10	5	4	10	4	9	3	11	12	8	1	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	177	9	14	44	9	13	8	2	0	1	4	1	1	3	1	0	1	2	0	2	2	2	5	1	4	3	0	1	6	1	5	3	2	1	2	2	1	6	1	6	1	7					
14	Число погашенных неиспользованных открепительных удостоверений	39	0	0	2	0	1	4	0	2	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	5	0	6	0	0	1	1	0	1	2	3	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	30	5	4	2	2	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	6	0	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	997	55	77	48	32	31	43	11	4	11	32	4	4	7	35	17	5	3	38	63	48	17	18	9	12	22	39	7	38	1	46	10	0	28	11	30	9	20	14	23	3	72					
