Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва														
Дата голосования: 04.12.2011														
														
Наименование Избирательной комиссии:    Верхнетагильская городская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221					
1	"Число избирателей, внесенных в список избирателей"	11604	246	2772	2669	1951	1718	1311	937					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9300	180	2200	2150	1600	1400	970	800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5716	95	1341	1465	934	755	676	450					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	493	16	96	61	42	42	220	16					
6	Число погашенных избирательных бюллетеней	3091	69	763	624	624	603	74	334					
7	Число избирательных бюллетеней в переносных ящиках для голосования	493	16	96	61	42	42	220	16					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5715	95	1341	1465	934	754	676	450					
9	Число недействительных избирательных бюллетеней	108	3	35	26	10	8	20	6					
10	Число действительных избирательных бюллетеней	6100	108	1402	1500	966	788	876	460					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	245	10	55	55	40	35	30	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	169	7	42	34	22	26	25	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	157	7	57	28	14	17	22	12					
14	Число погашенных неиспользованных открепительных удостоверений	76	3	13	21	18	9	5	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	2	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1693	32	421	455	335	169	166	115					
		27.27%	28.83%	29.30%	29.82%	34.32%	21.23%	18.53%	24.68%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	976	18	236	228	143	156	102	93					
		15.72%	16.22%	16.42%	14.94%	14.65%	19.60%	11.38%	19.96%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	44	0	10	8	9	11	3	3					
		0.71%	0.00%	0.70%	0.52%	0.92%	1.38%	0.33%	0.64%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	718	7	158	185	102	108	99	59					
		11.57%	6.31%	10.99%	12.12%	10.45%	13.57%	11.05%	12.66%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	152	0	39	58	20	15	7	13					
		2.45%	0.00%	2.71%	3.80%	2.05%	1.88%	0.78%	2.79%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2390	51	504	530	334	316	489	166					
		38.50%	45.95%	35.07%	34.73%	34.22%	39.70%	54.58%	35.62%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	127	0	34	36	23	13	10	11					
		2.05%	0.00%	2.37%	2.36%	2.36%	1.63%	1.12%	2.36%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
