Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																						
Дата голосования: 07.12.2003 0:00:00																																						
																																						
Наименование Избирательной комиссии:    Канашская городская 																																						
																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																						
																																						
		Сумма	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326					
1	"Число избирателей, внесенных в списки"	38115	1655	935	993	749	1474	1316	283	2116	2454	1297	1037	1416	1228	987	1558	1362	1417	776	1376	1012	1371	1412	1148	274	1171	1108	1876	1060	949	819	1486					
2	"Число бюллетеней, полученных участковыми комиссиями"	34430	1500	870	930	590	1300	1150	250	1950	2200	1100	950	1300	1150	900	1400	1250	1300	700	1250	950	1250	1300	1050	260	1050	1000	1700	980	900	700	1250					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	20707	934	487	606	320	736	706	169	1190	1333	576	626	768	712	469	758	715	808	413	686	516	840	827	646	193	660	598	1025	660	480	454	796					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	586	6	8	6	110	10	13	1	10	16	13	37	26	35	23	19	26	12	12	22	8	20	27	11	3	10	23	15	15	27	16	6					
6	Число погашенных бюллетеней	13137	560	375	318	160	554	431	80	750	851	511	287	506	403	408	623	509	480	275	542	426	390	446	393	64	380	379	660	305	393	230	448					
7	Число бюллетеней в переносных ящиках для голосования	586	6	8	6	110	10	13	1	10	16	13	37	26	35	23	19	26	12	12	22	8	20	27	11	3	10	23	15	15	27	16	6					
8	Число бюллетеней в стационарных ящиках для голосования	20701	934	487	606	320	736	706	169	1190	1333	576	626	766	712	469	757	715	808	413	686	516	839	827	646	193	660	598	1023	660	480	454	796					
9	Число недействительных бюллетеней	705	32	17	14	21	13	19	3	31	26	33	25	15	28	13	32	22	36	13	17	29	35	37	18	7	25	27	15	22	26	23	31					
10	Число действительных бюллетеней	20582	908	478	598	409	733	700	167	1169	1323	556	638	777	719	479	744	719	784	412	691	495	824	817	639	189	645	594	1023	653	481	447	771					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	947	27	20	20	20	30	30	15	50	50	40	40	40	30	20	30	30	30	20	30	20	50	50	30	15	30	30	40	40	20	20	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	338	6	6	7	4	16	16	3	12	21	18	27	11	15	11	11	9	11	7	7	9	12	18	8	0	9	11	18	13	11	3	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	227	4	3	9	106	4	4	0	9	5	4	5	1	2	4	8	7	5	3	5	2	6	0	4	0	6	5	8	4	0	0	4					
14	Число погашенных открепительных удостоверений	609	21	14	13	16	14	14	12	38	29	22	13	29	15	9	19	21	19	13	23	11	38	32	22	15	21	19	22	27	9	17	22					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
18	"1. ""ЕДИНЕНИЕ"""	416	16	8	16	7	19	11	6	20	15	13	14	13	8	6	13	14	13	6	10	14	23	13	16	14	13	10	32	7	10	15	21					
		1.95%	1.70%	1.61%	2.61%	1.62%	2.54%	1.52%	3.52%	1.66%	1.11%	2.20%	2.11%	1.64%	1.07%	1.21%	1.67%	1.88%	1.58%	1.41%	1.41%	2.67%	2.67%	1.52%	2.43%	7.14%	1.94%	1.61%	3.08%	1.03%	1.97%	3.19%	2.61%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	480	28	9	17	8	13	10	6	25	35	6	10	23	15	7	18	13	25	10	19	7	18	29	21	7	15	11	26	12	8	11	18					
		2.25%	2.97%	1.81%	2.77%	1.86%	1.74%	1.39%	3.52%	2.08%	2.59%	1.01%	1.50%	2.90%	2.00%	1.42%	2.31%	1.75%	3.04%	2.35%	2.68%	1.33%	2.09%	3.39%	3.19%	3.57%	2.23%	1.77%	2.50%	1.77%	1.57%	2.34%	2.24%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	487	10	5	14	7	23	26	2	24	21	12	16	21	8	16	14	21	13	11	18	17	23	20	16	4	20	28	10	20	17	16	14					
		2.28%	1.06%	1.01%	2.28%	1.62%	3.08%	3.61%	1.17%	2.0%	1.55%	2.03%	2.41%	2.65%	1.07%	3.25%	1.80%	2.83%	1.58%	2.58%	2.54%	3.24%	2.67%	2.34%	2.43%	2.04%	2.98%	4.50%	0.96%	2.96%	3.35%	3.40%	1.74%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	597	20	15	20	16	24	14	6	42	37	15	15	15	29	20	30	23	12	17	14	8	31	24	17	4	15	18	30	22	11	12	21					
		2.80%	2.12%	3.03%	3.26%	3.72%	3.21%	1.94%	3.52%	3.5%	2.74%	2.54%	2.26%	1.89%	3.88%	4.06%	3.86%	3.10%	1.46%	4.0%	1.97%	1.52%	3.60%	2.81%	2.58%	2.04%	2.23%	2.89%	2.89%	3.25%	2.16%	2.55%	2.61%					
22	"5. ""За Русь Святую"""	140	3	5	1	1	3	6	0	8	10	4	3	6	5	4	5	2	5	2	9	7	3	4	5	3	4	7	6	4	4	7	4					
		0.65%	0.31%	1.01%	0.16%	0.23%	0.40%	0.83%	0.0%	0.66%	0.74%	0.67%	0.45%	0.75%	0.66%	0.81%	0.64%	0.26%	0.60%	0.47%	1.27%	1.33%	0.34%	0.46%	0.76%	1.53%	0.59%	1.12%	0.57%	0.59%	0.78%	1.48%	0.49%					
23	"6. ""Объединенная Российская партия ""Русь"""	68	6	1	3	3	2	1	0	1	2	6	0	1	4	1	6	1	2	0	4	0	3	4	2	1	2	2	2	0	0	4	4					
		0.31%	0.63%	0.20%	0.49%	0.69%	0.26%	0.13%	0.0%	0.08%	0.14%	1.01%	0.0%	0.12%	0.53%	0.20%	0.77%	0.13%	0.24%	0.0%	0.56%	0.0%	0.34%	0.46%	0.30%	0.51%	0.29%	0.32%	0.19%	0.0%	0.0%	0.85%	0.49%					
24	"7. ""Новый курс - Автомобильная Россия"""	112	5	6	4	3	2	2	0	3	8	6	3	6	8	1	3	3	7	3	2	1	3	4	3	0	3	1	5	4	2	5	6					
		0.52%	0.53%	1.21%	0.65%	0.69%	0.26%	0.27%	0.0%	0.25%	0.59%	1.01%	0.45%	0.75%	1.07%	0.20%	0.38%	0.40%	0.85%	0.70%	0.28%	0.19%	0.34%	0.46%	0.45%	0.0%	0.44%	0.16%	0.48%	0.59%	0.39%	1.06%	0.74%					
25	"8. ""Народно-республиканская партия России"""	54	3	1	0	4	2	1	0	2	2	0	1	3	2	1	1	0	2	0	1	0	2	1	3	2	0	1	3	2	2	5	7					
