Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																				
Дата голосования: 04.12.2011																																																																				
																																																																				
"Наименование Избирательной комиссии:    Новосибирск, Кировская "																																																																				
																																																																				
Сводная таблица результатов выборов																																																																				
																																																																				
		Сумма	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729					
1	"Число избирателей, внесенных в список избирателей"	135110	1371	2224	2286	2572	2373	1658	2604	2630	2246	2582	2348	1908	2886	936	2571	2161	1763	2271	2190	2073	2785	2408	2256	2542	2572	2045	1984	2233	2500	2418	2335	2216	1737	2688	2492	2533	2415	2420	2073	2205	2279	2238	2461	2220	1968	2369	2044	2394	2007	2582	2327	2023	1806	2785	2608	3049	2447	1930	2134	524	405					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	116000	1100	2000	2000	2000	2000	1500	2000	2000	2000	2000	2000	1500	2500	800	2000	2000	1500	2000	2000	2000	2500	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1500	2500	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1600	2000	2000	2000	2000	2000	2000	2000	1500	2500	2000	2500	2000	1500	2000	500	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	70224	774	1119	1326	1522	1228	788	1359	1486	1089	1456	1385	732	1468	476	1321	1152	1105	1023	1016	1068	1690	1232	1204	1239	1341	1039	1047	1205	1385	1209	1255	1113	861	1278	1258	1299	1297	1334	1079	1262	1213	1177	1350	1144	1212	1324	1019	1228	1047	1313	1216	969	806	1224	1271	1511	1153	1022	841	356	308					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2072	15	23	31	39	49	60	25	29	26	34	71	160	19	30	31	24	49	25	44	28	34	35	26	68	20	14	11	16	25	22	26	17	56	72	33	38	38	33	22	26	42	43	45	34	31	30	38	23	31	33	24	9	6	29	31	25	13	8	27	9	97					
6	Число погашенных избирательных бюллетеней	43704	311	858	643	439	723	652	616	485	885	510	544	608	1013	294	648	824	346	952	940	904	776	733	770	693	639	947	942	779	590	769	719	870	583	1150	709	663	665	633	899	712	745	780	605	822	357	646	943	749	922	654	760	1022	688	1247	698	964	834	470	1132	135	95					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2072	15	23	31	39	49	60	25	29	26	34	71	160	19	30	31	24	49	25	44	28	34	35	26	68	20	14	11	16	25	22	26	17	56	72	33	38	38	33	22	26	42	43	45	34	31	30	38	23	31	33	24	9	6	29	31	25	13	8	27	9	97					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	70026	773	1119	1325	1426	1228	788	1356	1486	1085	1456	1380	732	1466	476	1318	1150	1104	1023	1014	1068	1684	1230	1204	1234	1324	1039	1047	1205	1382	1205	1255	1112	851	1278	1257	1298	1296	1332	1079	1262	1213	1177	1350	1144	1212	1324	1016	1227	1042	1313	1215	961	804	1221	1270	1510	1153	1022	841	356	308					
9	Число недействительных избирательных бюллетеней	1054	11	11	12	16	10	16	17	28	14	21	40	16	20	7	20	17	12	14	18	20	20	16	12	19	15	15	26	25	30	12	28	23	17	20	18	19	17	19	19	22	14	26	26	15	17	14	16	15	10	20	12	17	7	14	19	20	15	14	19	8	4					
10	Число действительных избирательных бюллетеней	71044	777	1131	1344	1449	1267	832	1364	1487	1097	1469	1411	876	1465	499	1329	1157	1141	1034	1040	1076	1698	1249	1218	1283	1329	1038	1032	1196	1377	1215	1253	1106	890	1330	1272	1317	1317	1346	1082	1266	1241	1194	1369	1163	1226	1340	1038	1235	1063	1326	1227	953	803	1236	1282	1515	1151	1016	849	357	401					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3112	33	43	49	65	50	35	56	59	45	48	47	38	78	33	78	53	50	70	80	38	56	70	45	65	55	39	54	54	60	48	43	58	35	40	43	53	50	52	49	63	53	50	48	53	38	53	40	55	45	70	55	61	44	53	65	88	57	44	45	15	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	3028	33	42	47	57	50	27	56	59	43	47	46	33	78	33	72	53	47	70	80	38	54	70	41	65	53	38	52	54	60	48	43	58	34	40	43	51	50	50	49	62	51	49	48	53	38	53	40	55	45	67	54	56	40	53	62	81	54	44	45	14	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2322	22	22	112	66	24	57	14	70	42	59	114	11	20	15	15	90	128	23	22	23	56	19	24	24	28	17	15	16	31	22	23	19	10	8	25	28	19	72	41	26	33	28	60	37	49	35	43	26	29	29	37	32	32	48	76	48	67	35	20	5	81					
