Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Чистопольская городская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №2730	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759	УИК №2760									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	48428	2589	2672	2363	2323	1236	1239	2137	1309	1285	1472	955	2191	2122	2151	1165	1460	2382	847	1611	2248	526	1687	2266	2494	2246	764	1367	524	230	567									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	46650	2500	2500	2300	2200	1200	1200	2100	1250	1250	1450	900	2100	2100	2100	1100	1400	2300	800	1500	2150	500	1600	2150	2400	2150	750	1250	500	300	650									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	38886	1944	2218	2041	1698	1000	1091	1881	1086	969	1076	758	1739	1506	1798	781	1217	1856	623	1430	1798	354	1531	1717	2041	1801	650	1106	379	230	567									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2266	51	46	61	173	61	33	59	60	137	189	28	147	382	140	31	56	145	96	23	54	14	12	75	36	34	9	70	44	0	0									
6	Число погашенных избирательных бюллетеней	5498	505	236	198	329	139	76	160	104	144	185	114	214	212	162	288	127	299	81	47	298	132	57	358	323	315	91	74	77	70	83									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2266	51	46	61	173	61	33	59	60	137	189	28	147	382	140	31	56	145	96	23	54	14	12	75	36	34	9	70	44	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	38886	1944	2218	2041	1698	1000	1091	1881	1086	969	1076	758	1739	1506	1798	781	1217	1856	623	1430	1798	354	1531	1717	2041	1801	650	1106	379	230	567									
9	Число недействительных избирательных бюллетеней	173	22	10	10	7	3	9	10	8	0	0	2	5	0	0	2	10	0	7	4	8	1	0	18	5	7	0	10	3	1	11									
10	Число действительных избирательных бюллетеней	40979	1973	2254	2092	1864	1058	1115	1930	1138	1106	1265	784	1881	1888	1938	810	1263	2001	712	1449	1844	367	1543	1774	2072	1828	659	1166	420	229	556									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1110	50	50	50	50	30	30	50	30	30	40	30	50	50	50	30	30	50	30	30	50	20	50	50	50	50	30	30	20	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	662	39	28	26	35	17	22	34	4	30	40	9	29	50	34	21	19	50	9	11	29	3	22	15	25	30	7	22	2	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	353	9	16	7	16	29	6	14	7	4	11	5	8	2	20	5	4	9	6	7	7	9	1	4	3	13	3	22	2	4	100									
14	Число погашенных неиспользованных открепительных удостоверений	448	11	22	24	15	13	8	16	26	0	0	21	21	0	16	9	11	0	21	19	21	17	28	35	25	20	23	8	18	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	61	0	2	3	4	2	1	1	1	4	2	2	3	2	1	2	4	4	3	1	2	1	3	2	3	2	0	5	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	144	3	5	11	18	10	13	8	8	0	0	1	2	2	2	6	0	1	3	3	1	4	4	0	16	7	4	6	5	0	1									
		0.35%	0.15%	0.22%	0.52%	0.96%	0.94%	1.16%	0.41%	0.70%	0.00%	0.00%	0.13%	0.11%	0.11%	0.10%	0.74%	0.00%	0.05%	0.42%	0.21%	0.05%	1.09%	0.26%	0.00%	0.77%	0.38%	0.61%	0.51%	1.18%	0.00%	0.18%									
