Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																			
Дата голосования: 04.12.2011																																																			
																																																			
Наименование Избирательной комиссии:    Морозовская																																																			
																																																			
Сводная таблица результатов выборов																																																			
																																																			
		Сумма	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1148	УИК №1243	УИК №2539	УИК №2540					
1	"Число избирателей, внесенных в список избирателей"	35988	1262	1424	1504	1100	1405	1487	1759	1692	2340	1778	1649	1691	1724	842	468	544	449	79	1059	315	195	328	220	388	300	307	640	186	89	505	552	678	345	486	682	242	358	949	412	486	1368	1428	58	215					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36515	1282	1437	1538	1130	1427	1520	1791	1739	2314	1764	1666	1745	1685	860	474	552	460	80	1078	323	197	328	223	411	307	320	654	191	90	497	563	698	351	500	703	245	363	977	420	495	1398	1440	60	219					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	23464	900	789	1110	834	1017	447	1137	639	1911	1368	1175	1052	1272	547	357	314	290	50	498	243	135	153	209	214	188	241	441	171	87	285	447	485	176	340	501	192	274	509	249	400	770	848	50	149					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1640	51	39	77	28	20	38	41	68	80	27	53	5	128	61	17	87	11	0	108	0	33	61	0	34	39	10	26	6	0	29	31	52	43	19	55	23	9	29	56	37	24	49	7	29					
6	Число погашенных избирательных бюллетеней	11411	331	609	351	268	390	1035	613	1032	323	369	438	688	285	252	100	151	159	30	472	80	29	114	14	163	80	69	187	14	3	183	85	161	132	141	147	30	80	439	115	58	604	543	3	41					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1640	51	39	77	28	20	38	41	68	80	27	53	5	128	61	17	87	11	0	108	0	33	61	0	34	39	10	26	6	0	29	31	52	43	19	55	23	9	29	56	37	24	49	7	29					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	23363	900	789	1110	834	1013	447	1096	637	1910	1368	1122	1052	1272	547	357	314	290	50	498	243	135	153	209	214	188	241	441	171	87	285	447	485	176	340	501	192	274	509	249	400	770	848	50	149					
9	Число недействительных избирательных бюллетеней	387	11	2	7	116	2	3	0	9	4	13	25	10	0	0	0	71	0	0	4	1	0	1	0	3	1	1	7	11	0	3	1	5	2	32	4	0	5	0	17	0	6	7	0	3					
10	Число действительных избирательных бюллетеней	24616	940	826	1180	746	1031	482	1137	696	1986	1382	1150	1047	1400	608	374	330	301	50	602	242	168	213	209	245	226	250	460	166	87	311	477	532	217	327	552	215	278	538	288	437	788	890	57	175					
