Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																					
Дата голосования: 04.12.2011																																																																					
																																																																					
Наименование Избирательной комиссии:    Копейская городская																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
		Сумма	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949					
1	"Число избирателей, внесенных в список избирателей"	107211	2216	1017	908	1263	2683	2230	2431	770	1545	2233	2707	1983	1902	2452	2400	1636	1453	1069	1979	901	1297	1781	1220	567	1274	1040	2157	2294	2264	2397	2066	2587	1447	2596	2091	929	1639	2286	1508	2219	1848	543	2691	1039	1878	1318	2334	2266	1499	2403	998	614	2768	1469	1380	2394	2008	1833	300	2696	274	1221					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	106525	2350	1100	975	1200	2750	2250	2400	775	1575	2250	2750	2000	1900	2450	2450	1650	1500	1050	1750	900	1300	1800	950	550	1250	1000	2200	2300	2300	2350	2000	2600	1400	2600	2100	900	1600	2300	1500	2200	1800	500	2600	1000	1800	1300	2300	2300	1500	2450	1000	600	2700	1400	1350	2400	2000	1800	300	2700	300	1200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	53071	952	439	502	739	1260	1027	1089	311	613	1033	1576	978	784	1136	1312	839	655	512	849	410	607	762	412	269	762	513	1208	1107	1178	1304	1019	1286	715	1373	988	536	771	1221	803	955	739	246	1271	501	777	575	1412	1523	695	1163	400	203	1592	863	690	1313	949	1032	128	1418	159	617					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	6027	200	72	104	215	238	254	182	53	102	76	180	135	99	77	46	60	77	68	242	87	43	44	310	32	151	58	93	80	49	65	113	103	38	53	53	30	62	46	60	228	130	66	92	37	67	81	81	85	97	96	54	52	206	90	45	112	66	32	59	42	20	139					
6	Число погашенных избирательных бюллетеней	47427	1198	589	369	246	1252	969	1129	411	860	1141	994	887	1017	1237	1092	751	768	470	659	403	650	994	228	249	337	429	899	1113	1073	981	868	1211	647	1174	1059	334	767	1033	637	1017	931	188	1237	462	956	644	807	692	708	1191	546	345	902	447	615	975	985	736	113	1240	121	444					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6027	200	72	104	215	238	254	182	53	102	76	180	135	99	77	46	60	77	68	242	87	43	44	310	32	151	58	93	80	49	65	113	103	38	53	53	30	62	46	60	228	130	66	92	37	67	81	81	85	97	96	54	52	206	90	45	112	66	32	59	42	20	139					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	53066	952	439	502	739	1259	1027	1089	311	613	1033	1575	977	784	1136	1312	839	654	512	849	410	607	762	412	269	762	513	1208	1107	1178	1304	1019	1286	715	1373	988	536	771	1221	803	955	739	246	1271	501	777	575	1412	1523	695	1163	400	203	1592	862	690	1313	949	1032	128	1418	159	617					
9	Число недействительных избирательных бюллетеней	1147	7	12	9	11	24	15	26	5	12	23	44	25	11	28	28	16	7	13	22	7	11	11	9	3	11	6	19	26	27	89	22	31	12	33	23	6	7	37	9	9	16	3	26	12	20	13	38	42	12	25	8	7	32	13	7	38	24	25	1	32	0	7					
10	Число действительных избирательных бюллетеней	57946	1145	499	597	943	1473	1266	1245	359	703	1086	1711	1087	872	1185	1330	883	724	567	1069	490	639	795	713	298	902	565	1282	1161	1200	1280	1110	1358	741	1393	1018	560	826	1230	854	1174	853	309	1337	526	824	643	1455	1566	780	1234	446	248	1766	939	728	1387	991	1039	186	1428	179	749					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1708	102	65	53	43	58	32	31	9	17	38	120	105	20	20	42	19	18	7	24	11	28	45	14	10	19	8	45	36	19	15	20	24	18	29	30	10	18	25	16	10	32	5	41	20	20	9	25	24	19	20	8	7	38	29	16	30	26	15	7	27	2	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1708	102	65	53	43	58	32	31	9	17	38	120	105	20	20	42	19	18	7	24	11	28	45	14	10	19	8	45	36	19	15	20	24	18	29	30	10	18	25	16	10	32	5	41	20	20	9	25	24	19	20	8	7	38	29	16	30	26	15	7	27	2	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	871	8	4	0	102	11	35	9	7	3	3	43	56	20	14	12	15	5	14	28	19	6	9	12	5	23	10	6	11	10	7	10	4	9	9	4	13	15	15	21	17	6	9	16	14	11	16	3	5	7	10	4	5	45	19	4	7	10	25	3	10	4	14					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	380	7	9	3	4	9	3	8	4	5	5	17	10	8	11	10	5	7	5	5	2	4	6	6	3	6	1	12	11	13	8	14	5	5	13	12	2	4	10	3	9	6	1	10	4	1	3	6	4	5	6	2	2	5	4	5	4	11	3	1	9	0	4					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	9892	185	74	58	85	221	162	203	52	74	177	241	178	127	215	258	186	147	102	177	62	114	133	123	52	150	111	265	174	234	266	234	291	168	281	194	114	153	253	171	173	109	47	246	94	154	116	243	244	145	210	76	33	217	187	162	256	194	171	28	242	19	61					
		16.74%	16.06%	14.48%	9.57%	8.91%	14.76%	12.65%	15.97%	14.29%	10.35%	15.96%	13.73%	16.01%	14.38%	17.72%	18.99%	20.69%	20.11%	17.59%	16.22%	12.47%	17.54%	16.50%	17.04%	17.28%	16.43%	19.44%	20.37%	14.66%	19.07%	19.43%	20.67%	20.95%	22.31%	19.71%	18.64%	20.14%	18.37%	19.97%	19.81%	14.62%	12.54%	15.06%	18.05%	17.47%	18.25%	17.68%	16.28%	15.17%	18.31%	16.68%	16.74%	12.94%	12.07%	19.64%	22.04%	17.96%	19.11%	16.07%	14.97%	16.58%	10.61%	8.07%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3906	38	22	37	48	100	100	50	29	58	100	50	50	50	100	50	101	58	83	58	54	14	70	44	21	46	37	100	100	50	163	50	100	99	50	100	66	66	100	100	70	67	20	50	42	100	57	51	48	54	55	71	28	100	57	24	100	106	34	29	51	31	49					
		6.61%	3.30%	4.31%	6.11%	5.03%	6.68%	7.81%	3.93%	7.97%	8.11%	9.02%	2.85%	4.50%	5.66%	8.24%	3.68%	11.23%	7.93%	14.31%	5.32%	10.87%	2.15%	8.68%	6.09%	6.98%	5.04%	6.48%	7.69%	8.42%	4.07%	11.91%	4.42%	7.20%	13.15%	3.51%	9.61%	11.66%	7.92%	7.89%	11.59%	5.92%	7.71%	6.41%	3.67%	7.81%	11.85%	8.69%	3.42%	2.99%	6.82%	4.37%	15.64%	10.98%	5.56%	5.99%	3.27%	7.02%	10.44%	3.20%	15.51%	3.49%	17.32%	6.48%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	604	10	3	3	4	16	10	3	5	9	18	27	13	7	18	10	8	8	6	8	4	10	8	6	1	5	7	14	20	19	19	17	13	5	9	6	9	10	17	14	14	8	2	24	6	6	3	14	15	7	10	5	1	10	6	8	13	13	11	2	20	2	5					
		1.02%	0.87%	0.59%	0.50%	0.42%	1.07%	0.78%	0.24%	1.37%	1.26%	1.62%	1.54%	1.17%	0.79%	1.48%	0.74%	0.89%	1.09%	1.03%	0.73%	0.80%	1.54%	0.99%	0.83%	0.33%	0.55%	1.23%	1.08%	1.68%	1.55%	1.39%	1.50%	0.94%	0.66%	0.63%	0.58%	1.59%	1.20%	1.34%	1.62%	1.18%	0.92%	0.64%	1.76%	1.12%	0.71%	0.46%	0.94%	0.93%	0.88%	0.79%	1.10%	0.39%	0.56%	0.63%	1.09%	0.91%	1.28%	1.03%	1.07%	1.37%	1.12%	0.66%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	4449	50	26	8	25	105	100	53	27	50	100	141	83	58	100	73	100	100	54	56	59	91	58	46	22	100	66	190	102	100	109	100	158	50	100	100	44	50	100	100	70	50	20	60	31	57	77	57	100	49	91	69	30	131	50	40	124	100	37	17	77	16	42					
		7.53%	4.34%	5.09%	1.32%	2.62%	7.01%	7.81%	4.17%	7.42%	6.99%	9.02%	8.03%	7.46%	6.57%	8.24%	5.38%	11.12%	13.68%	9.31%	5.13%	11.87%	14.00%	7.20%	6.37%	7.31%	10.95%	11.56%	14.60%	8.59%	8.15%	7.96%	8.83%	11.38%	6.64%	7.01%	9.61%	7.77%	6.00%	7.89%	11.59%	5.92%	5.75%	6.41%	4.40%	5.76%	6.75%	11.74%	3.82%	6.22%	6.19%	7.23%	15.20%	11.76%	7.29%	5.25%	5.44%	8.70%	9.85%	3.48%	9.09%	5.27%	8.94%	5.56%					
