Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																					
Дата голосования: 02.12.2007																																																																					
																																																																					
Наименование Избирательной комиссии:    Копейская городская																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
		Сумма	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949					
1	"Число избирателей, внесенных в списки избирателей"	104958	2217	1048	1130	1461	2764	2144	2448	714	1529	2047	2661	1995	1782	2451	2515	1814	1475	1161	1866	893	1374	1851	1160	660	1409	1060	2307	2471	2540	2314	1940	2461	738	2677	1878	2151	2218	1260	697	1558	1063	1406	1336	1086	1867	1245	2766	1741	1996	1951	954	1032	2269	1596	1281	2298	2014	1785	257	2754	242	1180					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	92480	2050	940	990	1290	2430	1900	2140	630	1370	1820	2360	1770	1540	2160	2250	1600	1300	1000	1500	780	1200	1600	860	500	1150	950	2060	2200	2250	2040	1700	2150	1050	2400	1650	1900	1900	1130	620	1390	940	1260	1170	950	1670	1100	2450	1570	1760	1730	830	900	2000	1400	1000	2100	1800	1500	230	2400	200	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	60240	1092	548	531	660	1601	1291	1267	354	702	1137	1370	1048	878	1430	1626	1112	864	680	1053	475	699	957	558	373	910	631	1579	1525	1614	1482	1154	1525	678	1730	1066	1251	1352	772	320	754	448	750	793	626	914	632	1592	1105	1192	1061	488	492	1294	1042	756	1490	1199	1171	108	1660	144	634					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	5046	205	62	109	184	117	147	161	40	126	76	87	99	153	86	39	69	93	57	170	34	37	88	228	65	68	55	42	75	65	68	89	91	60	45	68	87	44	55	61	94	125	124	81	35	84	33	130	82	106	57	44	45	64	80	39	46	55	35	35	60	8	79					
6	Число погашенных избирательных бюллетеней	27194	753	330	350	446	712	462	712	236	542	607	903	623	509	644	585	419	343	263	277	271	464	555	74	62	172	264	439	600	571	490	457	534	312	625	516	562	504	303	239	542	367	386	296	289	672	435	728	383	462	612	298	363	642	278	205	564	546	294	87	680	48	287					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5046	205	62	109	184	117	147	161	40	126	76	87	99	153	86	39	69	93	57	170	34	37	88	228	65	68	55	42	75	65	68	89	91	60	45	68	87	44	55	61	94	125	124	81	35	84	33	130	82	106	57	44	45	64	80	39	46	55	35	35	60	8	79					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	60232	1092	548	531	660	1600	1291	1267	354	702	1137	1367	1048	878	1430	1626	1112	864	680	1053	475	699	957	558	373	910	631	1579	1525	1612	1482	1154	1525	678	1730	1066	1251	1352	772	320	754	448	750	793	626	914	632	1592	1105	1192	1061	488	492	1294	1042	756	1490	1198	1170	108	1660	144	634					
9	Число недействительных избирательных бюллетеней	700	12	2	10	9	23	3	28	5	14	15	16	14	10	13	26	8	13	8	12	2	9	8	4	5	10	4	5	10	19	21	20	14	9	15	7	16	15	11	3	9	5	7	10	9	7	4	18	9	21	8	4	7	21	13	11	20	15	12	5	19	1	17					
10	Число действительных избирательных бюллетеней	64578	1285	608	630	835	1694	1435	1400	389	814	1198	1438	1133	1021	1503	1639	1173	944	729	1211	507	727	1037	782	433	968	682	1616	1590	1658	1529	1223	1602	729	1760	1127	1322	1381	816	378	839	568	867	864	652	991	661	1704	1178	1277	1110	528	530	1337	1109	784	1516	1238	1193	138	1701	151	696					
