Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																
Дата голосования: 18.09.2016																
																
Наименование Избирательной комиссии:    Терская																
																
Сводная таблица итогов голосования по федеральному избирательному округу																
																
		Сумма	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5586	353	1510	1031	2045	647									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5510	400	1480	1050	2100	480									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	198	8	0	0	0	190									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1799	130	389	374	773	133									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	107	6	25	15	54	7									
6	Число погашенных избирательных бюллетеней	3406	256	1066	661	1273	150									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	305	14	25	15	54	197									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1798	130	389	374	772	133									
9	Число недействительных избирательных бюллетеней	70	6	11	16	33	4									
10	Число действительных избирательных бюллетеней	2033	138	403	373	793	326									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	44	9	9	11	10	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	19	3	5	5	4	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	19	3	3	3	6	4									
14	Число погашенных неиспользованных открепительных удостоверений	25	6	4	6	6	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	38	1	4	8	22	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0									
																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	34	6	6	9	10	3									
		1.62%	4.17%	1.45%	2.31%	1.21%	0.91%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	60	8	13	5	20	14									
		2.85%	5.56%	3.14%	1.29%	2.42%	4.24%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	90	3	20	14	43	10									
		4.28%	2.08%	4.83%	3.60%	5.21%	3.03%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	897	58	173	163	316	187									
		42.65%	40.28%	41.79%	41.90%	38.26%	56.67%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	18	3	3	2	7	3									
		0.86%	2.08%	0.72%	0.51%	0.85%	0.91%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	0	1	2	1	3									
		0.33%	0.00%	0.24%	0.51%	0.12%	0.91%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	326	34	73	58	113	48									
		15.50%	23.61%	17.63%	14.91%	13.68%	14.55%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	12	0	3	2	6	1									
		0.57%	0.00%	0.72%	0.51%	0.73%	0.30%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	23	0	6	3	10	4									
		1.09%	0.00%	1.45%	0.77%	1.21%	1.21%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	2	0	1	0	0	1									
		0.10%	0.00%	0.24%	0.00%	0.00%	0.30%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	27	2	7	10	7	1									
		1.28%	1.39%	1.69%	2.57%	0.85%	0.30%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	243	13	43	40	113	34									
		11.55%	9.03%	10.39%	10.28%	13.68%	10.30%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	12	1	1	4	6	0									
		0.57%	0.69%	0.24%	1.03%	0.73%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	282	10	53	61	141	17									
		13.41%	6.94%	12.80%	15.68%	17.07%	5.15%									
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
