Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																					
Дата голосования: 04.12.2011																																																					
																																																					
Наименование Избирательной комиссии:    Ивановская																																																					
																																																					
Сводная таблица предварительных итогов голосования																																																					
																																																					
		Сумма	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496					
1	"Число избирателей, внесенных в список избирателей"	28544	375	354	353	941	523	279	654	148	752	637	227	560	664	1074	1200	152	1247	1108	640	630	550	341	155	303	100	1135	1070	1045	1194	1080	1107	367	277	1441	350	370	406	837	990	786	295	324	256	501	519	227					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28050	370	350	350	880	480	280	660	140	770	640	230	550	670	1070	1000	150	1190	1110	590	610	530	350	150	300	140	1120	1030	1010	1160	1000	1060	330	510	1430	350	350	370	830	1000	820	290	330	260	500	520	220					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	14319	173	110	197	550	210	88	267	111	416	327	88	405	288	555	457	26	633	564	315	433	325	149	63	120	52	513	557	472	507	547	503	151	194	592	271	276	330	456	514	482	128	120	117	276	276	115					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3191	95	168	97	90	90	68	158	12	100	27	95	45	60	85	277	89	132	104	83	56	27	65	55	96	48	43	8	88	30	42	7	97	83	25	37	62	35	45	43	30	55	71	68	28	28	44					
6	Число погашенных избирательных бюллетеней	10540	102	72	56	240	180	124	235	17	254	286	47	100	322	430	266	35	425	442	192	121	178	136	32	84	40	564	465	450	623	411	550	82	233	813	42	12	5	329	443	308	107	139	75	196	216	61					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3190	95	168	97	90	90	68	158	12	100	27	95	45	60	85	277	89	132	104	83	56	27	65	55	96	48	43	8	88	30	42	7	96	83	25	37	62	35	45	43	30	55	71	68	28	28	44					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14302	173	110	197	550	210	88	267	111	415	327	88	404	288	555	457	26	633	564	315	433	325	149	63	120	52	513	557	472	507	547	503	151	194	592	271	275	330	448	508	482	128	120	117	276	276	115					
9	Число недействительных избирательных бюллетеней	407	10	0	2	78	33	1	1	0	2	8	0	22	2	11	44	1	4	4	3	7	3	1	1	4	0	9	10	22	1	6	13	33	4	13	1	6	8	12	1	8	5	2	0	6	5	0					
10	Число действительных избирательных бюллетеней	17085	258	278	292	562	267	155	424	123	513	346	183	427	346	629	690	114	761	664	395	482	349	213	117	212	100	547	555	538	536	583	497	214	273	604	307	331	357	481	550	504	178	189	185	298	299	159					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	679	9	8	8	20	12	12	15	3	16	17	5	13	28	18	23	6	28	26	13	15	22	8	4	7	10	26	24	23	27	23	25	8	12	33	8	8	7	9	13	32	7	13	6	12	12	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	519	9	8	8	12	12	12	8	0	12	16	5	5	28	18	19	6	8	12	7	15	22	8	4	7	10	9	24	23	18	12	20	3	11	17	4	6	5	9	13	29	7	13	6	9	8	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	627	15	8	6	37	11	4	3	5	3	7	3	9	6	9	7	6	6	11	40	25	5	3	5	9	10	10	48	25	21	63	23	14	3	18	6	6	94	17	2	1	4	7	4	0	0	8					
14	Число погашенных неиспользованных открепительных удостоверений	160	0	0	0	8	0	0	7	3	4	1	0	8	0	0	4	0	20	14	6	0	0	0	0	0	0	17	0	0	9	11	5	5	1	16	4	2	2	0	0	3	0	0	0	3	4	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	2	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2269	28	17	29	65	25	9	34	15	51	60	14	65	63	113	81	11	119	125	42	53	61	22	24	33	11	118	75	82	91	87	70	13	31	66	19	20	34	84	70	48	23	44	23	39	46	16					
		12.97%	10.45%	6.12%	9.86%	10.16%	8.33%	5.77%	8.00%	12.20%	9.90%	16.95%	7.65%	14.48%	18.10%	17.66%	11.04%	9.57%	15.56%	18.71%	10.55%	10.84%	17.33%	10.28%	20.34%	15.28%	11.00%	21.22%	13.27%	14.64%	16.95%	14.77%	13.73%	5.26%	11.19%	10.70%	6.17%	5.93%	9.32%	17.04%	12.70%	9.38%	12.57%	23.04%	12.43%	12.83%	15.13%	10.06%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2077	21	30	30	45	32	17	43	7	78	55	16	54	53	81	85	8	85	67	62	47	51	22	9	33	3	103	72	104	92	78	68	18	32	63	32	19	31	57	62	61	24	23	12	35	30	27					
		11.87%	7.84%	10.79%	10.20%	7.03%	10.67%	10.90%	10.12%	5.69%	15.15%	15.54%	8.74%	12.03%	15.23%	12.66%	11.58%	6.96%	11.11%	10.03%	15.58%	9.61%	14.49%	10.28%	7.63%	15.28%	3.00%	18.53%	12.74%	18.57%	17.13%	13.24%	13.33%	7.29%	11.55%	10.21%	10.39%	5.64%	8.49%	11.56%	11.25%	11.91%	13.11%	12.04%	6.49%	11.51%	9.87%	16.98%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	155	2	2	0	8	4	0	6	2	3	2	1	3	1	6	2	0	2	6	3	7	3	1	0	4	0	5	9	7	7	11	4	3	3	3	3	0	4	3	9	6	0	0	0	4	6	0					
		0.89%	0.75%	0.72%	0.00%	1.25%	1.33%	0.00%	1.41%	1.63%	0.58%	0.56%	0.55%	0.67%	0.29%	0.94%	0.27%	0.00%	0.26%	0.90%	0.75%	1.43%	0.85%	0.47%	0.00%	1.85%	0.00%	0.90%	1.59%	1.25%	1.30%	1.87%	0.78%	1.21%	1.08%	0.49%	0.97%	0.00%	1.10%	0.61%	1.63%	1.17%	0.00%	0.00%	0.00%	1.32%	1.97%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2628	38	22	16	62	21	21	71	12	68	95	15	53	50	99	106	10	150	81	38	55	38	30	12	33	12	113	129	110	100	117	104	7	31	176	23	27	32	72	99	77	8	29	20	51	80	15					
		15.02%	14.18%	7.91%	5.44%	9.69%	7.00%	13.46%	16.71%	9.76%	13.20%	26.84%	8.20%	11.80%	14.37%	15.47%	14.44%	8.70%	19.61%	12.13%	9.55%	11.25%	10.80%	14.02%	10.17%	15.28%	12.00%	20.32%	22.83%	19.64%	18.62%	19.86%	20.39%	2.83%	11.19%	28.53%	7.47%	8.01%	8.77%	14.60%	17.97%	15.04%	4.37%	15.18%	10.81%	16.78%	26.32%	9.43%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	437	6	2	8	15	13	4	7	0	15	7	1	5	25	14	26	4	18	28	1	18	11	7	1	2	2	16	16	15	19	26	13	3	8	19	2	10	4	5	15	10	0	1	1	1	3	10					
		2.50%	2.24%	0.72%	2.72%	2.34%	4.33%	2.56%	1.65%	0.00%	2.91%	1.98%	0.55%	1.11%	7.18%	2.19%	3.54%	3.48%	2.35%	4.19%	0.25%	3.68%	3.13%	3.27%	0.85%	0.93%	2.00%	2.88%	2.83%	2.68%	3.54%	4.41%	2.55%	1.21%	2.89%	3.08%	0.65%	2.97%	1.10%	1.01%	2.72%	1.95%	0.00%	0.52%	0.54%	0.33%	0.99%	6.29%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9395	159	205	205	362	170	104	257	87	294	125	133	247	149	313	388	79	383	350	247	299	184	130	71	106	72	192	247	216	218	259	233	169	168	273	224	253	245	259	291	299	122	92	129	168	131	88					
		53.71%	59.33%	73.74%	69.73%	56.56%	56.67%	66.67%	60.47%	70.73%	57.09%	35.31%	72.68%	55.01%	42.82%	48.91%	52.86%	68.70%	50.07%	52.40%	62.06%	61.15%	52.27%	60.75%	60.17%	49.07%	72.00%	34.53%	43.72%	38.57%	40.60%	43.97%	45.69%	68.42%	60.65%	44.25%	72.73%	75.07%	67.12%	52.54%	52.81%	58.40%	66.67%	48.17%	69.73%	55.26%	43.09%	55.35%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	124	4	0	4	5	2	0	6	0	4	2	3	0	5	3	2	2	4	7	2	3	1	1	0	1	0	0	7	4	9	5	5	1	0	4	4	2	7	1	4	3	1	0	0	0	3	3					
		0.71%	1.49%	0.00%	1.36%	0.78%	0.67%	0.00%	1.41%	0.00%	0.78%	0.56%	1.64%	0.00%	1.44%	0.47%	0.27%	1.74%	0.52%	1.05%	0.50%	0.61%	0.28%	0.47%	0.00%	0.46%	0.00%	0.00%	1.24%	0.71%	1.68%	0.85%	0.98%	0.40%	0.00%	0.65%	1.30%	0.59%	1.92%	0.20%	0.73%	0.59%	0.55%	0.00%	0.00%	0.00%	0.99%	1.89%					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
