Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																												
Дата голосования: 02.12.2007																																												
																																												
Наименование Избирательной комиссии:    Ивановская																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496					
1	"Число избирателей, внесенных в списки избирателей"	27665	509	453	257	2128	1264	304	1063	1789	1872	1052	1309	1428	476	548	952	230	815	1119	212	584	733	95	781	299	143	162	500	257	156	940	2013	645	144	218	687	1395	133					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	27777	498	452	262	2170	1287	293	1053	1804	1844	1022	1296	1395	493	571	940	235	828	1143	189	571	746	131	798	299	137	168	493	277	176	975	1978	646	151	221	677	1432	126					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	14003	277	232	115	968	743	136	631	918	1004	479	658	722	233	239	460	123	399	561	121	404	319	23	426	185	60	94	205	112	88	484	1019	348	62	59	244	766	86					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2166	54	60	45	146	45	40	13	7	24	101	57	21	102	174	49	34	95	69	16	54	48	61	84	13	48	26	98	45	19	111	15	10	50	88	148	80	16					
6	Число погашенных избирательных бюллетеней	11608	167	160	102	1056	499	117	409	879	816	442	581	652	158	158	431	78	334	513	52	113	379	47	288	101	29	48	190	120	69	380	944	288	39	74	285	586	24					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2166	54	60	45	146	45	40	13	7	24	101	57	21	102	174	49	34	95	69	16	54	48	61	84	13	48	26	98	45	19	111	15	10	50	88	148	80	16					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14003	277	232	115	968	743	136	631	918	1004	479	658	722	233	239	460	123	399	561	121	404	319	23	426	185	60	94	205	112	88	484	1019	348	62	59	244	766	86					
9	Число недействительных избирательных бюллетеней	130	0	1	0	7	13	0	2	8	12	3	10	6	0	0	3	3	5	6	0	10	0	0	4	3	4	0	2	0	0	7	14	1	0	0	2	4	0					
10	Число действительных избирательных бюллетеней	16039	331	291	160	1107	775	176	642	917	1016	577	705	737	335	413	506	154	489	624	137	448	367	84	506	195	104	120	301	157	107	588	1020	357	112	147	390	842	102					
