Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																										
Дата голосования: 04.12.2011																																										
																																										
"Наименование Избирательной комиссии:    Волгоград, Кировская"																																										
																																										
Сводная таблица результатов выборов																																										
																																										
		Сумма	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535					
1	"Число избирателей, внесенных в список избирателей"	71875	2365	1566	1815	2055	1993	1992	2319	2149	2666	2112	1782	1900	1818	1833	2063	2220	2525	1691	1672	1530	2221	2572	2354	2390	2522	2320	2194	2840	2140	2305	2196	2811	2453	371	120					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	70859	2200	1500	1800	2050	2000	2000	2350	2150	2600	2150	1800	1900	1850	1650	2100	2200	2400	1700	1650	2800	2250	2550	2350	2350	2450	2300	2150	2500	2100	1850	1800	2450	2450	345	114					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	32762	1123	664	945	1016	957	942	1083	1101	1157	1115	876	815	840	985	1011	1098	1086	807	841	1371	1145	1120	842	986	935	952	830	1149	941	790	1200	938	909	122	70					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2321	153	58	15	20	42	35	25	83	40	23	34	35	24	40	38	22	35	14	32	159	22	20	40	42	115	37	16	221	30	350	6	419	29	38	9					
6	Число погашенных избирательных бюллетеней	35776	924	778	840	1014	1001	1023	1242	966	1403	1012	890	1050	986	625	1051	1080	1279	879	777	1270	1083	1410	1468	1322	1400	1311	1304	1130	1129	710	594	1093	1512	185	35					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2320	153	58	15	20	42	35	25	83	40	23	34	35	24	40	38	22	35	14	32	159	22	20	40	42	115	37	16	221	30	349	6	419	29	38	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	32760	1123	664	945	1016	957	942	1083	1101	1157	1115	876	815	840	985	1011	1098	1086	807	841	1369	1145	1120	842	986	935	952	830	1149	941	790	1200	938	909	122	70					
9	Число недействительных избирательных бюллетеней	572	21	13	12	27	18	11	23	17	29	17	9	14	8	17	13	8	19	11	6	17	16	12	18	20	18	19	14	36	17	17	13	42	18	2	0					
10	Число действительных избирательных бюллетеней	34508	1255	709	948	1009	981	966	1085	1167	1168	1121	901	836	856	1008	1036	1112	1102	810	867	1511	1151	1128	864	1008	1032	970	832	1334	954	1122	1193	1315	920	158	79					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1911	57	25	25	57	57	77	57	87	65	64	55	35	55	55	63	57	57	55	55	85	62	35	57	57	57	57	57	65	57	55	70	57	57	15	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1166	42	18	21	35	32	31	45	41	46	50	37	28	28	20	35	31	30	31	30	46	51	32	44	34	37	33	29	36	32	29	53	38	28	7	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1263	136	32	23	13	11	24	16	37	17	14	18	18	20	174	54	20	14	20	20	99	48	15	12	22	22	25	50	130	55	11	19	37	18	7	12					
14	Число погашенных неиспользованных открепительных удостоверений	745	15	7	4	22	25	46	12	46	19	14	18	7	27	35	28	26	27	24	25	39	11	3	13	23	20	24	28	29	25	26	17	19	29	8	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	1	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	9578	407	216	276	334	311	302	297	341	320	380	266	250	230	271	264	329	325	265	274	316	277	290	229	304	283	271	236	362	263	311	187	324	233	27	7					
		27.30%	31.90%	29.92%	28.75%	32.24%	31.13%	30.91%	26.81%	28.80%	26.73%	33.39%	29.23%	29.41%	26.62%	26.44%	25.17%	29.38%	28.99%	32.28%	31.39%	20.68%	23.74%	25.44%	25.96%	29.57%	26.95%	27.40%	27.90%	26.42%	27.09%	27.30%	15.51%	23.88%	24.84%	16.88%	8.86%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	5034	169	99	125	120	127	148	180	147	172	146	107	123	140	132	175	113	157	97	146	222	103	172	143	169	160	158	130	201	146	176	246	187	172	19	7					
