Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																			
Дата голосования: 04.12.2011																																			
																																			
Наименование Избирательной комиссии:    район Черемушки																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №2288	УИК №2289	УИК №2290	УИК №2291	УИК №2292	УИК №2293	УИК №2294	УИК №2295	УИК №2296	УИК №2297	УИК №2298	УИК №2299	УИК №2300	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №3358					
1	"Число избирателей, внесенных в список избирателей"	63279	2427	2088	2368	2257	2107	2594	2227	2437	2843	2855	2446	2357	2181	2057	1720	2425	2402	2260	2228	2105	2097	2982	2152	2376	2532	2157	2408	191					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	49000	2000	1500	2000	1700	1500	2000	1700	1700	2200	2200	1700	1700	2100	1700	1300	1700	1700	1700	1700	1800	1800	2200	1700	1700	2000	1700	1700	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	34981	954	1050	1227	1580	986	1066	990	1157	1218	1620	1431	1508	2021	1141	1114	1016	1456	1128	1041	1559	1774	1918	1103	1009	1094	1469	1160	191					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	758	29	48	24	67	10	10	20	15	35	26	37	16	21	22	36	17	7	21	19	21	16	34	37	55	32	38	45	0					
6	Число погашенных избирательных бюллетеней	13261	1017	402	749	53	504	924	690	528	947	554	232	176	58	537	150	667	237	551	640	220	10	248	560	636	874	193	495	409					
7	Число избирательных бюллетеней в переносных ящиках для голосования	758	29	48	24	67	10	10	20	15	35	26	37	16	21	22	36	17	7	21	19	21	16	34	37	55	32	38	45	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	34890	954	1044	1223	1580	986	1066	990	1126	1215	1618	1431	1508	2017	1137	1114	1011	1456	1127	1037	1559	1756	1918	1103	1007	1087	1469	1160	191					
9	Число недействительных избирательных бюллетеней	581	27	19	16	11	24	23	22	21	29	26	0	19	20	29	19	28	35	30	16	0	24	27	22	20	21	26	23	4					
10	Число действительных избирательных бюллетеней	35067	956	1073	1231	1636	972	1053	988	1120	1221	1618	1468	1505	2018	1130	1131	1000	1428	1118	1040	1580	1748	1925	1118	1042	1098	1481	1182	187					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1430	60	50	60	50	50	50	70	50	50	70	50	60	50	50	40	50	50	50	50	40	60	50	50	60	60	50	50	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1106	52	38	51	33	36	39	65	31	46	53	36	50	38	40	32	49	33	32	38	37	47	34	37	37	50	33	39	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	946	17	39	26	38	26	44	23	48	20	30	34	26	19	25	13	56	49	46	27	19	11	57	23	25	42	48	21	94					
14	Число погашенных неиспользованных открепительных удостоверений	324	8	12	9	17	14	11	5	19	4	17	14	10	12	10	8	1	17	18	12	3	13	16	13	23	10	17	11	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	50	2	0	2	3	3	0	4	3	2	3	5	4	0	0	0	6	1	2	4	0	2	1	0	1	1	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4691	155	112	216	124	156	197	199	170	209	180	180	177	203	197	58	149	153	232	214	38	183	223	159	182	198	183	206	38					
		13.16%	15.77%	10.26%	17.32%	7.53%	15.66%	18.31%	19.70%	14.90%	16.72%	10.95%	12.26%	11.61%	9.96%	16.99%	5.04%	14.49%	10.46%	20.21%	20.27%	2.41%	10.33%	11.42%	13.95%	17.14%	17.69%	12.14%	17.10%	19.90%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3077	123	124	129	104	114	102	136	149	135	101	118	122	93	65	31	107	109	111	98	42	125	148	122	133	158	109	138	31					
		8.63%	12.51%	11.36%	10.34%	6.31%	11.45%	9.48%	13.47%	13.06%	10.80%	6.14%	8.04%	8.01%	4.56%	5.61%	2.70%	10.41%	7.45%	9.67%	9.28%	2.66%	7.05%	7.58%	10.70%	12.52%	14.12%	7.23%	11.45%	16.23%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	538	22	23	24	10	21	21	19	22	27	31	22	20	15	20	19	15	19	14	17	14	13	26	19	12	19	22	27	5					
		1.51%	2.24%	2.11%	1.92%	0.61%	2.11%	1.95%	1.88%	1.93%	2.16%	1.89%	1.50%	1.31%	0.74%	1.73%	1.65%	1.46%	1.30%	1.22%	1.61%	0.89%	0.73%	1.33%	1.67%	1.13%	1.70%	1.46%	2.24%	2.62%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	7912	254	291	266	376	251	292	262	251	343	339	267	263	444	467	256	276	301	329	300	82	255	315	210	287	283	293	327	32					
		22.19%	25.84%	26.65%	21.33%	22.83%	25.20%	27.14%	25.94%	21.99%	27.44%	20.62%	18.19%	17.26%	21.79%	40.29%	22.26%	26.85%	20.57%	28.66%	28.41%	5.19%	14.39%	16.14%	18.42%	27.02%	25.29%	19.44%	27.14%	16.75%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	4390	146	146	183	52	165	235	138	169	173	107	208	205	190	190	49	249	201	178	188	30	207	153	164	130	141	176	197	20					
		12.31%	14.85%	13.37%	14.68%	3.16%	16.57%	21.84%	13.66%	14.81%	13.84%	6.51%	14.17%	13.45%	9.32%	16.39%	4.26%	24.22%	13.74%	15.51%	17.80%	1.90%	11.68%	7.84%	14.39%	12.24%	12.60%	11.68%	16.35%	10.47%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14107	247	369	404	957	259	195	226	341	321	843	655	699	1062	180	713	189	624	243	212	1359	953	1045	434	282	287	679	270	59					
		39.57%	25.13%	33.79%	32.40%	58.11%	26.00%	18.12%	22.38%	29.89%	25.68%	51.28%	44.62%	45.87%	52.11%	15.53%	62.00%	18.39%	42.65%	21.17%	20.08%	86.01%	53.78%	53.53%	38.07%	26.55%	25.65%	45.06%	22.41%	30.89%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	352	9	8	9	13	6	11	8	18	13	17	18	19	11	11	5	15	21	11	11	15	12	15	10	16	12	19	17	2					
		0.99%	0.92%	0.73%	0.72%	0.79%	0.60%	1.02%	0.79%	1.58%	1.04%	1.03%	1.23%	1.25%	0.54%	0.95%	0.43%	1.46%	1.44%	0.96%	1.04%	0.95%	0.68%	0.77%	0.88%	1.51%	1.07%	1.26%	1.41%	1.05%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
