Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
"Наименование Избирательной комиссии:    Тверь, Московская"																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	96091	2296	1759	940	2100	2349	2412	2489	1092	1787	1821	1479	878	1348	1748	1797	1787	1833	1045	1150	1049	1860	1037	790	1716	1312	1794	2336	1934	1488	1790	1905	1760	2662	2402	1322	1292	1728	1907	1718	2189	2106	2628	2256	1779	2288	2226	1909	1928	1853	2295	2722	3063	94	89	227	500	27									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	93881	2300	1800	900	2000	2400	2400	2500	1000	1800	1800	1500	900	1300	1600	1500	1700	1800	1000	1100	1000	1800	1000	800	1600	1300	1700	2400	1900	1500	1800	1800	1800	2700	2400	1300	1300	1700	1900	1700	2200	2100	2600	2300	1800	2300	2200	1800	1900	1800	2000	2500	2800	94	63	224	470	30									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	35016	941	643	210	700	884	927	883	363	518	599	468	276	469	589	520	678	673	338	374	348	611	360	254	585	523	613	802	689	502	619	690	616	1017	861	438	430	621	792	631	835	838	1003	817	652	855	920	629	759	696	786	1037	1277	94	63	203	470	27									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	517	4	1	1	7	16	13	29	7	6	3	3	4	4	18	9	6	7	6	14	6	7	5	1	12	13	7	7	8	8	9	5	6	6	15	5	3	14	10	13	21	15	14	24	28	14	14	19	10	11	9	12	8	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	58348	1355	1156	689	1293	1500	1460	1588	630	1276	1198	1029	620	827	993	971	1016	1120	656	712	646	1182	635	545	1003	764	1080	1591	1203	990	1172	1105	1178	1677	1524	857	867	1065	1098	1056	1344	1247	1583	1459	1120	1431	1266	1152	1131	1093	1205	1451	1515	0	0	21	0	3									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	517	4	1	1	7	16	13	29	7	6	3	3	4	4	18	9	6	7	6	14	6	7	5	1	12	13	7	7	8	8	9	5	6	6	15	5	3	14	10	13	21	15	14	24	28	14	14	19	10	11	9	12	8	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	34975	941	643	210	700	884	927	883	361	518	599	468	276	465	588	517	678	673	338	374	347	611	360	253	585	523	613	801	688	502	619	690	616	1012	858	438	427	620	792	631	834	835	1003	817	649	855	920	629	759	696	783	1037	1272	94	63	203	470	27									
9	Число недействительных избирательных бюллетеней	815	5	13	4	19	21	16	63	11	11	9	18	1	9	12	11	22	12	5	7	8	11	8	4	7	13	20	16	8	21	21	11	22	26	17	11	16	16	20	22	25	20	30	17	13	18	18	10	21	7	12	19	24	0	0	2	12	0									
10	Число действительных избирательных бюллетеней	34677	940	631	207	688	879	924	849	357	513	593	453	279	460	594	515	662	668	339	381	345	607	357	250	590	523	600	792	688	489	607	684	600	992	856	432	414	618	782	622	830	830	987	824	664	851	916	638	748	700	780	1030	1256	94	63	201	458	27									
