Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																										
Дата голосования: 07.12.2003 0:00:00																																										
																																										
Наименование Избирательной комиссии:    Кайбицкая																																										
																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																										
																																										
		Сумма	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646					
1	"Число избирателей, внесенных в списки"	11454	222	315	141	427	207	417	183	471	213	517	366	368	646	376	181	147	169	350	1097	190	150	200	212	599	160	166	428	120	294	612	443	164	140	252	511					
2	"Число бюллетеней, полученных участковыми комиссиями"	11534	223	316	143	427	208	419	186	477	214	519	367	373	653	378	183	149	173	350	1101	192	152	200	213	606	162	168	429	121	295	618	447	166	141	253	512					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10505	192	303	131	406	179	385	163	444	195	494	344	327	564	344	163	140	146	318	994	174	144	168	191	556	151	164	398	102	291	559	378	155	131	246	465					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	933	29	12	10	18	28	32	20	26	18	23	22	41	82	31	18	7	23	31	101	16	6	32	18	41	9	2	29	18	3	52	65	9	9	6	46					
6	Число погашенных бюллетеней	96	2	1	2	3	1	2	3	7	1	2	1	5	7	3	2	2	4	1	6	2	2	0	4	9	2	2	2	1	1	7	4	2	1	1	1					
7	Число бюллетеней в переносных ящиках для голосования	933	29	12	10	18	28	32	20	26	18	23	22	41	82	31	18	7	23	31	101	16	6	32	18	41	9	2	29	18	3	52	65	9	9	6	46					
8	Число бюллетеней в стационарных ящиках для голосования	10505	192	303	131	406	179	385	163	444	195	494	344	327	564	344	163	140	146	318	994	174	144	168	191	556	151	164	398	102	291	559	378	155	131	246	465					
9	Число недействительных бюллетеней	101	0	2	2	0	0	6	0	0	0	3	2	0	8	4	1	0	1	1	2	0	2	0	10	0	1	1	13	0	1	0	8	2	0	0	31					
10	Число действительных бюллетеней	11337	221	313	139	424	207	411	183	470	213	514	364	368	638	371	180	147	168	348	1093	190	148	200	199	597	159	165	414	120	293	611	435	162	140	252	480					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	4	4	3	10	4	5	4	10	4	10	5	6	8	6	3	3	4	4	16	4	5	3	4	15	3	6	6	3	4	12	6	3	3	3	7					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	53	0	0	0	0	0	0	1	3	0	2	0	6	3	1	1	0	2	0	10	0	0	0	0	2	0	0	0	0	1	12	1	1	0	3	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	24	0	0	0	1	0	1	0	1	0	1	0	1	1	0	1	0	0	1	6	0	0	1	0	0	0	0	0	0	1	2	0	0	3	1	2					
14	Число погашенных открепительных удостоверений	147	4	4	3	10	4	5	3	7	4	8	5	0	5	5	2	3	2	4	6	4	5	3	4	13	3	6	6	3	3	0	5	2	3	0	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																										
18	"1. ""ЕДИНЕНИЕ"""	30	0	1	0	0	0	1	0	1	0	0	1	4	17	1	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
		0.26%	0.0%	0.31%	0.0%	0.0%	0.0%	0.23%	0.0%	0.21%	0.0%	0.0%	0.27%	1.08%	2.63%	0.26%	0.0%	0.0%	0.0%	0.28%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.60%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	9	1	0	0	1	1	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
		0.07%	0.45%	0.0%	0.0%	0.23%	0.48%	0.23%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	17	0	3	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	0	1	0	0	1	2	0					
