Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																		
Дата голосования: 02.12.2007																		
																		
Наименование Избирательной комиссии:    Анадырская																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16					
1	"Число избирателей, внесенных в списки избирателей"	5833	864	1319	1002	724	339	108	138	565	232	455	87					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	5129	707	1103	714	718	351	104	136	553	211	455	77					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	217	0	0	0	5	36	10	17	64	21	59	5					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	3730	555	784	599	462	226	86	111	382	133	332	60					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	213	52	72	15	30	8	3	0	18	11	3	1					
6	Число погашенных избирательных бюллетеней	969	100	247	100	221	81	5	8	89	46	61	11					
7	Число избирательных бюллетеней в переносных ящиках для голосования	430	52	72	15	35	44	13	17	82	32	62	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3730	555	784	599	462	226	86	111	382	133	332	60					
9	Число недействительных избирательных бюллетеней	30	2	8	3	7	4	0	1	4	0	1	0					
10	Число действительных избирательных бюллетеней	4130	605	848	611	490	266	99	127	460	165	393	66					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	360	50	50	50	40	30	10	10	40	30	40	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	25	3	3	1	2	1	2	1	7	0	1	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	36	11	8	4	8	0	0	0	1	0	0	4					
14	Число погашенных неиспользованных открепительных удостоверений	335	47	47	49	38	29	8	9	33	30	39	6					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	4	4	4	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	1.Политическая партия «Аграрная партия России»	78	12	14	11	17	5	0	1	5	3	9	1					
		1.88%	1.98%	1.64%	1.79%	3.42%	1.85%	0.00%	0.78%	1.08%	1.82%	2.28%	1.52%					
19	2.Всероссийская политическая партия «Гражданская Сила»	35	12	4	5	5	0	0	1	1	1	5	1					
		0.84%	1.98%	0.47%	0.81%	1.01%	0.00%	0.00%	0.78%	0.22%	0.61%	1.27%	1.52%					
20	3.Политическая партия «Демократическая партия России»	15	1	5	0	2	3	1	0	1	0	2	0					
		0.36%	0.16%	0.58%	0.00%	0.40%	1.11%	1.01%	0.00%	0.22%	0.00%	0.51%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	155	35	28	20	26	9	1	5	12	2	15	2					
		3.73%	5.77%	3.27%	3.26%	5.23%	3.33%	1.01%	3.91%	2.59%	1.21%	3.81%	3.03%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	14	3	5	0	2	1	1	0	1	0	1	0					
		0.34%	0.49%	0.58%	0.00%	0.40%	0.37%	1.01%	0.00%	0.22%	0.00%	0.25%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	2	1	0	0	1	0	0	0	0	0	0	0					
		0.05%	0.16%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	507	84	131	94	56	22	13	12	37	18	27	13					
		12.19%	13.84%	15.30%	15.31%	11.27%	8.15%	13.13%	9.38%	7.97%	10.91%	6.85%	19.70%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	158	29	28	29	29	9	4	3	8	5	13	1					
		3.80%	4.78%	3.27%	4.72%	5.84%	3.33%	4.04%	2.34%	1.72%	3.03%	3.30%	1.52%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	22	5	2	2	5	1	0	0	4	0	3	0					
		0.53%	0.82%	0.23%	0.33%	1.01%	0.37%	0.00%	0.00%	0.86%	0.00%	0.76%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3099	406	618	444	344	216	78	105	390	136	314	48					
		74.50%	66.89%	72.20%	72.31%	69.22%	80.00%	78.79%	82.03%	84.05%	82.42%	79.70%	72.73%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	45	17	13	6	3	0	1	0	1	0	4	0					
		1.08%	2.80%	1.52%	0.98%	0.60%	0.00%	1.01%	0.00%	0.22%	0.00%	1.02%	0.00%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
