Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																						
Дата голосования: 04.12.2011																						
																						
Наименование Избирательной комиссии:    Анадырская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20					
1	"Число избирателей, внесенных в список избирателей"	6154	616	1071	777	513	261	87	106	484	152	448	45	945	159	239	251					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6630	706	1000	640	620	305	106	127	554	200	505	69	1047	214	279	258					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	236	0	0	0	0	25	9	15	81	6	72	0	0	0	0	28					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4761	462	761	538	413	217	76	90	392	137	353	45	704	137	213	223					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	169	11	13	14	16	17	2	1	11	9	3	0	35	17	20	0					
6	Число погашенных избирательных бюллетеней	1464	233	226	88	191	46	19	21	70	48	77	24	308	60	46	7					
7	Число избирательных бюллетеней в переносных ящиках для голосования	405	11	13	14	16	42	11	16	92	15	75	0	35	17	20	28					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4761	462	761	538	413	217	76	90	392	137	353	45	704	137	213	223					
9	Число недействительных избирательных бюллетеней	115	2	26	36	11	1	1	10	3	2	0	2	15	1	5	0					
10	Число действительных избирательных бюллетеней	5051	471	748	516	418	258	86	96	481	150	428	43	724	153	228	251					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	150	20	20	20	15	5	5	5	10	10	10	5	10	5	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	65	16	5	2	7	5	0	2	9	5	2	0	4	5	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	45	12	18	2	1	1	0	0	0	0	3	0	7	0	1	0					
14	Число погашенных неиспользованных открепительных удостоверений	85	4	15	18	8	0	5	3	1	5	8	5	6	0	2	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	50	0	17	14	2	1	1	1	3	0	1	0	9	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	259	39	77	35	8	4	4	3	19	10	18	0	13	13	7	9					
		5.01%	8.25%	9.95%	6.34%	1.86%	1.54%	4.60%	2.83%	3.93%	6.58%	4.21%	0.00%	1.76%	8.44%	3.00%	3.59%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	670	126	195	132	16	16	6	4	21	14	54	11	29	8	17	21					
		12.97%	26.64%	25.19%	23.91%	3.73%	6.18%	6.90%	3.77%	4.34%	9.21%	12.62%	24.44%	3.92%	5.19%	7.30%	8.37%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	31	1	6	10	5	0	0	0	3	0	3	0	2	0	0	1					
		0.60%	0.21%	0.78%	1.81%	1.17%	0.00%	0.00%	0.00%	0.62%	0.00%	0.70%	0.00%	0.27%	0.00%	0.00%	0.40%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	227	53	75	25	9	10	3	3	7	4	14	1	11	2	7	3					
		4.39%	11.21%	9.69%	4.53%	2.10%	3.86%	3.45%	2.83%	1.45%	2.63%	3.27%	2.22%	1.49%	1.30%	3.00%	1.20%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	86	23	22	13	8	0	1	0	3	0	5	2	7	2	0	0					
		1.66%	4.86%	2.84%	2.36%	1.86%	0.00%	1.15%	0.00%	0.62%	0.00%	1.17%	4.44%	0.95%	1.30%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3742	227	370	294	369	227	71	86	426	121	333	28	653	125	196	216					
		72.44%	47.99%	47.80%	53.26%	86.01%	87.64%	81.61%	81.13%	88.02%	79.61%	77.80%	62.22%	88.36%	81.17%	84.12%	86.06%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	36	2	3	7	3	1	1	0	2	1	1	1	9	3	1	1					
		0.70%	0.42%	0.39%	1.27%	0.70%	0.39%	1.15%	0.00%	0.41%	0.66%	0.23%	2.22%	1.22%	1.95%	0.43%	0.40%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
