Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																											
Дата голосования: 18.09.2016																																																																																																											
																																																																																																											
Наименование Избирательной комиссии:    Дмитровcкая																																																																																																											
																																																																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																											
																																																																																																											
		Сумма	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	125687	715	1853	2489	2784	1970	1741	1789	2753	2664	2358	2502	217	2490	2624	2036	2142	2168	1929	1819	1100	1177	2099	1263	1959	2300	2335	1620	1007	812	383	2085	813	649	1380	1414	437	1614	356	1289	759	564	167	1001	1750	1306	750	1677	801	1300	874	780	323	855	304	971	1220	1247	1477	414	2094	820	1736	2204	1438	1621	1189	1916	2250	1681	1473	937	1223	1000	746	1405	1847	1006	1797	1082	836	479	1666	311	691	332	1206	598	571	852	366	788	1089	1002	472	261	1027									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	113600	620	1675	2230	2525	1775	1580	1580	2480	2410	2135	2255	200	2255	2375	1820	1930	1965	1730	1610	990	1065	1910	1945	1785	2085	2105	1455	895	730	335	1825	550	575	1265	1280	390	1445	320	1130	710	505	150	895	1560	1170	665	1495	720	1170	780	700	290	770	275	890	1095	1135	1350	355	1955	750	1540	1965	1280	1440	1045	1730	2025	1530	1340	835	1100	920	675	1255	1615	915	1505	965	780	450	1510	290	635	345	1090	515	500	665	315	720	975	910	430	235	940									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	54243	388	993	693	965	574	919	611	1926	1865	853	892	65	816	856	1002	880	882	562	571	315	397	760	779	547	1273	804	596	268	554	211	604	463	141	425	444	142	893	191	772	308	217	72	348	631	464	228	611	234	668	245	234	102	243	67	287	678	455	410	73	674	331	668	757	523	894	654	1161	1171	839	772	430	616	382	333	544	1356	649	1074	818	447	254	911	103	429	39	845	240	378	301	202	265	480	557	82	71	526									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4871	41	5	24	27	31	37	3	2	27	8	10	50	13	6	35	20	50	11	11	4	7	6	84	77	3	14	153	210	15	42	99	4	39	72	86	46	98	18	33	71	40	30	68	14	24	20	14	13	19	7	108	10	46	22	8	146	95	209	93	55	60	87	50	31	0	0	67	114	84	68	107	64	96	153	15	19	55	17	0	47	28	9	55	28	217	0	128	32	123	29	44	120	17	227	7	40									
6	Число погашенных избирательных бюллетеней	54486	191	677	1513	1533	1170	624	966	552	518	1274	1353	85	1426	1513	783	1030	1033	1157	1028	671	661	1144	1082	1161	809	1287	706	417	161	82	1122	83	395	768	750	202	454	111	325	331	248	48	479	915	682	417	870	473	483	528	358	178	481	186	595	271	585	731	189	1226	359	785	1158	726	546	391	502	740	607	500	298	420	442	189	696	240	211	414	147	286	168	590	132	178	89	245	147	90	241	84	411	375	336	121	157	374									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4871	41	5	24	27	31	37	3	2	27	8	10	50	13	6	35	20	50	11	11	4	7	6	84	77	3	14	153	210	15	42	99	4	39	72	86	46	98	18	33	71	40	30	68	14	24	20	14	13	19	7	108	10	46	22	8	146	95	209	93	55	60	87	50	31	0	0	67	114	84	68	107	64	96	153	15	19	55	17	0	47	28	9	55	28	217	0	128	32	123	29	44	120	17	227	7	40									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	53537	388	967	693	965	574	919	611	1926	1865	853	892	65	816	856	1002	880	882	562	560	315	397	760	665	547	1273	804	596	268	554	211	604	463	141	425	444	142	795	191	772	308	217	72	348	630	461	228	611	234	668	245	234	102	243	67	287	678	455	410	73	674	331	668	755	523	472	654	1160	1171	839	772	430	616	382	333	544	1356	649	1074	818	447	254	911	103	429	39	845	240	378	301	174	265	480	557	82	71	526									
9	Число недействительных избирательных бюллетеней	1104	8	27	9	0	15	9	19	73	8	30	25	3	37	39	17	35	14	11	21	9	3	0	0	12	13	21	8	2	10	0	14	0	7	20	26	2	12	2	7	7	8	2	4	24	18	6	27	8	19	10	11	4	11	5	13	11	3	5	6	7	6	10	15	21	11	0	1	35	18	8	4	0	4	7	7	2	61	0	0	15	5	0	6	0	2	14	29	8	17	1	6	9	0	4	1	0									
10	Число действительных избирательных бюллетеней	57304	421	945	708	992	590	947	595	1855	1884	831	877	112	792	823	1020	865	918	562	550	310	401	766	749	612	1263	797	741	476	559	253	689	467	173	477	504	186	881	207	798	372	249	100	412	620	467	242	598	239	668	242	331	108	278	84	282	813	547	614	160	722	385	745	790	533	461	654	1226	1250	905	832	533	680	474	479	552	1373	643	1091	818	479	277	920	152	457	254	831	339	402	407	202	303	591	574	305	77	566									
