Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																				
Дата голосования: 18.09.2016																				
																				
Наименование Избирательной комиссии:    район Арбат																				
																				
Сводная таблица итогов голосования по федеральному избирательному округу																				
																				
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16063	1847	1733	1171	1853	1943	1450	1797	1663	2606									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12250	1300	1300	900	1400	1400	1000	1300	1200	2450									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6936	634	618	420	653	688	512	644	578	2189									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	167	28	22	16	26	22	11	16	26	0									
6	Число погашенных избирательных бюллетеней	5147	638	660	464	721	690	477	640	596	261									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	167	28	22	16	26	22	11	16	26	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6923	634	618	420	653	686	512	642	576	2182									
9	Число недействительных избирательных бюллетеней	99	4	7	8	7	4	6	13	6	44									
10	Число действительных избирательных бюллетеней	6991	658	633	428	672	704	517	645	596	2138									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	345	15	10	10	15	10	10	15	10	250									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	300	11	7	3	14	9	6	9	3	238									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	318	25	18	35	19	47	73	67	20	14									
14	Число погашенных неиспользованных открепительных удостоверений	45	4	3	7	1	1	4	6	7	12									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	1	2	0	5	2	0	1	1	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0									
																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	282	39	16	16	14	35	24	23	27	88									
		3.98%	5.89%	2.50%	3.67%	2.06%	4.94%	4.59%	3.50%	4.49%	4.03%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	152	12	11	8	11	13	8	13	10	66									
		2.14%	1.81%	1.72%	1.83%	1.62%	1.84%	1.53%	1.98%	1.66%	3.02%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	135	20	17	10	15	13	10	17	12	21									
		1.90%	3.02%	2.66%	2.29%	2.21%	1.84%	1.91%	2.58%	1.99%	0.96%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2482	183	174	130	183	207	153	178	174	1100									
		35.01%	27.64%	27.19%	29.82%	26.95%	29.24%	29.25%	27.05%	28.90%	50.41%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	128	11	11	8	14	16	8	13	10	37									
		1.81%	1.66%	1.72%	1.83%	2.06%	2.26%	1.53%	1.98%	1.66%	1.70%									
24	"6. Политическая партия ""Гражданская Платформа"""	18	2	1	3	3	1	1	2	2	3									
		0.25%	0.30%	0.16%	0.69%	0.44%	0.14%	0.19%	0.30%	0.33%	0.14%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	754	37	55	38	53	39	35	57	39	401									
		10.63%	5.59%	8.59%	8.72%	7.81%	5.51%	6.69%	8.66%	6.48%	18.38%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	253	35	17	22	33	25	27	33	40	21									
		3.57%	5.29%	2.66%	5.05%	4.86%	3.53%	5.16%	5.02%	6.64%	0.96%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	341	42	43	21	43	41	33	37	41	40									
		4.81%	6.34%	6.72%	4.82%	6.33%	5.79%	6.31%	5.62%	6.81%	1.83%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	17	2	0	3	4	1	2	1	1	3									
		0.24%	0.30%	0.00%	0.69%	0.59%	0.14%	0.38%	0.15%	0.17%	0.14%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1147	141	154	88	175	159	110	139	125	56									
		16.18%	21.30%	24.06%	20.18%	25.77%	22.46%	21.03%	21.12%	20.76%	2.57%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	910	103	92	58	74	121	76	98	80	208									
		12.83%	15.56%	14.38%	13.30%	10.90%	17.09%	14.53%	14.89%	13.29%	9.53%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	64	4	2	3	7	3	3	4	7	31									
		0.90%	0.60%	0.31%	0.69%	1.03%	0.42%	0.57%	0.61%	1.16%	1.42%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	308	27	40	20	43	30	27	30	28	63									
		4.34%	4.08%	6.25%	4.59%	6.33%	4.24%	5.16%	4.56%	4.65%	2.89%									
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
