Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Якшур-Бодьинская																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №3301	УИК №3302	УИК №3303	УИК №3304	УИК №3305	УИК №3306	УИК №3307	УИК №3308	УИК №3309	УИК №3310	УИК №3311	УИК №3312	УИК №3313	УИК №3314	УИК №3315	УИК №3316	УИК №3317	УИК №3318	УИК №3319	УИК №3320	УИК №3321	УИК №3322	УИК №3323	УИК №3324	УИК №3325	УИК №3326	УИК №3327	УИК №3328	УИК №3329	УИК №3330	УИК №3331									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17527	1284	1135	724	596	883	397	430	351	1033	137	211	328	986	171	587	594	1029	428	233	365	616	302	1469	531	169	208	138	271	792	314	815									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17620	1290	1140	730	590	890	395	435	360	1055	140	210	325	990	165	595	595	1010	425	245	370	620	300	1490	530	165	205	135	275	805	315	825									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9099	661	526	336	326	417	177	216	202	605	80	98	178	431	78	308	342	607	232	122	242	327	148	792	256	93	126	52	138	388	164	431									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	548	21	24	9	6	20	14	29	15	70	3	8	24	63	9	8	4	33	18	6	8	10	10	12	5	10	11	24	28	28	7	11									
6	Число погашенных избирательных бюллетеней	7973	608	590	385	258	453	204	190	143	380	57	104	123	496	78	279	249	370	175	117	120	283	142	686	269	62	68	59	109	389	144	383									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	548	21	24	9	6	20	14	29	15	70	3	8	24	63	9	8	4	33	18	6	8	10	10	12	5	10	11	24	28	28	7	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9096	661	526	336	326	417	177	216	202	605	80	98	178	431	78	307	342	607	232	122	242	327	148	792	256	91	126	52	138	388	164	431									
9	Число недействительных избирательных бюллетеней	293	20	19	7	7	19	6	9	7	23	3	3	4	13	2	10	11	13	3	7	6	5	7	36	6	2	5	1	9	7	1	22									
10	Число действительных избирательных бюллетеней	9351	662	531	338	325	418	185	236	210	652	80	103	198	481	85	305	335	627	247	121	244	332	151	768	255	99	132	75	157	409	170	420									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	363	15	15	10	10	10	10	20	10	30	5	10	20	15	10	5	5	15	5	10	5	20	5	25	10	5	5	5	15	20	8	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	200	7	11	6	3	6	5	10	10	26	2	2	4	9	0	3	1	10	1	10	5	5	0	21	3	1	4	0	6	16	5	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	179	9	10	6	5	5	6	8	5	3	3	4	7	11	7	3	5	21	5	6	6	8	4	8	3	3	6	4	1	1	4	2									
14	Число погашенных неиспользованных открепительных удостоверений	163	8	4	4	7	4	5	10	0	4	3	8	16	6	10	2	4	5	4	0	0	15	5	4	7	4	1	5	9	4	3	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	66	7	3	1	2	6	0	1	3	4	1	2	2	1	1	5	0	2	1	4	1	3	0	6	0	2	1	0	1	1	1	4									
		0.68%	1.03%	0.55%	0.29%	0.60%	1.37%	0.00%	0.41%	1.38%	0.59%	1.20%	1.89%	0.99%	0.20%	1.15%	1.59%	0.00%	0.31%	0.40%	3.13%	0.40%	0.89%	0.00%	0.75%	0.00%	1.98%	0.73%	0.00%	0.60%	0.24%	0.58%	0.90%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	171	9	15	2	9	8	2	3	1	13	1	2	2	12	5	4	3	16	3	3	3	1	3	8	7	0	2	1	2	16	8	7									
		1.77%	1.32%	2.73%	0.58%	2.71%	1.83%	1.05%	1.22%	0.46%	1.93%	1.20%	1.89%	0.99%	2.43%	5.75%	1.27%	0.87%	2.50%	1.20%	2.34%	1.20%	0.30%	1.90%	0.99%	2.68%	0.00%	1.46%	1.32%	1.20%	3.85%	4.68%	1.58%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	145	16	10	7	5	10	1	3	5	5	3	1	4	5	1	3	5	6	1	3	6	9	1	8	1	0	5	0	1	12	3	5									
		1.50%	2.35%	1.82%	2.03%	1.51%	2.29%	0.52%	1.22%	2.30%	0.74%	3.61%	0.94%	1.98%	1.01%	1.15%	0.95%	1.45%	0.94%	0.40%	2.34%	2.40%	2.67%	0.63%	0.99%	0.38%	0.00%	3.65%	0.00%	0.60%	2.88%	1.75%	1.13%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5742	377	300	180	221	241	138	158	148	419	59	52	124	296	52	189	208	321	184	75	188	244	90	442	157	74	84	51	117	216	88	249									
		59.54%	55.28%	54.55%	52.17%	66.57%	55.15%	72.25%	64.49%	68.20%	62.07%	71.08%	49.06%	61.39%	59.92%	59.77%	60.00%	60.12%	50.16%	73.60%	58.59%	75.20%	72.40%	56.96%	54.98%	60.15%	73.27%	61.31%	67.11%	70.48%	51.92%	51.46%	56.33%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	36	4	2	1	1	1	0	0	2	3	0	0	0	2	0	1	0	2	0	0	1	1	2	7	1	0	0	1	0	2	0	2									
		0.37%	0.59%	0.36%	0.29%	0.30%	0.23%	0.00%	0.00%	0.92%	0.44%	0.00%	0.00%	0.00%	0.40%	0.00%	0.32%	0.00%	0.31%	0.00%	0.00%	0.40%	0.30%	1.27%	0.87%	0.38%	0.00%	0.00%	1.32%	0.00%	0.48%	0.00%	0.45%									
24	"6. Политическая партия ""Гражданская Платформа"""	63	1	1	1	3	1	2	0	2	1	0	0	0	2	0	18	14	9	1	1	0	0	0	3	1	0	0	1	0	0	0	1									
		0.65%	0.15%	0.18%	0.29%	0.90%	0.23%	1.05%	0.00%	0.92%	0.15%	0.00%	0.00%	0.00%	0.40%	0.00%	5.71%	4.05%	1.41%	0.40%	0.78%	0.00%	0.00%	0.00%	0.37%	0.38%	0.00%	0.00%	1.32%	0.00%	0.00%	0.00%	0.23%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1005	62	68	41	27	56	9	21	24	85	4	6	22	48	9	35	52	46	24	16	13	26	14	93	37	5	12	10	20	49	26	45									
		10.42%	9.09%	12.36%	11.88%	8.13%	12.81%	4.71%	8.57%	11.06%	12.59%	4.82%	5.66%	10.89%	9.72%	10.34%	11.11%	15.03%	7.19%	9.60%	12.50%	5.20%	7.72%	8.86%	11.57%	14.18%	4.95%	8.76%	13.16%	12.05%	11.78%	15.20%	10.18%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	17	2	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	3	1	0	0	0	1	2	0	2									
		0.18%	0.29%	0.00%	0.29%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.94%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.30%	0.63%	0.37%	0.38%	0.00%	0.00%	0.00%	0.60%	0.48%	0.00%	0.45%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	402	45	27	17	12	17	11	6	3	16	2	2	6	19	0	5	8	39	5	2	5	5	5	47	20	6	8	3	1	21	13	26									
		4.17%	6.60%	4.91%	4.93%	3.61%	3.89%	5.76%	2.45%	1.38%	2.37%	2.41%	1.89%	2.97%	3.85%	0.00%	1.59%	2.31%	6.09%	2.00%	1.56%	2.00%	1.48%	3.16%	5.85%	7.66%	5.94%	5.84%	3.95%	0.60%	5.05%	7.60%	5.88%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	17	1	0	0	0	2	0	0	0	2	1	0	2	2	0	1	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	2									
		0.18%	0.15%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.30%	1.20%	0.00%	0.99%	0.40%	0.00%	0.32%	0.00%	0.31%	0.00%	0.00%	0.40%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	62	2	8	2	1	2	3	2	0	2	0	0	1	1	2	0	3	5	1	0	0	1	2	5	1	0	0	0	11	4	1	2									
		0.64%	0.29%	1.45%	0.58%	0.30%	0.46%	1.57%	0.82%	0.00%	0.30%	0.00%	0.00%	0.50%	0.20%	2.30%	0.00%	0.87%	0.78%	0.40%	0.00%	0.00%	0.30%	1.27%	0.62%	0.38%	0.00%	0.00%	0.00%	6.63%	0.96%	0.58%	0.45%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1285	107	77	65	38	60	16	32	16	86	8	26	32	70	12	27	27	157	21	13	22	33	27	109	22	12	13	5	0	72	24	56									
		13.32%	15.69%	14.00%	18.84%	11.45%	13.73%	8.38%	13.06%	7.37%	12.74%	9.64%	24.53%	15.84%	14.17%	13.79%	8.57%	7.80%	24.53%	8.40%	10.16%	8.80%	9.79%	17.09%	13.56%	8.43%	11.88%	9.49%	6.58%	0.00%	17.31%	14.04%	12.67%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	36	3	1	1	1	2	0	2	0	4	0	1	0	3	1	3	1	2	1	0	1	0	0	3	0	0	2	0	0	1	2	1									
		0.37%	0.44%	0.18%	0.29%	0.30%	0.46%	0.00%	0.82%	0.00%	0.59%	0.00%	0.94%	0.00%	0.61%	1.15%	0.95%	0.29%	0.31%	0.40%	0.00%	0.40%	0.00%	0.00%	0.37%	0.00%	0.00%	1.46%	0.00%	0.00%	0.24%	1.17%	0.23%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	304	26	19	19	5	12	3	7	6	12	1	10	3	20	2	14	14	19	5	4	3	8	6	33	7	0	5	3	3	13	4	18									
		3.15%	3.81%	3.45%	5.51%	1.51%	2.75%	1.57%	2.86%	2.76%	1.78%	1.20%	9.43%	1.49%	4.05%	2.30%	4.44%	4.05%	2.97%	2.00%	3.13%	1.20%	2.37%	3.80%	4.10%	2.68%	0.00%	3.65%	3.95%	1.81%	3.13%	2.34%	4.07%									
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
