Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва														
Дата голосования: 18.09.2016														
														
Наименование Избирательной комиссии:    Эвено-Бытантайская														
														
Сводная таблица итогов голосования по федеральному избирательному округу														
														
		Сумма	УИК №686	УИК №687	УИК №688									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	1841	150	1228	463									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	1900	155	1260	485									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	49	6	22	21									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	866	74	534	258									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	67	2	48	17									
6	Число погашенных избирательных бюллетеней	918	73	656	189									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	116	8	70	38									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	866	74	534	258									
9	Число недействительных избирательных бюллетеней	12	0	11	1									
10	Число действительных избирательных бюллетеней	970	82	593	295									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	70	5	50	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	26	2	14	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	19	2	15	2									
14	Число погашенных неиспользованных открепительных удостоверений	44	3	36	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	5	14	4									
16	Число утраченных открепительных удостоверений	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0									
														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	14	0	7	7									
		1.43%	0.00%	1.16%	2.36%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	37	1	25	11									
		3.77%	1.22%	4.14%	3.72%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	15	2	9	4									
		1.53%	2.44%	1.49%	1.35%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	601	48	376	177									
		61.20%	58.54%	62.25%	59.80%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	2	1	1	0									
		0.20%	1.22%	0.17%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	1	5	2									
		0.81%	1.22%	0.83%	0.68%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	13	1	7	5									
		1.32%	1.22%	1.16%	1.69%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	1	0	0	1									
		0.10%	0.00%	0.00%	0.34%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	6	2	3	1									
		0.61%	2.44%	0.50%	0.34%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	2	0	1	1									
		0.20%	0.00%	0.17%	0.34%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	6	2	4	0									
		0.61%	2.44%	0.66%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	108	10	69	29									
		10.99%	12.20%	11.42%	9.80%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	2	0	2	0									
		0.20%	0.00%	0.33%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	155	14	84	57									
		15.78%	17.07%	13.91%	19.26%									
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
