14	Число неиспользованных открепительных удостоверений	455	2	12	0	5	0	12	11	7	9	4	3	12	5	4	3	10	2	3	4	13	5	8	6	0	13	4	1	5	1	5	2	2	0	7	7	4	15	8	0	9	3	4	2	9	5	10	1	0	5	7	5	14	2	5	4	9	0	5	5	10	6	8	4	2	4	6	2	5	3	3	1	0	6	0	4	3	0	4	8	17	7	8	9	4	0	10	1	2	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	15	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																						
18	Богданов Андрей Владимирович	1174	7	12	23	20	0	14	9	15	38	7	9	10	9	21	24	10	10	10	15	14	22	15	16	15	17	22	30	28	31	26	32	23	27	10	6	6	7	7	16	6	8	35	10	15	15	6	4	1	0	15	7	10	13	12	27	17	7	16	14	8	12	3	12	8	13	7	5	2	12	9	1	2	7	13	6	2	25	15	8	20	10	12	11	17	11	7	9	16	2	3	2	11	0	1	1					
		1.34%	1.46%	0.60%	1.49%	5.33%	0.00%	1.11%	0.77%	1.54%	2.84%	1.06%	1.10%	1.34%	1.10%	1.99%	2.48%	1.16%	1.16%	2.07%	1.03%	1.10%	1.47%	1.14%	1.71%	1.33%	1.29%	1.74%	1.95%	1.84%	1.93%	1.62%	1.72%	1.26%	1.13%	0.95%	1.31%	0.73%	0.99%	1.82%	2.51%	0.81%	1.29%	2.99%	1.55%	1.66%	1.33%	0.84%	1.08%	1.49%	0.00%	1.74%	0.74%	1.15%	1.23%	1.58%	2.31%	1.77%	0.67%	2.07%	1.79%	1.72%	1.97%	0.62%	1.06%	0.82%	1.21%	1.40%	0.94%	0.35%	0.82%	0.75%	0.29%	0.16%	2.00%	0.83%	0.72%	1.14%	1.49%	0.89%	0.82%	1.15%	1.32%	1.32%	1.16%	1.63%	1.12%	1.10%	1.14%	1.49%	1.71%	1.59%	1.45%	1.48%	0.00%	1.41%	0.58%					
19	Жириновский Владимир Вольфович	9397	78	100	163	35	20	159	106	117	165	73	76	73	103	120	103	109	124	54	153	60	130	140	92	114	121	138	173	188	213	189	220	186	178	162	47	78	75	45	84	91	77	132	65	116	178	78	13	5	21	116	100	127	104	103	109	74	117	65	89	51	82	42	158	105	117	55	57	62	137	115	38	20	47	154	82	24	177	284	87	183	95	97	84	102	87	69	78	197	13	24	18	84	5	2	21					
		10.74%	16.32%	4.99%	10.54%	9.33%	6.39%	12.58%	9.11%	11.98%	12.31%	11.03%	9.27%	9.76%	12.64%	11.42%	10.65%	12.62%	14.44%	11.20%	10.54%	4.69%	8.68%	10.62%	9.86%	10.10%	9.17%	10.94%	11.26%	12.34%	13.24%	11.75%	11.83%	10.22%	7.42%	15.36%	10.26%	9.44%	10.65%	11.72%	13.17%	12.21%	12.40%	11.30%	10.08%	12.85%	15.75%	10.86%	3.49%	7.46%	7.24%	13.46%	10.63%	14.67%	9.80%	13.59%	9.31%	7.68%	11.17%	8.41%	11.38%	10.99%	13.49%	8.62%	13.91%	10.77%	10.89%	11.02%	10.69%	10.99%	9.35%	9.58%	10.89%	1.57%	13.43%	9.88%	9.84%	13.64%	10.55%	16.87%	8.90%	10.57%	12.55%	10.66%	8.82%	9.79%	8.82%	10.87%	9.86%	18.39%	11.11%	12.70%	13.04%	11.31%	5.56%	2.82%	12.14%					
20	Зюганов Геннадий Андреевич	21686	80	261	239	61	27	275	276	270	334	161	268	270	228	297	278	283	222	133	415	308	465	360	309	361	411	382	455	414	407	445	498	393	429	203	103	161	151	80	138	174	124	269	210	212	244	158	28	1	40	211	210	192	334	200	323	260	265	202	218	102	152	84	321	313	310	148	149	166	299	186	91	12	70	514	260	39	487	237	290	472	226	274	322	349	293	164	227	102	23	29	22	138	11	19	59					
		24.78%	16.74%	13.03%	15.46%	16.27%	8.63%	21.76%	23.73%	27.64%	24.93%	24.32%	32.68%	36.10%	27.98%	28.26%	28.75%	32.75%	25.84%	27.59%	28.58%	24.10%	31.04%	27.31%	33.12%	31.98%	31.14%	30.27%	29.60%	27.17%	25.30%	27.66%	26.79%	21.59%	17.88%	19.24%	22.49%	19.49%	21.45%	20.83%	21.63%	23.36%	19.97%	23.03%	32.56%	23.48%	21.59%	22.01%	7.53%	1.49%	13.79%	24.48%	22.32%	22.17%	31.48%	26.39%	27.58%	26.99%	25.31%	26.13%	27.88%	21.98%	25.00%	17.25%	28.26%	32.10%	28.86%	29.66%	27.95%	29.43%	20.41%	15.50%	26.07%	0.94%	20.00%	32.99%	31.21%	22.16%	29.04%	14.08%	29.68%	27.25%	29.85%	30.11%	33.82%	33.49%	29.72%	25.83%	28.70%	9.52%	19.66%	15.34%	15.94%	18.57%	12.22%	26.76%	34.10%					
21	Медведев Дмитрий Анатольевич	54342	311	1630	1110	257	266	799	758	553	774	411	460	386	469	601	550	451	496	279	844	884	860	790	508	620	751	709	859	867	945	934	1084	1185	1743	680	294	573	464	246	388	470	406	720	360	549	681	472	325	58	226	514	617	532	597	437	701	601	642	475	453	303	355	356	629	543	622	287	318	329	1012	885	214	1243	220	866	475	110	959	1122	586	1036	423	515	528	560	585	393	475	747	79	131	93	504	74	49	91					
		62.10%	65.06%	81.38%	71.80%	68.53%	84.98%	63.21%	65.18%	56.60%	57.76%	62.08%	56.10%	51.60%	57.55%	57.18%	56.88%	52.20%	57.74%	57.88%	58.13%	69.17%	57.41%	59.94%	54.45%	54.92%	56.89%	56.18%	55.89%	56.89%	58.73%	58.05%	58.31%	65.11%	72.63%	64.45%	64.19%	69.37%	65.91%	64.06%	60.82%	63.09%	65.38%	61.64%	55.81%	60.80%	60.27%	65.74%	87.37%	86.57%	77.93%	59.63%	65.57%	61.43%	56.27%	57.65%	59.86%	62.41%	61.32%	61.45%	57.93%	65.30%	58.39%	73.10%	55.37%	55.69%	57.91%	57.52%	59.66%	58.33%	69.08%	73.75%	61.32%	97.34%	62.86%	55.58%	57.02%	62.50%	57.19%	66.67%	59.98%	59.82%	55.88%	56.59%	55.46%	53.74%	59.33%	61.89%	60.05%	69.75%	67.52%	69.31%	67.39%	67.83%	82.22%	69.01%	52.60%					
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
