Выборы Президента Российской Федерации																																																																																																				
																																																																																																				
Наименование Избирательной комиссии:    Сызранская городская																																																																																																				
																																																																																																				
Итоги голосования 																																																																																																				
																																																																																																				
		Сумма	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136					
1	"Число избирателей, внесенных в список"	142889	618	2555	2132	598	1582	1803	1931	2080	1056	1477	1221	1442	1879	1760	1667	1684	1063	2475	2311	2620	2198	1738	1963	2167	2294	2863	2776	2955	2738	2809	2513	2143	1602	679	1160	1345	729	1073	1164	1112	2158	1632	473	1830	1521	1883	1728	2103	1476	2108	1507	1957	1564	1148	935	1127	582	1983	1894	1931	953	1072	1138	2144	1662	740	805	2852	1762	2539	1297	1741	1647	1898	1832	1070	1256	1508	367	1996	1250	2994	2981	215	64	198	106	116	50	108	139	708	166					
2	Число полученных избирательных бюллетеней	142906	660	2400	2000	550	1500	1800	1900	1900	1000	1400	1200	1400	1900	1700	1600	1600	1000	2500	2300	2600	2200	1700	2000	2200	2300	2800	2800	2900	2800	2900	2700	2500	1800	650	1100	1400	700	1100	1000	1100	2200	1600	490	1600	1500	2000	1700	2100	1500	2000	1500	2000	1500	1300	850	1100	600	1800	1800	2200	900	1100	1100	2200	1600	730	800	2800	1600	2500	1300	1800	1700	1900	1900	1000	1200	1700	390	2000	1200	3000	3000	220	102	200	110	400	62	112	200	1000	180					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	72141	399	1438	953	200	759	844	862	999	492	721	685	741	917	786	807	680	460	1314	1204	1351	1077	894	1020	1160	1194	1364	1477	1407	1325	1432	1435	1310	831	312	673	504	307	497	593	513	1013	501	219	743	738	887	731	1039	711	1131	833	991	677	682	563	579	321	898	874	915	381	476	540	1247	796	320	324	1302	802	1452	657	843	898	931	849	508	582	1083	233	1112	632	1568	1957	170	57	109	106	52	50	108	139	708	166					
5	"Число избирательных бюллетеней, выданных вне помещения"	5144	96	86	157	78	32	52	21	26	139	24	61	35	51	48	39	12	86	39	72	59	134	52	38	75	45	51	33	46	79	126	44	47	69	43	46	116	45	40	81	72	171	48	23	50	176	85	62	57	27	58	49	32	16	17	21	41	58	34	32	55	25	66	117	132	49	23	10	72	89	117	32	36	66	69	77	72	78	18	104	52	8	12	54	2	7	86	0	64	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	65621	165	876	890	272	709	904	1017	875	369	655	454	624	932	866	754	908	454	1147	1024	1190	989	754	942	965	1061	1385	1290	1447	1396	1342	1221	1143	900	295	381	780	348	563	326	515	1016	1051	248	807	586	1028	907	1004	762	811	618	977	807	601	266	480	221	868	894	1230	494	558	443	821	755	387	466	1426	709	931	611	921	736	900	974	420	540	599	53	836	560	1420	989	48	38	5	4	284	12	4	61	292	14					
7	Число избирательных бюллетеней в переносных ящиках	5142	96	86	157	78	32	52	21	26	139	24	61	33	51	48	39	12	86	39	72	59	134	52	38	75	45	51	33	46	79	126	44	47	69	43	46	116	45	40	81	72	171	48	23	50	176	85	62	57	27	58	49	32	16	17	21	41	58	34	32	55	25	66	117	132	49	23	10	72	89	117	32	36	66	69	77	72	78	18	104	52	8	12	54	2	7	86	0	64	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	72090	399	1438	953	200	759	844	862	998	492	721	685	741	917	786	807	680	460	1314	1204	1351	1077	894	1020	1160	1194	1364	1477	1407	1322	1432	1435	1310	831	312	673	504	307	497	592	513	1011	501	219	743	738	887	729	1039	711	1115	833	991	677	682	563	578	321	898	874	915	381	476	540	1247	796	320	324	1302	800	1452	657	842	898	931	849	508	582	1083	233	1112	632	1553	1950	170	57	109	106	52	50	108	139	708	166					
9	Число недействительных избирательных бюллетеней	1027	6	23	23	1	15	17	16	17	13	13	5	8	13	14	21	18	6	22	18	24	16	15	11	18	10	22	10	20	25	15	20	19	0	3	8	10	4	7	14	9	16	16	3	7	13	10	19	9	6	16	5	17	11	19	4	12	10	13	12	14	12	8	10	17	12	11	3	4	12	10	7	7	11	3	10	5	3	5	15	22	18	13	10	2	0	6	0	2	1	1	2	0	4					
10	Число действительных избирательных бюллетеней	76205	489	1501	1087	277	776	879	867	1007	618	732	741	766	955	820	825	674	540	1331	1258	1386	1195	931	1047	1217	1229	1393	1500	1433	1376	1543	1459	1338	900	352	711	610	348	530	659	576	1166	533	239	786	901	962	772	1087	732	1157	877	1006	682	680	580	607	369	919	894	956	394	534	647	1362	833	332	331	1370	877	1559	682	871	953	997	916	575	657	1096	322	1142	622	1552	1994	170	64	189	106	114	49	107	137	708	162					
11	Число полученных открепительных  удостоверений	2732	10	40	30	10	30	40	30	30	10	30	30	30	40	30	30	30	20	40	40	40	40	50	40	40	40	50	50	50	100	60	50	40	30	10	20	30	20	20	20	20	30	30	10	30	30	40	20	40	30	40	40	40	30	30	10	40	10	30	30	50	10	20	20	40	20	10	20	60	70	50	20	30	30	30	30	20	20	50	10	30	20	52	80	10	0	0	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	1937	10	28	23	3	8	33	27	22	10	30	25	27	35	28	19	10	3	28	24	25	30	39	29	28	31	42	42	35	67	50	43	40	15	9	11	17	13	11	13	6	19	14	3	14	13	13	13	27	16	29	29	38	17	21	10	34	8	27	23	46	5	13	17	33	11	0	11	46	54	35	18	26	24	20	24	7	10	12	0	25	20	52	63	8	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1836	6	6	7	7	7	9	17	17	17	1	25	11	14	2	11	6	5	8	13	10	13	8	5	13	9	13	10	13	13	15	10	14	2	6	14	7	9	8	2	8	15	5	0	7	13	18	7	16	8	21	18	13	6	12	105	8	10	9	22	10	5	6	8	4	8	2	15	14	11	7	4	8	8	10	13	10	7	6	7	4	3	95	1	3	64	136	106	75	41	108	68	117	148					
14	Число неиспользованных открепительных удостоверений	795	0	12	7	7	22	7	3	8	0	0	5	3	5	2	11	20	17	12	16	15	10	11	11	12	9	8	8	15	33	10	7	0	15	1	9	13	7	9	7	14	11	16	7	16	17	27	7	13	14	11	11	2	13	9	0	6	2	3	7	4	5	7	3	7	9	10	9	14	16	15	2	4	6	10	6	13	10	38	10	5	0	0	17	2	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	55	0	0	0	0	2	1	1	0	1	1	0	0	1	2	0	0	1	1	1	3	1	1	1	0	0	1	1	1	1	1	0	2	1	0	0	1	0	1	1	1	1	1	0	1	0	0	0	1	0	3	1	3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	2	1	2	0	1	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
